"Subject","Block","Trial","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
"1","1","36","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","38","529","0.529","1"
"1","1","37","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","504","0.504","1"
"1","1","38","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","359","0.359","1"
"1","1","39","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","490","0.49","1"
"1","1","40","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","38","608","0.608","0"
"1","1","41","circle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","self","Self","Self","38","861","0.861","1"
"1","1","42","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","38","690","0.69","1"
"1","1","43","circle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","self","Self","Self","38","626","0.626","1"
"1","1","44","circle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","self","Self","Self","38","698","0.698","1"
"1","1","45","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","746","0.746","1"
"1","1","46","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","38","669","0.669","1"
"1","1","47","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","350","0.35","1"
"1","1","48","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","38","604","0.604","1"
"1","1","49","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","701","0.701","1"
"1","1","50","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","38","571","0.571","1"
"1","1","51","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","30","593","0.593","0"
"1","1","52","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","38","668","0.668","1"
"1","1","53","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","476","0.476","1"
"1","1","54","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","416","0.416","1"
"1","1","55","circle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","self","Self","Self","38","549","0.549","1"
"1","1","56","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","569","0.569","1"
"1","1","57","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","614","0.614","1"
"1","1","58","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","38","561","0.561","1"
"1","1","59","circle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","self","Self","Self","38","530","0.53","1"
"1","1","60","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","559","0.559","1"
"1","1","61","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","499","0.499","1"
"1","1","62","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","438","0.438","1"
"1","1","63","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","384","0.384","1"
"1","1","64","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","38","496","0.496","0"
"1","1","65","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","383","0.383","1"
"1","1","66","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","38","470","0.47","1"
"1","1","67","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","562","0.562","1"
"1","1","68","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","38","491","0.491","1"
"1","1","69","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","38","464","0.464","1"
"1","1","70","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","38","408","0.408","1"
"1","1","71","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","353","0.353","1"
"1","1","72","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","30","453","0.453","0"
"1","1","73","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","671","0.671","1"
"1","1","74","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","38","440","0.44","1"
"1","1","75","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","38","395","0.395","0"
"1","1","76","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","813","0.813","1"
"1","1","77","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","38","598","0.598","1"
"1","1","78","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","657","0.657","1"
"1","1","79","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","423","0.423","1"
"1","1","80","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","38","415","0.415","1"
"1","1","81","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","555","0.555","1"
"1","1","82","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","38","433","0.433","1"
"1","1","83","circle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","self","Self","Self","30","785","0.785","0"
"1","1","84","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","38","652","0.652","1"
"1","1","85","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","38","638","0.638","1"
"1","1","86","circle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","self","Self","Self","30","622","0.622","0"
"1","1","87","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","673","0.673","1"
"1","1","88","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","600","0.6","1"
"1","1","89","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","38","458","0.458","1"
"1","1","90","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","478","0.478","1"
"1","1","91","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","587","0.587","1"
"1","1","92","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","422","0.422","1"
"1","1","93","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","38","446","0.446","0"
"1","1","94","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","446","0.446","1"
"1","1","95","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","387","0.387","1"
"1","1","96","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","38","572","0.572","1"
"1","1","97","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","38","425","0.425","1"
"1","1","98","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","684","0.684","1"
"1","1","99","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","38","612","0.612","1"
"1","1","100","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","516","0.516","1"
"1","1","101","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","446","0.446","1"
"1","1","102","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","292","0.292","1"
"1","1","103","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","409","0.409","1"
"1","1","104","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","38","534","0.534","1"
"1","1","105","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","38","444","0.444","1"
"1","1","106","circle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","self","Self","Self","30","432","0.432","0"
"1","1","107","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","38","523","0.523","1"
"1","1","108","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","38","534","0.534","1"
"1","1","109","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","38","449","0.449","0"
"1","1","110","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","551","0.551","1"
"1","1","111","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","575","0.575","1"
"1","1","112","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","38","569","0.569","1"
"1","1","113","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","521","0.521","1"
"1","1","114","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","38","549","0.549","1"
"1","1","115","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","684","0.684","1"
"1","1","116","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","382","0.382","1"
"1","1","117","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","38","542","0.542","0"
"1","1","118","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","38","711","0.711","1"
"1","1","119","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","38","661","0.661","1"
"1","1","120","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","421","0.421","1"
"1","2","1","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","38","603","0.603","1"
"1","2","2","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","30","481","0.481","0"
"1","2","3","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","552","0.552","1"
"1","2","4","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","38","635","0.635","1"
"1","2","5","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","471","0.471","1"
"1","2","6","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","362","0.362","1"
"1","2","7","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","296","0.296","1"
"1","2","8","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","301","0.301","1"
"1","2","9","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","38","455","0.455","1"
"1","2","10","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","502","0.502","1"
"1","2","11","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","38","493","0.493","0"
"1","2","12","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","38","481","0.481","0"
"1","2","13","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","447","0.447","1"
"1","2","14","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","450","0.45","1"
"1","2","15","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","521","0.521","1"
"1","2","16","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","38","604","0.604","1"
"1","2","17","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","38","657","0.657","1"
"1","2","18","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","574","0.574","1"
"1","2","19","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","38","729","0.729","1"
"1","2","20","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","38","483","0.483","1"
"1","2","21","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","38","563","0.563","1"
"1","2","22","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","473","0.473","1"
"1","2","23","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","387","0.387","1"
"1","2","24","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","488","0.488","1"
"1","2","25","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","38","455","0.455","0"
"1","2","26","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","504","0.504","1"
"1","2","27","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","521","0.521","1"
"1","2","28","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","474","0.474","1"
"1","2","29","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","720","0.72","1"
"1","2","30","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","452","0.452","1"
"1","2","31","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","38","583","0.583","1"
"1","2","32","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","30","570","0.57","0"
"1","2","33","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","797","0.797","1"
"1","2","34","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","38","629","0.629","1"
"1","2","35","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","373","0.373","1"
"1","2","36","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","38","505","0.505","1"
"1","2","37","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","38","420","0.42","1"
"1","2","38","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","38","603","0.603","1"
"1","2","39","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","516","0.516","1"
"1","2","40","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","370","0.37","1"
"1","2","41","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","530","0.53","1"
"1","2","42","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","447","0.447","1"
"1","2","43","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","38","552","0.552","0"
"1","2","44","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","688","0.688","1"
"1","2","45","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","508","0.508","1"
"1","2","46","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","38","658","0.658","1"
"1","2","47","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","38","543","0.543","0"
"1","2","48","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","38","564","0.564","1"
"1","2","49","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","654","0.654","1"
"1","2","50","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","513","0.513","1"
"1","2","51","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","30","295","0.295","0"
"1","2","52","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","459","0.459","1"
"1","2","53","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","639","0.639","1"
"1","2","54","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","30","646","0.646","0"
"1","2","55","circle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","self","Self","Self","0","800","0.8","0"
"1","2","56","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","38","552","0.552","1"
"1","2","57","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","38","484","0.484","1"
"1","2","58","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","38","543","0.543","1"
"1","2","59","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","673","0.673","1"
"1","2","60","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","38","492","0.492","1"
"1","2","61","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","651","0.651","1"
"1","2","62","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","38","394","0.394","0"
"1","2","63","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","38","563","0.563","1"
"1","2","64","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","542","0.542","1"
"1","2","65","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","635","0.635","1"
"1","2","66","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","560","0.56","1"
"1","2","67","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","38","580","0.58","1"
"1","2","68","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","572","0.572","1"
"1","2","69","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","404","0.404","1"
"1","2","70","circle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","self","Self","Self","38","547","0.547","1"
"1","2","71","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","38","697","0.697","1"
"1","2","72","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","396","0.396","1"
"1","2","73","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","38","447","0.447","1"
"1","2","74","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","30","441","0.441","0"
"1","2","75","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","38","587","0.587","1"
"1","2","76","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","699","0.699","1"
"1","2","77","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","38","406","0.406","0"
"1","2","78","circle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","self","Self","Self","30","424","0.424","0"
"1","2","79","circle.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","self","Self","Self","38","605","0.605","1"
"1","2","80","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","547","0.547","1"
"1","2","81","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","38","485","0.485","1"
"1","2","82","square.jpg","STRANGER","self-matching","Nonmatching","Stranger","Stranger","Stranger","friend","Friend","Close","38","586","0.586","1"
"1","2","83","circle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","self","Self","Self","30","568","0.568","0"
"1","2","84","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","38","709","0.709","0"
"1","2","85","square.jpg","FRIEND","self-matching","Matching","Friend","Friend","Close","friend","Friend","Close","30","454","0.454","1"
"1","2","86","triangle.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","stranger","Stranger","Stranger","0","1100","1.1","0"
"1","2","87","circle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","self","Self","Self","38","648","0.648","1"
"1","2","88","circle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","self","Self","Self","38","635","0.635","1"
"1","2","89","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","614","0.614","1"
"1","2","90","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","38","632","0.632","1"
"1","2","91","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","500","0.5","1"
"1","2","92","circle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","self","Self","Self","38","637","0.637","1"
"1","2","93","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","30","700","0.7","1"
"1","2","94","triangle.jpg","STRANGER","self-matching","Matching","Stranger","Stranger","Stranger","stranger","Stranger","Stranger","38","534","0.534","0"
"1","2","95","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","38","521","0.521","1"
"1","2","96","circle.jpg","YOU","self-matching","Matching","Self","Self","Self","self","Self","Self","30","395","0.395","1"
"1","2","97","triangle.jpg","FRIEND","self-matching","Nonmatching","Friend","Friend","Close","stranger","Stranger","Stranger","30","550","0.55","0"
"1","2","98","square.jpg","YOU","self-matching","Nonmatching","Self","Self","Self","friend","Friend","Close","38","624","0.624","1"
