"Subject","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","RT_ms","RT_sec","ACC"
1,"trapeze","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",822,0.822,1
1,"trapeze","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",643,0.643,1
1,"trapeze","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",618,0.618,1
1,"trapeze","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",767,0.767,1
1,"trapeze","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",714,0.714,1
1,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",710,0.71,1
1,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",697,0.697,1
1,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",692,0.692,1
1,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",691,0.691,1
1,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",671,0.671,1
1,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",703,0.703,1
1,"octagon","label_you","Matching","label_you","Self","Self","self","Self","Self",708,0.708,1
1,"octagon","label_you","Matching","label_you","Self","Self","self","Self","Self",623,0.623,1
1,"octagon","label_you","Matching","label_you","Self","Self","self","Self","Self",691,0.691,1
1,"octagon","label_you","Matching","label_you","Self","Self","self","Self","Self",575,0.575,1
1,"octagon","label_you","Matching","label_you","Self","Self","self","Self","Self",832,0.832,1
1,"octagon","label_you","Matching","label_you","Self","Self","self","Self","Self",682,0.682,1
1,"diamond","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",672,0.672,0
1,"diamond","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",644,0.644,1
1,"diamond","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",835,0.835,1
1,"diamond","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",832,0.832,1
1,"diamond","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",917,0.917,1
1,"diamond","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",876,0.876,1
1,"triangle","label_9","Matching","label_9","£9","£9","9","£9","£9",1526,1.526,1
1,"triangle","label_9","Matching","label_9","£9","£9","9","£9","£9",609,0.609,1
1,"triangle","label_9","Matching","label_9","£9","£9","9","£9","£9",671,0.671,1
1,"triangle","label_9","Matching","label_9","£9","£9","9","£9","£9",644,0.644,1
1,"triangle","label_9","Matching","label_9","£9","£9","9","£9","£9",682,0.682,1
1,"triangle","label_9","Matching","label_9","£9","£9","9","£9","£9",657,0.657,1
1,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",824,0.824,0
1,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",769,0.769,1
1,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",677,0.677,1
1,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",548,0.548,1
1,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",672,0.672,1
1,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",683,0.683,1
1,"octagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",822,0.822,1
1,"octagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",926,0.926,1
1,"octagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",667,0.667,1
1,"octagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",1136,1.136,1
1,"octagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",728,0.728,1
1,"octagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",666,0.666,1
1,"diamond","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",501,0.501,0
1,"diamond","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",780,0.78,1
1,"diamond","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",815,0.815,1
1,"diamond","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",705,0.705,1
1,"diamond","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",714,0.714,1
1,"diamond","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",523,0.523,1
1,"triangle","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",722,0.722,1
1,"triangle","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",707,0.707,1
1,"triangle","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",643,0.643,1
1,"triangle","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",705,0.705,1
1,"triangle","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",601,0.601,1
1,"triangle","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",584,0.584,1
1,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",628,0.628,0
1,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",682,0.682,1
1,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",650,0.65,1
1,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",860,0.86,1
1,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",665,0.665,1
1,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",721,0.721,1
2,"kite","label_you","Matching","label_you","Self","Self","self","Self","Self",889,0.889,1
2,"kite","label_you","Matching","label_you","Self","Self","self","Self","Self",932,0.932,1
2,"kite","label_you","Matching","label_you","Self","Self","self","Self","Self",657,0.657,1
2,"kite","label_you","Matching","label_you","Self","Self","self","Self","Self",1016,1.016,1
2,"kite","label_you","Matching","label_you","Self","Self","self","Self","Self",546,0.546,1
2,"kite","label_you","Matching","label_you","Self","Self","self","Self","Self",738,0.738,1
2,"pentagon","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",739,0.739,1
2,"pentagon","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",927,0.927,0
2,"pentagon","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",1048,1.048,1
2,"pentagon","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",911,0.911,1
2,"pentagon","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",701,0.701,0
2,"pentagon","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",974,0.974,1
2,"trapeze","label_9","Matching","label_9","£9","£9","9","£9","£9",590,0.59,0
2,"trapeze","label_9","Matching","label_9","£9","£9","9","£9","£9",1207,1.207,1
2,"trapeze","label_9","Matching","label_9","£9","£9","9","£9","£9",852,0.852,1
2,"trapeze","label_9","Matching","label_9","£9","£9","9","£9","£9",1050,1.05,1
2,"trapeze","label_9","Matching","label_9","£9","£9","9","£9","£9",785,0.785,1
2,"trapeze","label_9","Matching","label_9","£9","£9","9","£9","£9",1216,1.216,0
2,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",1029,1.029,0
2,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",1180,1.18,1
2,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",697,0.697,0
2,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",1116,1.116,1
2,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",1071,1.071,1
2,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",900,0.9,1
2,"kite","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",1273,1.273,1
2,"kite","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",1043,1.043,0
2,"kite","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",999,0.999,0
2,"kite","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",1190,1.19,1
2,"kite","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",1266,1.266,1
2,"kite","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",1190,1.19,1
2,"pentagon","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",756,0.756,0
2,"pentagon","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",815,0.815,0
2,"pentagon","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",930,0.93,1
2,"pentagon","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",917,0.917,1
2,"pentagon","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",1057,1.057,1
2,"pentagon","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",971,0.971,1
2,"trapeze","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",777,0.777,1
2,"trapeze","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",976,0.976,1
2,"trapeze","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",895,0.895,1
2,"trapeze","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",849,0.849,1
2,"trapeze","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",1381,1.381,0
2,"trapeze","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",1252,1.252,1
2,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",687,0.687,1
2,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",696,0.696,1
2,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",930,0.93,1
2,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",933,0.933,1
2,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",951,0.951,1
2,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",698,0.698,1
2,"diamond","label_you","Matching","label_you","Self","Self","self","Self","Self",700,0.7,1
2,"diamond","label_you","Matching","label_you","Self","Self","self","Self","Self",863,0.863,1
2,"diamond","label_you","Matching","label_you","Self","Self","self","Self","Self",791,0.791,1
2,"diamond","label_you","Matching","label_you","Self","Self","self","Self","Self",974,0.974,1
2,"diamond","label_you","Matching","label_you","Self","Self","self","Self","Self",619,0.619,1
2,"diamond","label_you","Matching","label_you","Self","Self","self","Self","Self",855,0.855,1
2,"octagon","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",1041,1.041,1
2,"octagon","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",1170,1.17,1
2,"octagon","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",827,0.827,1
2,"octagon","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",1141,1.141,1
2,"octagon","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",942,0.942,1
2,"octagon","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",929,0.929,1
2,"triangle","label_9","Matching","label_9","£9","£9","9","£9","£9",843,0.843,1
2,"triangle","label_9","Matching","label_9","£9","£9","9","£9","£9",1024,1.024,1
2,"triangle","label_9","Matching","label_9","£9","£9","9","£9","£9",814,0.814,1
2,"triangle","label_9","Matching","label_9","£9","£9","9","£9","£9",791,0.791,1
2,"triangle","label_9","Matching","label_9","£9","£9","9","£9","£9",793,0.793,1
2,"triangle","label_9","Matching","label_9","£9","£9","9","£9","£9",789,0.789,1
2,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",1014,1.014,0
2,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",1192,1.192,1
2,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",979,0.979,1
2,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",970,0.97,1
2,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",1281,1.281,1
2,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",1076,1.076,1
2,"diamond","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",1218,1.218,1
2,"diamond","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",1370,1.37,1
2,"diamond","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",874,0.874,1
2,"diamond","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",1030,1.03,1
2,"diamond","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",1049,1.049,1
2,"diamond","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",965,0.965,1
2,"octagon","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",1117,1.117,1
2,"octagon","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",1470,1.47,1
2,"octagon","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",1078,1.078,1
2,"octagon","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",1142,1.142,1
2,"octagon","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",873,0.873,1
2,"octagon","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",806,0.806,1
2,"triangle","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",917,0.917,1
2,"triangle","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",828,0.828,1
2,"triangle","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",1299,1.299,1
2,"triangle","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",1441,1.441,1
2,"triangle","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",1060,1.06,1
2,"triangle","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",851,0.851,1
2,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",1004,1.004,1
2,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",890,0.89,1
2,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",974,0.974,1
2,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",882,0.882,1
2,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",970,0.97,1
2,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",947,0.947,1
3,"octagon","label_you","Matching","label_you","Self","Self","self","Self","Self",1189,1.189,0
3,"octagon","label_you","Matching","label_you","Self","Self","self","Self","Self",606,0.606,1
3,"octagon","label_you","Matching","label_you","Self","Self","self","Self","Self",674,0.674,1
3,"octagon","label_you","Matching","label_you","Self","Self","self","Self","Self",745,0.745,1
3,"octagon","label_you","Matching","label_you","Self","Self","self","Self","Self",692,0.692,1
3,"octagon","label_you","Matching","label_you","Self","Self","self","Self","Self",733,0.733,1
3,"triangle","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",996,0.996,0
3,"triangle","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",1035,1.035,0
3,"triangle","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",1316,1.316,0
3,"triangle","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",1392,1.392,1
3,"triangle","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",1070,1.07,1
3,"triangle","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",940,0.94,1
3,"diamond","label_9","Matching","label_9","£9","£9","9","£9","£9",1236,1.236,1
3,"diamond","label_9","Matching","label_9","£9","£9","9","£9","£9",961,0.961,1
3,"diamond","label_9","Matching","label_9","£9","£9","9","£9","£9",1151,1.151,1
3,"diamond","label_9","Matching","label_9","£9","£9","9","£9","£9",1350,1.35,1
3,"diamond","label_9","Matching","label_9","£9","£9","9","£9","£9",878,0.878,1
3,"diamond","label_9","Matching","label_9","£9","£9","9","£9","£9",1289,1.289,0
3,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",966,0.966,1
3,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",895,0.895,1
3,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",755,0.755,0
3,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",1166,1.166,1
3,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",1005,1.005,0
3,"rhomboid","label_1","Matching","label_1","£1","£1","1","£1","£1",697,0.697,0
3,"octagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",1214,1.214,1
3,"octagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",634,0.634,0
3,"octagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",764,0.764,0
3,"octagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",1016,1.016,1
3,"octagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",985,0.985,1
3,"octagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",1559,1.559,1
3,"triangle","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",1198,1.198,1
3,"triangle","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",1075,1.075,0
3,"triangle","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",1149,1.149,1
3,"triangle","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",1072,1.072,0
3,"triangle","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",428,0.428,0
3,"triangle","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",479,0.479,0
3,"diamond","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",1215,1.215,0
3,"diamond","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",1145,1.145,1
3,"diamond","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",880,0.88,0
3,"diamond","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",1093,1.093,1
3,"diamond","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",1269,1.269,1
3,"diamond","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",1238,1.238,1
3,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",787,0.787,1
3,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",780,0.78,1
3,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",1072,1.072,0
3,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",785,0.785,1
3,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",939,0.939,1
3,"rhomboid","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",878,0.878,0
3,"pentagon","label_you","Matching","label_you","Self","Self","self","Self","Self",940,0.94,1
3,"pentagon","label_you","Matching","label_you","Self","Self","self","Self","Self",719,0.719,1
3,"pentagon","label_you","Matching","label_you","Self","Self","self","Self","Self",1651,1.651,0
3,"pentagon","label_you","Matching","label_you","Self","Self","self","Self","Self",1649,1.649,0
3,"pentagon","label_you","Matching","label_you","Self","Self","self","Self","Self",882,0.882,1
3,"pentagon","label_you","Matching","label_you","Self","Self","self","Self","Self",486,0.486,1
3,"trapeze","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",851,0.851,1
3,"trapeze","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",1069,1.069,1
3,"trapeze","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",1143,1.143,1
3,"trapeze","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",864,0.864,1
3,"trapeze","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",930,0.93,1
3,"trapeze","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",765,0.765,1
3,"kite","label_9","Matching","label_9","£9","£9","9","£9","£9",779,0.779,1
3,"kite","label_9","Matching","label_9","£9","£9","9","£9","£9",1035,1.035,1
3,"kite","label_9","Matching","label_9","£9","£9","9","£9","£9",1032,1.032,1
3,"kite","label_9","Matching","label_9","£9","£9","9","£9","£9",1001,1.001,1
3,"kite","label_9","Matching","label_9","£9","£9","9","£9","£9",942,0.942,1
3,"kite","label_9","Matching","label_9","£9","£9","9","£9","£9",1131,1.131,1
3,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",654,0.654,1
3,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",870,0.87,1
3,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",1615,1.615,1
3,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",1251,1.251,1
3,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",635,0.635,0
3,"square","label_1","Matching","label_1","£1","£1","1","£1","£1",610,0.61,1
3,"pentagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",690,0.69,0
3,"pentagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",1156,1.156,1
3,"pentagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",969,0.969,1
3,"pentagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",1001,1.001,1
3,"pentagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",1139,1.139,0
3,"pentagon","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",1005,1.005,1
3,"trapeze","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",1187,1.187,1
3,"trapeze","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",927,0.927,1
3,"trapeze","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",1274,1.274,1
3,"trapeze","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",633,0.633,0
3,"trapeze","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",420,0.42,0
3,"trapeze","label_you","Nonmatching","label_you","Self","Self","friend","Friend","Close",1146,1.146,0
3,"kite","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",996,0.996,1
3,"kite","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",1061,1.061,1
3,"kite","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",934,0.934,1
3,"kite","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",953,0.953,1
3,"kite","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",1142,1.142,1
3,"kite","label_1","Nonmatching","label_1","£1","£1","9","£9","£9",519,0.519,0
3,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",922,0.922,1
3,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",746,0.746,1
3,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",992,0.992,1
3,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",1047,1.047,1
3,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",768,0.768,1
3,"square","label_9","Nonmatching","label_9","£9","£9","1","£1","£1",658,0.658,1
5,"trapeze","label_you","Matching","label_you","Self","Self","self","Self","Self",923,0.923,1
5,"trapeze","label_you","Matching","label_you","Self","Self","self","Self","Self",675,0.675,1
5,"trapeze","label_you","Matching","label_you","Self","Self","self","Self","Self",1181,1.181,1
5,"trapeze","label_you","Matching","label_you","Self","Self","self","Self","Self",844,0.844,1
5,"trapeze","label_you","Matching","label_you","Self","Self","self","Self","Self",850,0.85,1
5,"trapeze","label_you","Matching","label_you","Self","Self","self","Self","Self",947,0.947,0
5,"square","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",603,0.603,1
5,"square","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",754,0.754,1
5,"square","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",755,0.755,1
5,"square","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",830,0.83,1
5,"square","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",896,0.896,1
5,"square","label_friend","Matching","label_friend","Friend","Close","friend","Friend","Close",789,0.789,1
5,"kite","label_9","Matching","label_9","£9","£9","9","£9","£9",896,0.896,1
5,"kite","label_9","Matching","label_9","£9","£9","9","£9","£9",865,0.865,1
5,"kite","label_9","Matching","label_9","£9","£9","9","£9","£9",867,0.867,1
5,"kite","label_9","Matching","label_9","£9","£9","9","£9","£9",818,0.818,0
5,"kite","label_9","Matching","label_9","£9","£9","9","£9","£9",758,0.758,1
5,"kite","label_9","Matching","label_9","£9","£9","9","£9","£9",905,0.905,0
5,"pentagon","label_1","Matching","label_1","£1","£1","1","£1","£1",887,0.887,1
5,"pentagon","label_1","Matching","label_1","£1","£1","1","£1","£1",968,0.968,1
5,"pentagon","label_1","Matching","label_1","£1","£1","1","£1","£1",918,0.918,1
5,"pentagon","label_1","Matching","label_1","£1","£1","1","£1","£1",1091,1.091,1
5,"pentagon","label_1","Matching","label_1","£1","£1","1","£1","£1",962,0.962,1
5,"pentagon","label_1","Matching","label_1","£1","£1","1","£1","£1",871,0.871,1
5,"trapeze","label_friend","Nonmatching","label_friend","Friend","Close","self","Self","Self",805,0.805,1
