"Subject","Trial","Block","Shape","Label","Matching","ACC","RT_ms","Resp","Cresp","bed","Condition"
10,86,22,"Kreis.png","Fremder","Matching",1,684,"d","d","L2m","Ass1"
10,87,22,"Dreieck.png","Fremder","Nonmatching",1,538,"k","k","L2n","Ass1"
10,88,22,"Kreis.png","Ich","Nonmatching",1,604,"k","k","L1n","Ass1"
10,89,23,"Kreis.png","Ich","Nonmatching",1,703,"k","k","L1n","Ass1"
10,90,23,"Dreieck.png","Ich","Matching",1,622,"d","d","L1m","Ass1"
10,91,23,"Kreis.png","Fremder","Matching",0,555,"k","d","L2m","Ass1"
10,92,23,"Dreieck.png","Fremder","Nonmatching",1,660,"k","k","L2n","Ass1"
10,93,24,"Dreieck.png","Ich","Matching",1,478,"d","d","L1m","Ass1"
10,94,24,"Kreis.png","Ich","Nonmatching",1,578,"k","k","L1n","Ass1"
10,95,24,"Kreis.png","Fremder","Matching",1,751,"d","d","L2m","Ass1"
10,96,24,"Dreieck.png","Fremder","Nonmatching",1,709,"k","k","L2n","Ass1"
10,97,25,"Kreis.png","Ich","Nonmatching",1,671,"k","k","L1n","Ass1"
10,98,25,"Dreieck.png","Fremder","Nonmatching",1,592,"k","k","L2n","Ass1"
10,99,25,"Dreieck.png","Ich","Matching",1,561,"d","d","L1m","Ass1"
10,100,25,"Kreis.png","Fremder","Matching",1,851,"d","d","L2m","Ass1"
10,101,26,"Dreieck.png","Fremder","Nonmatching",1,543,"k","k","L2n","Ass1"
10,102,26,"Kreis.png","Fremder","Matching",1,718,"d","d","L2m","Ass1"
10,103,26,"Dreieck.png","Ich","Matching",1,527,"d","d","L1m","Ass1"
10,104,26,"Kreis.png","Ich","Nonmatching",1,491,"k","k","L1n","Ass1"
10,105,27,"Kreis.png","Ich","Nonmatching",1,638,"k","k","L1n","Ass1"
10,106,27,"Dreieck.png","Fremder","Nonmatching",1,814,"k","k","L2n","Ass1"
10,107,27,"Kreis.png","Fremder","Matching",0,1050,"k","d","L2m","Ass1"
10,108,27,"Dreieck.png","Ich","Matching",1,366,"d","d","L1m","Ass1"
10,109,28,"Kreis.png","Fremder","Matching",0,958,"k","d","L2m","Ass1"
10,110,28,"Kreis.png","Ich","Nonmatching",1,1122,"k","k","L1n","Ass1"
10,111,28,"Dreieck.png","Fremder","Nonmatching",1,900,"k","k","L2n","Ass1"
10,112,28,"Dreieck.png","Ich","Matching",1,746,"d","d","L1m","Ass1"
10,113,29,"Dreieck.png","Fremder","Nonmatching",1,647,"k","k","L2n","Ass1"
