"Subject","Trial","Task","Block","Shape","ShapeCode","Label","LabelCode","Matching","ACC","RT_ms","Response","CorrectResp"
74,56,"Self",1,"Triangle","Friend","friend",NA,"Nonmatching",0,558,"m","n"
74,57,"Self",1,"Circle","Self","self",NA,"Nonmatching",0,964,"m","n"
74,58,"Self",1,"Circle","Self","self",NA,"Matching",1,637,"m","m"
74,59,"Self",1,"Circle","Self","self",NA,"Matching",1,530,"m","m"
74,60,"Self",1,"Square","Stranger","stranger",NA,"Nonmatching",1,551,"n","n"
74,61,"Self",2,"Circle","Self","self",NA,"Matching",1,643,"m","m"
74,62,"Self",2,"Triangle","Friend","friend",NA,"Matching",1,791,"m","m"
74,63,"Self",2,"Triangle","Friend","friend",NA,"Nonmatching",1,724,"n","n"
74,64,"Self",2,"Triangle","Friend","friend",NA,"Nonmatching",0,565,"m","n"
74,65,"Self",2,"Circle","Self","self",NA,"Matching",1,521,"m","m"
74,66,"Self",2,"Square","Stranger","stranger",NA,"Matching",1,935,"m","m"
74,67,"Self",2,"Square","Stranger","stranger",NA,"Nonmatching",1,679,"n","n"
74,68,"Self",2,"Square","Stranger","stranger",NA,"Matching",0,534,"n","m"
74,69,"Self",2,"Square","Stranger","stranger",NA,"Nonmatching",1,560,"n","n"
74,70,"Self",2,"Triangle","Friend","friend",NA,"Matching",1,465,"m","m"
74,71,"Self",2,"Circle","Self","self",NA,"Nonmatching",1,648,"n","n"
74,72,"Self",2,"Circle","Self","self",NA,"Nonmatching",1,859,"n","n"
74,73,"Self",2,"Triangle","Friend","friend",NA,"Matching",1,609,"m","m"
74,74,"Self",2,"Square","Stranger","stranger",NA,"Matching",1,699,"m","m"
74,75,"Self",2,"Square","Stranger","stranger",NA,"Matching",0,535,"n","m"
74,76,"Self",2,"Circle","Self","self",NA,"Nonmatching",1,604,"n","n"
74,77,"Self",2,"Triangle","Friend","friend",NA,"Matching",1,780,"m","m"
74,78,"Self",2,"Circle","Self","self",NA,"Matching",1,576,"m","m"
74,79,"Self",2,"Circle","Self","self",NA,"Matching",1,548,"m","m"
74,80,"Self",2,"Circle","Self","self",NA,"Nonmatching",1,582,"n","n"
74,81,"Self",2,"Square","Stranger","stranger",NA,"Nonmatching",1,730,"n","n"
74,82,"Self",2,"Triangle","Friend","friend",NA,"Nonmatching",1,907,"n","n"
74,83,"Self",2,"Square","Stranger","stranger",NA,"Nonmatching",0,730,"m","n"
74,84,"Self",2,"Triangle","Friend","friend",NA,"Nonmatching",0,546,"m","n"
74,85,"Self",2,"Square","Stranger","stranger",NA,"Nonmatching",1,905,"n","n"
74,86,"Self",2,"Circle","Self","self",NA,"Matching",1,546,"m","m"
74,87,"Self",2,"Square","Stranger","stranger",NA,"Nonmatching",1,914,"n","n"
74,88,"Self",2,"Circle","Self","self",NA,"Nonmatching",1,859,"n","n"
74,89,"Self",2,"Triangle","Friend","friend",NA,"Nonmatching",1,616,"n","n"
74,90,"Self",2,"Triangle","Friend","friend",NA,"Matching",1,609,"m","m"
74,91,"Self",2,"Circle","Self","self",NA,"Nonmatching",1,672,"n","n"
74,92,"Self",2,"Square","Stranger","stranger",NA,"Matching",0,615,"n","m"
74,93,"Self",2,"Triangle","Friend","friend",NA,"Nonmatching",1,588,"n","n"
74,94,"Self",2,"Square","Stranger","stranger",NA,"Matching",0,582,"n","m"
74,95,"Self",2,"Triangle","Friend","friend",NA,"Matching",0,727,"n","m"
74,96,"Self",2,"Circle","Self","self",NA,"Matching",1,786,"m","m"
74,97,"Self",2,"Triangle","Friend","friend",NA,"Nonmatching",1,609,"n","n"
74,98,"Self",2,"Square","Stranger","stranger",NA,"Nonmatching",1,706,"n","n"
74,99,"Self",2,"Triangle","Friend","friend",NA,"Matching",1,779,"m","m"
74,100,"Self",2,"Square","Stranger","stranger",NA,"Matching",1,674,"m","m"
74,101,"Self",2,"Square","Stranger","stranger",NA,"Matching",NA,NA,NA,"m"
74,102,"Self",2,"Triangle","Friend","friend",NA,"Nonmatching",0,646,"m","n"
74,103,"Self",2,"Circle","Self","self",NA,"Matching",1,488,"m","m"
74,104,"Self",2,"Circle","Self","self",NA,"Matching",NA,NA,NA,"m"
74,105,"Self",2,"Circle","Self","self",NA,"Nonmatching",1,677,"n","n"
74,106,"Self",2,"Triangle","Friend","friend",NA,"Matching",1,632,"m","m"
74,107,"Self",2,"Circle","Self","self",NA,"Nonmatching",1,607,"n","n"
74,108,"Self",2,"Square","Stranger","stranger",NA,"Nonmatching",NA,NA,NA,"n"
74,109,"Self",2,"Triangle","Friend","friend",NA,"Nonmatching",NA,NA,NA,"n"
74,110,"Self",2,"Square","Stranger","stranger",NA,"Nonmatching",0,969,"m","n"
74,111,"Self",2,"Triangle","Friend","friend",NA,"Matching",1,681,"m","m"
74,112,"Self",2,"Triangle","Friend","friend",NA,"Matching",1,642,"m","m"
74,113,"Self",2,"Square","Stranger","stranger",NA,"Matching",0,711,"n","m"
74,114,"Self",2,"Square","Stranger","stranger",NA,"Nonmatching",1,830,"n","n"
74,115,"Self",2,"Triangle","Friend","friend",NA,"Nonmatching",NA,NA,NA,"n"
74,116,"Self",2,"Circle","Self","self",NA,"Nonmatching",1,699,"n","n"
74,117,"Self",2,"Square","Stranger","stranger",NA,"Matching",1,673,"m","m"
74,118,"Self",2,"Circle","Self","self",NA,"Matching",1,493,"m","m"
74,119,"Self",2,"Circle","Self","self",NA,"Matching",1,413,"m","m"
74,120,"Self",2,"Circle","Self","self",NA,"Nonmatching",1,994,"n","n"
74,121,"Reward",1,"Pentagon","HighReward","£9","9","Matching",1,724,"m","m"
74,122,"Reward",1,"Pentagon","HighReward","£9","3","Nonmatching",NA,NA,NA,"n"
74,123,"Reward",1,"Diamond","LowReward","£1","9","Nonmatching",NA,NA,NA,"n"
74,124,"Reward",1,"Pentagon","HighReward","£9","1","Nonmatching",0,938,"m","n"
74,125,"Reward",1,"Diamond","LowReward","£1","1","Matching",1,743,"m","m"
74,126,"Reward",1,"Pentagon","HighReward","£9","9","Matching",NA,NA,NA,"m"
74,127,"Reward",1,"Oval","MediumReward","£3","1","Nonmatching",NA,NA,NA,"n"
74,128,"Reward",1,"Diamond","LowReward","£1","1","Matching",1,605,"m","m"
74,129,"Reward",1,"Oval","MediumReward","£3","3","Matching",1,903,"m","m"
74,130,"Reward",1,"Oval","MediumReward","£3","3","Matching",0,903,"n","m"
74,131,"Reward",1,"Oval","MediumReward","£3","9","Nonmatching",1,809,"n","n"
74,132,"Reward",1,"Diamond","LowReward","£1","3","Nonmatching",NA,NA,NA,"n"
74,133,"Reward",1,"Oval","MediumReward","£3","9","Nonmatching",NA,NA,NA,"n"
74,134,"Reward",1,"Pentagon","HighReward","£9","9","Matching",1,751,"m","m"
74,135,"Reward",1,"Diamond","LowReward","£1","1","Matching",1,774,"m","m"
74,136,"Reward",1,"Oval","MediumReward","£3","3","Matching",1,772,"m","m"
74,137,"Reward",1,"Oval","MediumReward","£3","3","Matching",1,727,"m","m"
74,138,"Reward",1,"Pentagon","HighReward","£9","3","Nonmatching",1,727,"n","n"
74,139,"Reward",1,"Pentagon","HighReward","£9","1","Nonmatching",1,869,"n","n"
74,140,"Reward",1,"Diamond","LowReward","£1","9","Nonmatching",NA,NA,NA,"n"
74,141,"Reward",1,"Diamond","LowReward","£1","1","Matching",1,568,"m","m"
74,142,"Reward",1,"Diamond","LowReward","£1","3","Nonmatching",0,604,"m","n"
74,143,"Reward",1,"Pentagon","HighReward","£9","9","Matching",0,723,"n","m"
74,144,"Reward",1,"Oval","MediumReward","£3","1","Nonmatching",NA,NA,NA,"n"
74,145,"Reward",1,"Oval","MediumReward","£3","3","Matching",1,637,"m","m"
74,146,"Reward",1,"Diamond","LowReward","£1","1","Matching",1,609,"m","m"
74,147,"Reward",1,"Pentagon","HighReward","£9","9","Matching",1,595,"m","m"
74,148,"Reward",1,"Oval","MediumReward","£3","3","Matching",1,675,"m","m"
74,149,"Reward",1,"Oval","MediumReward","£3","9","Nonmatching",1,687,"n","n"
74,150,"Reward",1,"Pentagon","HighReward","£9","1","Nonmatching",1,960,"n","n"
74,151,"Reward",1,"Diamond","LowReward","£1","1","Matching",1,561,"m","m"
74,152,"Reward",1,"Oval","MediumReward","£3","1","Nonmatching",1,795,"n","n"
74,153,"Reward",1,"Diamond","LowReward","£1","3","Nonmatching",1,770,"n","n"
74,154,"Reward",1,"Diamond","LowReward","£1","9","Nonmatching",0,923,"m","n"
74,155,"Reward",1,"Pentagon","HighReward","£9","9","Matching",1,1015,"m","m"
74,156,"Reward",1,"Pentagon","HighReward","£9","3","Nonmatching",1,587,"n","n"
74,157,"Reward",1,"Diamond","LowReward","£1","9","Nonmatching",1,870,"n","n"
74,158,"Reward",1,"Pentagon","HighReward","£9","3","Nonmatching",1,738,"n","n"
74,159,"Reward",1,"Pentagon","HighReward","£9","9","Matching",1,654,"m","m"
74,160,"Reward",1,"Pentagon","HighReward","£9","1","Nonmatching",1,621,"n","n"
74,161,"Reward",1,"Pentagon","HighReward","£9","9","Matching",0,607,"n","m"
74,162,"Reward",1,"Oval","MediumReward","£3","9","Nonmatching",1,669,"n","n"
74,163,"Reward",1,"Oval","MediumReward","£3","1","Nonmatching",1,822,"n","n"
74,164,"Reward",1,"Diamond","LowReward","£1","1","Matching",1,512,"m","m"
74,165,"Reward",1,"Diamond","LowReward","£1","1","Matching",0,795,"n","m"
74,166,"Reward",1,"Diamond","LowReward","£1","3","Nonmatching",1,678,"n","n"
74,167,"Reward",1,"Oval","MediumReward","£3","3","Matching",NA,NA,NA,"m"
74,168,"Reward",1,"Oval","MediumReward","£3","3","Matching",1,907,"m","m"
74,169,"Reward",1,"Diamond","LowReward","£1","3","Nonmatching",1,592,"n","n"
74,170,"Reward",1,"Pentagon","HighReward","£9","9","Matching",1,764,"m","m"
74,171,"Reward",1,"Pentagon","HighReward","£9","3","Nonmatching",1,590,"n","n"
74,172,"Reward",1,"Diamond","LowReward","£1","1","Matching",1,685,"m","m"
74,173,"Reward",1,"Oval","MediumReward","£3","1","Nonmatching",0,413,"m","n"
74,174,"Reward",1,"Diamond","LowReward","£1","9","Nonmatching",0,843,"m","n"
74,175,"Reward",1,"Oval","MediumReward","£3","3","Matching",1,1016,"m","m"
74,176,"Reward",1,"Pentagon","HighReward","£9","1","Nonmatching",1,743,"n","n"
74,177,"Reward",1,"Oval","MediumReward","£3","9","Nonmatching",1,708,"n","n"
74,178,"Reward",1,"Pentagon","HighReward","£9","9","Matching",1,437,"m","m"
74,179,"Reward",1,"Diamond","LowReward","£1","1","Matching",1,765,"m","m"
74,180,"Reward",1,"Oval","MediumReward","£3","3","Matching",1,800,"m","m"
74,181,"Reward",2,"Oval","MediumReward","£3","9","Nonmatching",0,686,"m","n"
74,182,"Reward",2,"Pentagon","HighReward","£9","9","Matching",1,802,"m","m"
74,183,"Reward",2,"Pentagon","HighReward","£9","9","Matching",1,528,"m","m"
74,184,"Reward",2,"Diamond","LowReward","£1","3","Nonmatching",1,792,"n","n"
74,185,"Reward",2,"Oval","MediumReward","£3","3","Matching",NA,NA,NA,"m"
74,186,"Reward",2,"Diamond","LowReward","£1","1","Matching",1,475,"m","m"
74,187,"Reward",2,"Pentagon","HighReward","£9","3","Nonmatching",1,669,"n","n"
74,188,"Reward",2,"Oval","MediumReward","£3","1","Nonmatching",1,720,"n","n"
74,189,"Reward",2,"Oval","MediumReward","£3","3","Matching",1,652,"m","m"
74,190,"Reward",2,"Diamond","LowReward","£1","1","Matching",1,656,"m","m"
74,191,"Reward",2,"Diamond","LowReward","£1","9","Nonmatching",1,741,"n","n"
74,192,"Reward",2,"Pentagon","HighReward","£9","1","Nonmatching",0,620,"m","n"
74,193,"Reward",2,"Diamond","LowReward","£1","3","Nonmatching",1,757,"n","n"
74,194,"Reward",2,"Oval","MediumReward","£3","3","Matching",1,774,"m","m"
74,195,"Reward",2,"Diamond","LowReward","£1","1","Matching",1,543,"m","m"
74,196,"Reward",2,"Diamond","LowReward","£1","9","Nonmatching",0,850,"m","n"
74,197,"Reward",2,"Diamond","LowReward","£1","1","Matching",0,559,"n","m"
74,198,"Reward",2,"Pentagon","HighReward","£9","3","Nonmatching",0,470,"m","n"
74,199,"Reward",2,"Oval","MediumReward","£3","1","Nonmatching",1,691,"n","n"
74,200,"Reward",2,"Oval","MediumReward","£3","3","Matching",1,1015,"m","m"
74,201,"Reward",2,"Pentagon","HighReward","£9","9","Matching",1,505,"m","m"
74,202,"Reward",2,"Pentagon","HighReward","£9","1","Nonmatching",1,1036,"n","n"
74,203,"Reward",2,"Oval","MediumReward","£3","9","Nonmatching",1,683,"n","n"
74,204,"Reward",2,"Pentagon","HighReward","£9","9","Matching",1,810,"m","m"
74,205,"Reward",2,"Oval","MediumReward","£3","3","Matching",1,695,"m","m"
74,206,"Reward",2,"Diamond","LowReward","£1","1","Matching",1,540,"m","m"
74,207,"Reward",2,"Pentagon","HighReward","£9","3","Nonmatching",1,708,"n","n"
74,208,"Reward",2,"Oval","MediumReward","£3","3","Matching",1,472,"m","m"
74,209,"Reward",2,"Diamond","LowReward","£1","1","Matching",1,548,"m","m"
74,210,"Reward",2,"Pentagon","HighReward","£9","9","Matching",1,557,"m","m"
74,211,"Reward",2,"Pentagon","HighReward","£9","9","Matching",1,493,"m","m"
74,212,"Reward",2,"Oval","MediumReward","£3","9","Nonmatching",1,678,"n","n"
74,213,"Reward",2,"Diamond","LowReward","£1","3","Nonmatching",0,813,"m","n"
74,214,"Reward",2,"Oval","MediumReward","£3","1","Nonmatching",1,930,"n","n"
74,215,"Reward",2,"Diamond","LowReward","£1","9","Nonmatching",0,611,"m","n"
74,216,"Reward",2,"Pentagon","HighReward","£9","1","Nonmatching",1,927,"n","n"
74,217,"Reward",2,"Pentagon","HighReward","£9","1","Nonmatching",0,766,"m","n"
74,218,"Reward",2,"Diamond","LowReward","£1","3","Nonmatching",NA,NA,NA,"n"
74,219,"Reward",2,"Oval","MediumReward","£3","1","Nonmatching",1,638,"n","n"
74,220,"Reward",2,"Pentagon","HighReward","£9","9","Matching",1,607,"m","m"
74,221,"Reward",2,"Diamond","LowReward","£1","1","Matching",1,571,"m","m"
74,222,"Reward",2,"Diamond","LowReward","£1","1","Matching",1,514,"m","m"
74,223,"Reward",2,"Oval","MediumReward","£3","3","Matching",0,514,"n","m"
74,224,"Reward",2,"Oval","MediumReward","£3","9","Nonmatching",1,774,"n","n"
74,225,"Reward",2,"Pentagon","HighReward","£9","3","Nonmatching",1,690,"n","n"
74,226,"Reward",2,"Pentagon","HighReward","£9","9","Matching",1,679,"m","m"
74,227,"Reward",2,"Diamond","LowReward","£1","9","Nonmatching",1,715,"n","n"
74,228,"Reward",2,"Oval","MediumReward","£3","3","Matching",1,709,"m","m"
74,229,"Reward",2,"Oval","MediumReward","£3","3","Matching",1,1006,"m","m"
74,230,"Reward",2,"Diamond","LowReward","£1","1","Matching",1,677,"m","m"
74,231,"Reward",2,"Diamond","LowReward","£1","9","Nonmatching",0,928,"m","n"
74,232,"Reward",2,"Oval","MediumReward","£3","9","Nonmatching",1,736,"n","n"
74,233,"Reward",2,"Pentagon","HighReward","£9","1","Nonmatching",1,802,"n","n"
74,234,"Reward",2,"Oval","MediumReward","£3","1","Nonmatching",1,765,"n","n"
74,235,"Reward",2,"Pentagon","HighReward","£9","9","Matching",1,784,"m","m"
74,236,"Reward",2,"Pentagon","HighReward","£9","3","Nonmatching",1,617,"n","n"
74,237,"Reward",2,"Diamond","LowReward","£1","3","Nonmatching",1,750,"n","n"
74,238,"Reward",2,"Diamond","LowReward","£1","1","Matching",1,633,"m","m"
74,239,"Reward",2,"Pentagon","HighReward","£9","9","Matching",1,752,"m","m"
74,240,"Reward",2,"Oval","MediumReward","£3","3","Matching",1,664,"m","m"
74,241,"Valence",1,"Rectangle","Sad","sad","Happy","Nonmatching",1,809,"n","n"
74,242,"Valence",1,"Hexagon","Happy","happy","Happy","Matching",1,778,"m","m"
74,243,"Valence",1,"Rectangle","Sad","sad","Neutral","Nonmatching",NA,NA,NA,"n"
74,244,"Valence",1,"Star","Neutral","neutral","Sad","Nonmatching",NA,NA,NA,"n"
74,245,"Valence",1,"Hexagon","Happy","happy","Happy","Matching",1,684,"m","m"
74,246,"Valence",1,"Hexagon","Happy","happy","Neutral","Nonmatching",NA,NA,NA,"n"
74,247,"Valence",1,"Rectangle","Sad","sad","Sad","Matching",NA,NA,NA,"m"
74,248,"Valence",1,"Star","Neutral","neutral","Happy","Nonmatching",0,865,"m","n"
74,249,"Valence",1,"Hexagon","Happy","happy","Sad","Nonmatching",NA,NA,NA,"n"
74,250,"Valence",1,"Rectangle","Sad","sad","Sad","Matching",NA,NA,NA,"m"
74,251,"Valence",1,"Star","Neutral","neutral","Neutral","Matching",NA,NA,NA,"m"
74,252,"Valence",1,"Star","Neutral","neutral","Neutral","Matching",1,730,"m","m"
74,253,"Valence",1,"Star","Neutral","neutral","Neutral","Matching",NA,NA,NA,"m"
74,254,"Valence",1,"Rectangle","Sad","sad","Sad","Matching",0,745,"n","m"
74,255,"Valence",1,"Star","Neutral","neutral","Happy","Nonmatching",0,812,"m","n"
74,256,"Valence",1,"Hexagon","Happy","happy","Sad","Nonmatching",NA,NA,NA,"n"
74,257,"Valence",1,"Hexagon","Happy","happy","Happy","Matching",1,652,"m","m"
74,258,"Valence",1,"Hexagon","Happy","happy","Happy","Matching",1,766,"m","m"
74,259,"Valence",1,"Hexagon","Happy","happy","Neutral","Nonmatching",NA,NA,NA,"n"
74,260,"Valence",1,"Star","Neutral","neutral","Sad","Nonmatching",0,1038,"m","n"
74,261,"Valence",1,"Rectangle","Sad","sad","Sad","Matching",1,795,"m","m"
74,262,"Valence",1,"Rectangle","Sad","sad","Happy","Nonmatching",0,715,"m","n"
74,263,"Valence",1,"Star","Neutral","neutral","Neutral","Matching",1,1025,"m","m"
74,264,"Valence",1,"Rectangle","Sad","sad","Neutral","Nonmatching",1,749,"n","n"
74,265,"Valence",1,"Hexagon","Happy","happy","Neutral","Nonmatching",NA,NA,NA,"n"
74,266,"Valence",1,"Star","Neutral","neutral","Neutral","Matching",1,1049,"m","m"
74,267,"Valence",1,"Star","Neutral","neutral","Sad","Nonmatching",1,641,"n","n"
74,268,"Valence",1,"Rectangle","Sad","sad","Neutral","Nonmatching",1,900,"n","n"
74,269,"Valence",1,"Rectangle","Sad","sad","Sad","Matching",1,767,"m","m"
74,270,"Valence",1,"Star","Neutral","neutral","Neutral","Matching",0,713,"n","m"
74,271,"Valence",1,"Hexagon","Happy","happy","Happy","Matching",1,637,"m","m"
74,272,"Valence",1,"Rectangle","Sad","sad","Sad","Matching",0,894,"n","m"
74,273,"Valence",1,"Hexagon","Happy","happy","Happy","Matching",1,1016,"m","m"
74,274,"Valence",1,"Star","Neutral","neutral","Happy","Nonmatching",0,935,"m","n"
74,275,"Valence",1,"Rectangle","Sad","sad","Happy","Nonmatching",0,1018,"m","n"
74,276,"Valence",1,"Hexagon","Happy","happy","Sad","Nonmatching",NA,NA,NA,"n"
74,277,"Valence",1,"Hexagon","Happy","happy","Happy","Matching",1,869,"m","m"
74,278,"Valence",1,"Hexagon","Happy","happy","Sad","Nonmatching",0,1067,"m","n"
74,279,"Valence",1,"Rectangle","Sad","sad","Sad","Matching",1,709,"m","m"
74,280,"Valence",1,"Star","Neutral","neutral","Sad","Nonmatching",1,767,"n","n"
74,281,"Valence",1,"Star","Neutral","neutral","Happy","Nonmatching",0,944,"m","n"
74,282,"Valence",1,"Hexagon","Happy","happy","Neutral","Nonmatching",1,988,"n","n"
74,283,"Valence",1,"Rectangle","Sad","sad","Sad","Matching",1,1046,"m","m"
74,284,"Valence",1,"Rectangle","Sad","sad","Happy","Nonmatching",0,762,"m","n"
74,285,"Valence",1,"Hexagon","Happy","happy","Happy","Matching",1,780,"m","m"
74,286,"Valence",1,"Rectangle","Sad","sad","Neutral","Nonmatching",NA,NA,NA,"n"
74,287,"Valence",1,"Star","Neutral","neutral","Neutral","Matching",1,856,"m","m"
74,288,"Valence",1,"Star","Neutral","neutral","Neutral","Matching",1,761,"m","m"
74,289,"Valence",1,"Star","Neutral","neutral","Happy","Nonmatching",1,903,"n","n"
74,290,"Valence",1,"Rectangle","Sad","sad","Happy","Nonmatching",1,832,"n","n"
74,291,"Valence",1,"Rectangle","Sad","sad","Sad","Matching",1,744,"m","m"
74,292,"Valence",1,"Hexagon","Happy","happy","Neutral","Nonmatching",NA,NA,NA,"n"
74,293,"Valence",1,"Hexagon","Happy","happy","Sad","Nonmatching",1,717,"n","n"
74,294,"Valence",1,"Star","Neutral","neutral","Neutral","Matching",0,717,"n","m"
74,295,"Valence",1,"Star","Neutral","neutral","Sad","Nonmatching",1,785,"n","n"
74,296,"Valence",1,"Hexagon","Happy","happy","Happy","Matching",1,720,"m","m"
74,297,"Valence",1,"Star","Neutral","neutral","Neutral","Matching",0,648,"n","m"
74,298,"Valence",1,"Rectangle","Sad","sad","Neutral","Nonmatching",0,556,"m","n"
74,299,"Valence",1,"Rectangle","Sad","sad","Sad","Matching",0,617,"n","m"
74,300,"Valence",1,"Hexagon","Happy","happy","Happy","Matching",1,629,"m","m"
74,301,"Valence",2,"Star","Neutral","neutral","Sad","Nonmatching",1,796,"n","n"
74,302,"Valence",2,"Hexagon","Happy","happy","Happy","Matching",1,577,"m","m"
74,303,"Valence",2,"Star","Neutral","neutral","Neutral","Matching",0,722,"n","m"
74,304,"Valence",2,"Star","Neutral","neutral","Neutral","Matching",1,797,"m","m"
74,305,"Valence",2,"Hexagon","Happy","happy","Neutral","Nonmatching",1,827,"n","n"
74,306,"Valence",2,"Hexagon","Happy","happy","Happy","Matching",1,732,"m","m"
74,307,"Valence",2,"Star","Neutral","neutral","Happy","Nonmatching",1,751,"n","n"
74,308,"Valence",2,"Rectangle","Sad","sad","Neutral","Nonmatching",1,865,"n","n"
74,309,"Valence",2,"Rectangle","Sad","sad","Sad","Matching",1,630,"m","m"
74,310,"Valence",2,"Hexagon","Happy","happy","Sad","Nonmatching",1,783,"n","n"
74,311,"Valence",2,"Rectangle","Sad","sad","Sad","Matching",0,928,"n","m"
74,312,"Valence",2,"Rectangle","Sad","sad","Happy","Nonmatching",0,624,"m","n"
74,313,"Valence",2,"Rectangle","Sad","sad","Neutral","Nonmatching",NA,NA,NA,"n"
74,314,"Valence",2,"Hexagon","Happy","happy","Sad","Nonmatching",1,1066,"n","n"
74,315,"Valence",2,"Rectangle","Sad","sad","Sad","Matching",NA,NA,NA,"m"
74,316,"Valence",2,"Rectangle","Sad","sad","Sad","Matching",1,596,"m","m"
74,317,"Valence",2,"Hexagon","Happy","happy","Happy","Matching",1,741,"m","m"
74,318,"Valence",2,"Star","Neutral","neutral","Sad","Nonmatching",1,918,"n","n"
74,319,"Valence",2,"Star","Neutral","neutral","Neutral","Matching",1,897,"m","m"
74,320,"Valence",2,"Star","Neutral","neutral","Happy","Nonmatching",1,888,"n","n"
74,321,"Valence",2,"Hexagon","Happy","happy","Neutral","Nonmatching",0,868,"m","n"
