SampleSize,Mean_d,CI_lower,CI_upper,Identity
110,0.06280538838990482,0.0011625943692595217,0.1250489075566507,Label
120,0.05868143660715843,0.0004456115971744613,0.12017082653774629,Label
130,0.0601363367729126,0.009238283336903678,0.11476327477939867,Label
140,0.06183863201346909,0.00575516346430757,0.12041912014058637,Label
150,0.06034807872202692,0.009428440777081368,0.11725050682713202,Label
160,0.059649164351406145,0.0035874182544580976,0.11842217952480073,Label
170,0.0606200180630758,0.009104727362329333,0.11414343522278438,Label
180,0.06072839685889247,0.005477043286769075,0.11394796211779304,Label
190,0.06236413606898918,0.011719604924761182,0.11269230130381146,Label
200,0.06169591297840365,0.016995369581659234,0.11217585134235007,Label
210,0.06141003258568088,0.018617778435118963,0.10586975085008275,Label
220,0.05808444397457747,0.011560828916074323,0.10360147737210032,Label
230,0.06191922378341789,0.01804165213013771,0.10475827130120435,Label
240,0.061466986331511264,0.019484303876848703,0.10327011544361743,Label
250,0.05948803462037024,0.018498327253294724,0.10212328411952351,Label
260,0.059276466442455746,0.022487361808283528,0.09847267314913678,Label
270,0.06318739564153156,0.020937738398448848,0.10110199228710554,Label
280,0.061205038919930434,0.020280019399146882,0.09950379230556858,Label
290,0.0629004346392723,0.024454767852845744,0.10340378824534431,Label
300,0.06209332046061437,0.02501000675677389,0.09888196308496854,Label
310,0.0595859380894469,0.018462332775560576,0.09606093905484397,Label
320,0.06168433704855117,0.023192082625824454,0.1005129369144374,Label
330,0.06114931928185693,0.02189674868126508,0.10111573000097443,Label
340,0.061002642590697945,0.026847597622945942,0.0980802876905339,Label
350,0.06132983237261137,0.026313851581441085,0.09389416378561191,Label
360,0.06144078175115357,0.027866388520299108,0.09652195537444931,Label
370,0.060447005568240945,0.02630969350603453,0.09692865653852266,Label
380,0.06116058613237713,0.024843630625954648,0.09451803087083072,Label
390,0.06074911465991198,0.026986889517716155,0.09600602047982139,Label
400,0.06157957084373936,0.03269347545169094,0.09476703756407208,Label
410,0.06176548367360846,0.024654937584810816,0.0966946113527224,Label
420,0.06066429555918989,0.02779490252797646,0.0911489862738524,Label
430,0.06137090165316789,0.0270388241159513,0.09690772621734904,Label
440,0.06141616232007639,0.030852826448064998,0.09166803602261622,Label
450,0.06124951006463745,0.029605459844029722,0.09529611951624732,Label
460,0.06138324142040777,0.02754789281306511,0.09343187217081629,Label
470,0.06138897669159954,0.03196395624215771,0.09266428483062361,Label
480,0.06147651585068734,0.031266649377006336,0.09428960481351827,Label
490,0.06113947926803333,0.03152989102733509,0.08937169912742056,Label
