"ExperimentName","Subject","Age","Handedness","Sex","Identity","Shape","Target.ACC","Target.RESP","Target.RT","Session","Group","Label","Phase"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"m",1147,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Stranger","S.bmp",1,"n",1249,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",978,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",0,"m",689,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,"n",1108,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",831,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"n",901,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"n",726,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,"n",827,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"b",956,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"b",761,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"b",886,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"b",955,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"n",904,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",761,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"b",886,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"b",1074,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",967,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"n",1050,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"m",859,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"b",778,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"n",828,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"m",781,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,"m",806,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"m",1067,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",874,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"n",841,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,"n",726,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"m",1115,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"b",792,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"n",742,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"b",967,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",890,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",885,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"b",785,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",736,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"n",730,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"b",949,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"n",884,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"b",777,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"n",835,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",906,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"b",1297,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"b",714,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"m",953,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",0,"m",925,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,"m",1130,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"n",835,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"b",746,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",987,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"b",721,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",678,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"b",779,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"b",804,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"n",895,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"b",712,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"n",711,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"n",742,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",0,"b",871,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",844,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"b",798,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"n",762,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"n",903,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"n",776,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",795,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"b",666,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"b",906,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"m",795,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"m",794,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"b",729,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"n",772,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Friend","T.bmp",1,"m",877,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",811,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",806,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",875,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"n",938,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",653,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"m",638,NA,NA,NA,"Association"
"SelfAssociate",11,26,NA,"female","Self","C.bmp",1,"n",716,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Friend","S.bmp",1,"n",1037,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Self","C.bmp",1,"m",1226,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Stranger","T.bmp",1,"b",1057,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Stranger","T.bmp",0,"b",1467,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Friend","S.bmp",0,"n",1130,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Self","C.bmp",0,"m",1084,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Friend","S.bmp",1,"b",1279,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Self","C.bmp",0,"m",1290,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Friend","S.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Stranger","T.bmp",1,"n",1187,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Self","C.bmp",0,"b",1074,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Stranger","T.bmp",1,"m",1360,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Friend","S.bmp",1,"m",1339,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Self","C.bmp",1,"n",1299,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Friend","S.bmp",1,"m",1938,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Stranger","T.bmp",1,"m",1138,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Stranger","T.bmp",1,"n",1194,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Self","C.bmp",1,"n",1151,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Stranger","T.bmp",1,"b",1276,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Friend","S.bmp",1,"n",1538,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Stranger","T.bmp",1,"m",1201,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Self","C.bmp",1,"m",1213,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Friend","S.bmp",1,"n",1150,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Self","C.bmp",1,"b",1164,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Self","C.bmp",1,"b",2750,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Friend","S.bmp",1,"n",1989,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Friend","S.bmp",1,"m",1059,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Self","C.bmp",1,"b",1010,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Friend","S.bmp",1,"m",1259,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Friend","S.bmp",1,"m",1723,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Self","C.bmp",1,"n",1175,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Self","C.bmp",1,"m",1712,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Self","C.bmp",1,"n",1238,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Friend","S.bmp",1,"b",985,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Self","C.bmp",1,"m",1442,NA,NA,NA,"Association"
"SelfAssociate",12,24,NA,"female","Friend","S.bmp",1,"n",798,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",1,"n",1235,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Friend","S.bmp",1,"n",1128,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Self","T.bmp",0,"b",1034,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",0,"n",879,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Friend","S.bmp",1,"n",1012,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Self","T.bmp",1,"n",1125,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Friend","S.bmp",0,"b",1080,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Self","T.bmp",1,"n",916,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Self","T.bmp",1,"b",850,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",0,"m",997,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Friend","S.bmp",0,"n",1143,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",1,"b",1015,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",0,"b",904,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",1,"b",777,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Self","T.bmp",1,"m",1140,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Friend","S.bmp",1,"m",1315,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Friend","S.bmp",1,"n",1312,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Self","T.bmp",1,"b",758,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",0,"n",949,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Friend","S.bmp",1,"b",891,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Self","T.bmp",0,"m",806,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Friend","S.bmp",1,"b",947,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Self","T.bmp",1,"b",764,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",1,"m",809,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Friend","S.bmp",1,"m",1131,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",1,"n",981,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Self","T.bmp",1,"b",710,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",0,"n",1244,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Friend","S.bmp",1,"b",848,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Self","T.bmp",1,"b",636,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",1,"b",867,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",1,"m",972,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Self","T.bmp",1,"b",854,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Self","T.bmp",1,"m",888,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Self","T.bmp",1,"b",611,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",1,"n",782,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Self","T.bmp",1,"m",806,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",1,"m",1126,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",0,"n",1256,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",1,"n",1178,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Self","T.bmp",1,"m",1072,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Self","T.bmp",1,"b",725,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",1,"n",761,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",1,"n",710,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",1,"n",917,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",1,"b",932,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",1,"n",1014,NA,NA,NA,"Association"
"SelfAssociate",13,20,NA,"female","Stranger","C.bmp",1,"b",896,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",0,"b",1355,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",0,"m",808,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",1,"n",787,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",0,"n",796,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",0,"m",827,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",1,"b",1362,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",0,NA,0,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",1,"b",876,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",1,"b",1003,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",1,"n",983,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",0,"n",1110,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",0,"m",1059,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",0,"n",1123,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",0,"b",1318,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",1,"m",1074,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",0,"b",663,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",1,"b",1198,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",0,"n",1313,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",0,"b",1095,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",1,"n",936,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",0,"b",1227,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",1,"b",938,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",0,"n",1187,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",1,"n",849,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",1,"m",1284,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",1,"n",1143,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",1,"n",791,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",1,"b",812,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",0,"b",1222,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",1,"b",934,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",1,"b",873,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",1,"n",1096,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",1,"m",1209,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",0,"b",1202,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",1,"n",758,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",1,"b",819,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",0,"n",1210,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",1,"m",963,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",1,"b",694,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",1,"n",1225,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",1,"n",633,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",0,"m",1159,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",1,"n",691,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",1,"m",1205,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",0,"m",857,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",1,"m",1068,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",1,"b",779,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",1,"b",947,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",1,"m",1196,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",1,"n",729,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",1,"m",1012,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",0,"m",853,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",1,"m",1192,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Friend","C.bmp",0,"b",1158,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Self","T.bmp",0,"n",769,NA,NA,NA,"Association"
"SelfAssociate",14,20,NA,"female","Stranger","S.bmp",0,"m",644,NA,NA,NA,"Association"
