"Subject","Task","Phase","Block","Trial","Practice","Matching","Shape","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Label","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","CorrResponse","Response","RT_ms","RT_sec","ACC"
3,"self-matching","Breaking",1,78,0,"Nonmatching","S.bmp","Self","Self","Self","Self","Self","Self","Self","m","m",675,0.675,1
3,"self-matching","Breaking",1,79,0,"Nonmatching","S.bmp","Self","Self","Self","Self","Self","Self","Self","m","m",769,0.769,1
3,"self-matching","Breaking",1,80,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Self","Self","Self","Self","m","m",503,0.503,1
3,"self-matching","Breaking",1,81,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Self","Self","Self","Self","m","m",469,0.469,1
3,"self-matching","Breaking",2,1,0,"Nonmatching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m","m",421,0.421,1
3,"self-matching","Breaking",2,2,0,"Nonmatching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m","m",405,0.405,1
3,"self-matching","Breaking",2,3,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","n","n",731,0.731,1
3,"self-matching","Breaking",2,4,0,"Matching","S.bmp","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","n","m",755,0.755,0
3,"self-matching","Breaking",2,5,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Self","Self","Self","Self","m","m",649,0.649,1
3,"self-matching","Breaking",2,6,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","n","n",561,0.561,1
3,"self-matching","Breaking",2,7,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",511,0.511,1
3,"self-matching","Breaking",2,8,0,"Nonmatching","T.bmp","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m","m",469,0.469,1
3,"self-matching","Breaking",2,9,0,"Nonmatching","S.bmp","Self","Self","Self","Self","Self","Self","Self","m","m",987,0.987,1
3,"self-matching","Breaking",2,10,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",841,0.841,1
3,"self-matching","Breaking",2,11,0,"Nonmatching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m","m",479,0.479,1
3,"self-matching","Breaking",2,12,0,"Nonmatching","S.bmp","Self","Self","Self","Self","Self","Self","Self","m","m",1097,1.097,1
3,"self-matching","Breaking",2,13,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Self","Self","Self","Self","m","m",803,0.803,1
3,"self-matching","Breaking",2,14,0,"Nonmatching","S.bmp","Self","Self","Self","Friend","Friend","Friend","Close","m","m",865,0.865,1
3,"self-matching","Breaking",2,15,0,"Matching","S.bmp","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","n","n",511,0.511,1
3,"self-matching","Breaking",2,16,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","n","n",949,0.949,1
3,"self-matching","Breaking",2,17,0,"Matching","T.bmp","Friend","Friend","Close","Self","Self","Self","Self","n","n",395,0.395,1
3,"self-matching","Breaking",2,18,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",729,0.729,1
3,"self-matching","Breaking",2,19,0,"Nonmatching","S.bmp","Self","Self","Self","Friend","Friend","Friend","Close","m","m",847,0.847,1
3,"self-matching","Breaking",2,20,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Self","Self","Self","Self","m","m",665,0.665,1
3,"self-matching","Breaking",2,21,0,"Matching","T.bmp","Friend","Friend","Close","Self","Self","Self","Self","n","n",467,0.467,1
3,"self-matching","Breaking",2,22,0,"Matching","S.bmp","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","n","m",697,0.697,0
3,"self-matching","Breaking",2,23,0,"Nonmatching","T.bmp","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m","m",551,0.551,1
3,"self-matching","Breaking",2,24,0,"Nonmatching","S.bmp","Self","Self","Self","Self","Self","Self","Self","m","m",581,0.581,1
