"Subject","Task","Phase","Block","Trial","Matching","Shape","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Label","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","extraIV1","Response","RT_ms","RT_sec","ACC"
1,"self-matching",1,1,21,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,2,637.747065107305,0.638,1
1,"self-matching",1,1,22,"Nonmatching",2,"Friend","Friend","Close",3,"Stranger","Stranger","Stranger",0,1,781.665501275256,0.782,0
1,"self-matching",1,1,23,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,1,1008.35032704481,1.008,3
1,"self-matching",1,1,24,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,526.990120895334,0.527,1
1,"self-matching",1,1,25,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,490.97195092645,0.491,1
1,"self-matching",1,1,26,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,2,784.311792076551,0.784,1
1,"self-matching",1,1,27,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,2,522.351339438956,0.522,0
1,"self-matching",1,1,28,"Nonmatching",1,"Self","Self","Self",3,"Stranger","Stranger","Stranger",0,2,917.091779875591,0.917,1
1,"self-matching",1,1,29,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,2,881.698734607198,0.882,1
1,"self-matching",1,1,30,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,2,535.120666009789,0.535,1
1,"self-matching",1,1,31,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,722.993126082201,0.723,1
1,"self-matching",1,1,32,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,846.953754394235,0.847,1
1,"self-matching",1,1,33,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,2,670.938439895508,0.671,1
1,"self-matching",1,1,34,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,2,893.267918343554,0.893,1
1,"self-matching",1,1,35,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,1074.26672333258,1.074,3
1,"self-matching",1,1,36,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,521.008121227169,0.521,1
1,"self-matching",1,1,37,"Nonmatching",2,"Friend","Friend","Close",3,"Stranger","Stranger","Stranger",0,2,757.710034543379,0.758,1
1,"self-matching",1,1,38,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,432.974505153652,0.433,1
1,"self-matching",1,1,39,"Nonmatching",1,"Self","Self","Self",3,"Stranger","Stranger","Stranger",0,2,929.155086806531,0.929,1
1,"self-matching",1,1,40,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,2,684.350096433718,0.684,1
1,"self-matching",1,1,41,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,1,809.805470046285,0.81,0
1,"self-matching",1,1,42,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,610.406990328102,0.61,1
1,"self-matching",1,1,43,"Nonmatching",1,"Self","Self","Self",3,"Stranger","Stranger","Stranger",0,2,635.407752491119,0.635,1
1,"self-matching",1,1,44,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,634.326537292054,0.634,1
1,"self-matching",1,1,45,"Nonmatching",2,"Friend","Friend","Close",3,"Stranger","Stranger","Stranger",0,2,770.314854613844,0.77,1
1,"self-matching",1,1,46,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,691.094259244892,0.691,1
1,"self-matching",1,1,47,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,2,600.382356611135,0.6,1
1,"self-matching",1,1,48,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,752.367044527546,0.752,1
1,"self-matching",1,1,49,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,2,610.374089028028,0.61,1
1,"self-matching",1,1,50,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,2,546.997431624732,0.547,1
1,"self-matching",1,1,51,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,677.842581505047,0.678,1
1,"self-matching",1,1,52,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,618.953178470747,0.619,1
1,"self-matching",1,1,53,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,499.046956231268,0.499,1
1,"self-matching",1,1,54,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,2,632.458407513695,0.632,1
1,"self-matching",1,1,55,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,2,696.332206578518,0.696,0
1,"self-matching",1,1,56,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,1,855.045964966394,0.855,0
1,"self-matching",1,1,57,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,989.666312639201,0.99,1
1,"self-matching",1,1,58,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,525.699122178139,0.526,1
1,"self-matching",1,1,59,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,641.024215698053,0.641,1
1,"self-matching",1,1,60,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,744.97723143395,0.745,1
1,"self-matching",1,2,1,"Nonmatching",2,"Friend","Friend","Close",3,"Stranger","Stranger","Stranger",0,2,671.01541082684,0.671,1
1,"self-matching",1,2,2,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,717.612405217551,0.718,1
1,"self-matching",1,2,3,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,2,641.778832670752,0.642,1
1,"self-matching",1,2,4,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,2,753.627254872299,0.754,1
1,"self-matching",1,2,5,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,2,803.042290887333,0.803,1
1,"self-matching",1,2,6,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,643.152235561956,0.643,1
1,"self-matching",1,2,7,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,626.463428432999,0.626,1
1,"self-matching",1,2,8,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,2,777.675992262175,0.778,1
1,"self-matching",1,2,9,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,2,827.644615288591,0.828,1
1,"self-matching",1,2,10,"Nonmatching",1,"Self","Self","Self",3,"Stranger","Stranger","Stranger",0,2,731.66095848137,0.732,1
1,"self-matching",1,2,11,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,615.650974596974,0.616,1
1,"self-matching",1,2,12,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,2,552.345553036048,0.552,1
1,"self-matching",1,2,13,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,2,793.730317439895,0.794,1
1,"self-matching",1,2,14,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,2,818.982517978839,0.819,1
1,"self-matching",1,2,15,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,562.367470131448,0.562,1
1,"self-matching",1,2,16,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,2,829.087141094078,0.829,1
1,"self-matching",1,2,17,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,468.474706032794,0.468,1
1,"self-matching",1,2,18,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,2,618.395063757362,0.618,1
1,"self-matching",1,2,19,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,2,618.950461849636,0.619,1
1,"self-matching",1,2,20,"Nonmatching",1,"Self","Self","Self",3,"Stranger","Stranger","Stranger",0,1,842.962434300716,0.843,0
1,"self-matching",1,2,21,"Nonmatching",2,"Friend","Friend","Close",3,"Stranger","Stranger","Stranger",0,2,1201.60924307129,1.202,3
1,"self-matching",1,2,22,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,690.952693101281,0.691,1
1,"self-matching",1,2,23,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,703.769711464702,0.704,1
1,"self-matching",1,2,24,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,1,612.283571816533,0.612,0
1,"self-matching",1,2,25,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,2,556.285257328909,0.556,0
1,"self-matching",1,2,26,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,2,870.973212645822,0.871,1
1,"self-matching",1,2,27,"Nonmatching",2,"Friend","Friend","Close",3,"Stranger","Stranger","Stranger",0,2,838.399114541517,0.838,1
1,"self-matching",1,2,28,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,557.648397429148,0.558,1
1,"self-matching",1,2,29,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,633.631384136606,0.634,1
1,"self-matching",1,2,30,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,2,681.736103239473,0.682,1
1,"self-matching",1,2,31,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,2,679.691091242603,0.68,0
1,"self-matching",1,2,32,"Nonmatching",1,"Self","Self","Self",3,"Stranger","Stranger","Stranger",0,2,662.41156994738,0.662,1
1,"self-matching",1,2,33,"Nonmatching",2,"Friend","Friend","Close",3,"Stranger","Stranger","Stranger",0,2,843.692903530609,0.844,1
1,"self-matching",1,2,34,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,1,579.026394427729,0.579,0
1,"self-matching",1,2,35,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,630.282695856749,0.63,1
1,"self-matching",1,2,36,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,662.95247939388,0.663,1
1,"self-matching",1,2,37,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,662.377159413154,0.662,1
1,"self-matching",1,2,38,"Nonmatching",2,"Friend","Friend","Close",3,"Stranger","Stranger","Stranger",0,2,676.264224644456,0.676,1
1,"self-matching",1,2,39,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,858.390729237726,0.858,1
1,"self-matching",1,2,40,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,553.210042240607,0.553,1
1,"self-matching",1,2,41,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,755.788779729755,0.756,1
1,"self-matching",1,2,42,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,470.331365633683,0.47,1
1,"self-matching",1,2,43,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,468.344308219912,0.468,1
1,"self-matching",1,2,44,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,618.378462183955,0.618,1
1,"self-matching",1,2,45,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,2,586.512194800434,0.587,1
1,"self-matching",1,2,46,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,650.966143393816,0.651,1
1,"self-matching",1,2,47,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,625.026939563213,0.625,1
1,"self-matching",1,2,48,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,624.323032850953,0.624,1
1,"self-matching",1,2,49,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,528.407291571057,0.528,1
1,"self-matching",1,2,50,"Nonmatching",1,"Self","Self","Self",3,"Stranger","Stranger","Stranger",0,1,547.672662892182,0.548,0
1,"self-matching",1,2,51,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,2,734.411084577914,0.734,1
1,"self-matching",1,2,52,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,642.353548957544,0.642,1
1,"self-matching",1,2,53,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,561.070132631357,0.561,1
1,"self-matching",1,2,54,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,2,667.022883345908,0.667,1
1,"self-matching",1,2,55,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,2,712.966983131992,0.713,1
1,"self-matching",1,2,56,"Nonmatching",1,"Self","Self","Self",3,"Stranger","Stranger","Stranger",0,2,741.161284325244,0.741,1
1,"self-matching",1,2,57,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,688.287084105468,0.688,1
1,"self-matching",1,2,58,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,630.54892472519,0.631,1
1,"self-matching",1,2,59,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,2,853.661997437939,0.854,1
1,"self-matching",1,2,60,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,748.993001117924,0.749,1
1,"self-matching",1,3,1,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,2,721.789361086849,0.722,1
1,"self-matching",1,3,2,"Nonmatching",1,"Self","Self","Self",3,"Stranger","Stranger","Stranger",0,1,526.463398248325,0.526,0
1,"self-matching",1,3,3,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,625.783367616805,0.626,1
1,"self-matching",1,3,4,"Nonmatching",2,"Friend","Friend","Close",3,"Stranger","Stranger","Stranger",0,2,777.6370540264,0.778,1
1,"self-matching",1,3,5,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,2,747.767805000422,0.748,1
1,"self-matching",1,3,6,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,558.364378012811,0.558,1
1,"self-matching",1,3,7,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,520.995745508571,0.521,1
1,"self-matching",1,3,8,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,468.995391744102,0.469,1
1,"self-matching",1,3,9,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,475.059493739536,0.475,1
1,"self-matching",1,3,10,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,2,680.953716362183,0.681,1
1,"self-matching",1,3,11,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,2,534.374198899968,0.534,1
1,"self-matching",1,3,12,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,601.67999595842,0.602,1
1,"self-matching",1,3,13,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,778.353940150737,0.778,1
1,"self-matching",1,3,14,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,651.751548739412,0.652,1
1,"self-matching",1,3,15,"Nonmatching",1,"Self","Self","Self",3,"Stranger","Stranger","Stranger",0,2,601.65162236035,0.602,1
1,"self-matching",1,3,16,"Nonmatching",2,"Friend","Friend","Close",3,"Stranger","Stranger","Stranger",0,2,722.360757058595,0.722,1
1,"self-matching",1,3,17,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,470.301482801005,0.47,1
1,"self-matching",1,3,18,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,2,628.316465872103,0.628,1
1,"self-matching",1,3,19,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,2,748.331654802314,0.748,1
1,"self-matching",1,3,20,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,2,559.086395533086,0.559,1
1,"self-matching",1,3,21,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,785.124363632804,0.785,1
1,"self-matching",1,3,22,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,481.644583293019,0.482,1
1,"self-matching",1,3,23,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,2,679.809113337342,0.68,1
1,"self-matching",1,3,24,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,548.407357977339,0.548,1
1,"self-matching",1,3,25,"Nonmatching",2,"Friend","Friend","Close",3,"Stranger","Stranger","Stranger",0,2,631.727636437063,0.632,1
1,"self-matching",1,3,26,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,2,751.090232608931,0.751,1
1,"self-matching",1,3,27,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,545.126283378522,0.545,1
1,"self-matching",1,3,28,"Nonmatching",2,"Friend","Friend","Close",3,"Stranger","Stranger","Stranger",0,2,731.729175855435,0.732,1
1,"self-matching",1,3,29,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,2,652.442476040051,0.652,1
1,"self-matching",1,3,30,"Nonmatching",1,"Self","Self","Self",3,"Stranger","Stranger","Stranger",0,1,635.707486352658,0.636,0
1,"self-matching",1,3,31,"Nonmatching",1,"Self","Self","Self",3,"Stranger","Stranger","Stranger",0,2,763.634683321925,0.764,1
1,"self-matching",1,3,32,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,2,1038.29865993021,1.038,3
1,"self-matching",1,3,33,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,677.722144636391,0.678,1
1,"self-matching",1,3,34,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,2,603.03226957376,0.603,1
1,"self-matching",1,3,35,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,2,540.321184340883,0.54,1
1,"self-matching",1,3,36,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,630.960945592051,0.631,1
1,"self-matching",1,3,37,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,662.317695595902,0.662,1
1,"self-matching",1,3,38,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,619.778125745597,0.62,1
1,"self-matching",1,3,39,"Nonmatching",1,"Self","Self","Self",3,"Stranger","Stranger","Stranger",0,2,658.975346098941,0.659,1
1,"self-matching",1,3,40,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,665.050314578821,0.665,1
1,"self-matching",1,3,41,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,2,686.421670948221,0.686,1
1,"self-matching",1,3,42,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,682.367264875666,0.682,1
1,"self-matching",1,3,43,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,2,727.753249948364,0.728,1
1,"self-matching",1,3,44,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,2,786.352578218157,0.786,0
1,"self-matching",1,3,45,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,2,948.276477209674,0.948,1
1,"self-matching",1,3,46,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,519.108901229174,0.519,1
1,"self-matching",1,3,47,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,547.616217542782,0.548,1
1,"self-matching",1,3,48,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,2,766.974316197775,0.767,1
1,"self-matching",1,3,49,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,2,552.961924179726,0.553,1
1,"self-matching",1,3,50,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,2,634.452709249672,0.634,0
1,"self-matching",1,3,51,"Nonmatching",2,"Friend","Friend","Close",3,"Stranger","Stranger","Stranger",0,2,753.661665406526,0.754,1
1,"self-matching",1,3,52,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,2,859.075317755924,0.859,1
1,"self-matching",1,3,53,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,657.704872963222,0.658,1
1,"self-matching",1,3,54,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,496.972363248915,0.497,1
1,"self-matching",1,3,55,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,397.614663031618,0.398,1
1,"self-matching",1,3,56,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,447.168548569607,0.447,1
1,"self-matching",1,3,57,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,2,725.705219483189,0.726,1
1,"self-matching",1,3,58,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,1010.29271113339,1.01,3
1,"self-matching",1,3,59,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,2,689.830728585548,0.69,1
1,"self-matching",1,3,60,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,527.119009474518,0.527,1
1,"self-matching",1,4,1,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,2,672.942400729426,0.673,1
1,"self-matching",1,4,2,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,2,415.624049863254,0.416,1
1,"self-matching",1,4,3,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,544.459201974405,0.544,1
1,"self-matching",1,4,4,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,579.659668991553,0.58,1
1,"self-matching",1,4,5,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,2,677.048120755899,0.677,1
1,"self-matching",1,4,6,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,2,707.088215065141,0.707,1
1,"self-matching",1,4,7,"Nonmatching",2,"Friend","Friend","Close",3,"Stranger","Stranger","Stranger",0,2,671.622122873487,0.672,1
1,"self-matching",1,4,8,"Nonmatching",1,"Self","Self","Self",3,"Stranger","Stranger","Stranger",0,2,677.70886337803,0.678,1
1,"self-matching",1,4,9,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,651.220902083878,0.651,1
1,"self-matching",1,4,10,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,2,729.611720629691,0.73,1
1,"self-matching",1,4,11,"Matching",3,"Stranger","Stranger","Stranger",3,"Stranger","Stranger","Stranger",0,1,652.464812702419,0.652,1
1,"self-matching",1,4,12,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,2,635.012936890689,0.635,1
1,"self-matching",1,4,13,"Nonmatching",3,"Stranger","Stranger","Stranger",1,"Self","Self","Self",0,2,634.288806443692,0.634,1
1,"self-matching",1,4,14,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,585.652233297878,0.586,1
1,"self-matching",1,4,15,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,2,627.081912504309,0.627,1
1,"self-matching",1,4,16,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,2,755.031747982684,0.755,1
1,"self-matching",1,4,17,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,797.209403532634,0.797,1
1,"self-matching",1,4,18,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,2,653.048584392764,0.653,1
1,"self-matching",1,4,19,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,684.429482139421,0.684,1
1,"self-matching",1,4,20,"Nonmatching",2,"Friend","Friend","Close",1,"Self","Self","Self",0,2,625.767671584072,0.626,1
1,"self-matching",1,4,21,"Nonmatching",1,"Self","Self","Self",2,"Friend","Friend","Close",0,2,785.724736896555,0.786,1
1,"self-matching",1,4,22,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,827.642502361414,0.828,1
1,"self-matching",1,4,23,"Matching",2,"Friend","Friend","Close",2,"Friend","Friend","Close",0,1,530.963933875682,0.531,1
1,"self-matching",1,4,24,"Nonmatching",3,"Stranger","Stranger","Stranger",2,"Friend","Friend","Close",0,2,590.968962642819,0.591,1
1,"self-matching",1,4,25,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,608.433516019886,0.608,1
1,"self-matching",1,4,26,"Matching",1,"Self","Self","Self",1,"Self","Self","Self",0,1,545.074969424149,0.545,1
