"Subject","Shape","Task","Matching","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","extraIV1","Response","RT_ms","RT_sec","ACC"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","959.355","0.959355","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","l","1286.19","1.28619","0"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","missed","NA","NA","NA"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","a","1449.65","1.44965","0"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","1252.165","1.252165","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","926.265","0.926265","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","l","1443.515","1.443515","0"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","missed","NA","NA","NA"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","a","830.24","0.83024","0"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","a","1193.615","1.193615","0"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","1199.52","1.19952","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","897.125","0.897125","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","a","957.805","0.957805","0"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","962.465","0.962465","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","1201.945","1.201945","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","861.345","0.861345","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","l","993.265","0.993265","0"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","1403.295","1.403295","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","740.96","0.74096","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","a","745.495","0.745495","0"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","743.38","0.74338","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","l","1124.27","1.12427","0"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","1124.7","1.1247","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","669.9","0.6699","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","612.29","0.61229","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","1059.39","1.05939","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","l","1361.02","1.36102","0"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","1104.58","1.10458","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","940.4","0.9404","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","1362.865","1.362865","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","774.95","0.77495","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","1176.51","1.17651","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","1008.84","1.00884","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","929.255","0.929255","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","844.43","0.84443","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","1397.915","1.397915","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","848.08","0.84808","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","1244.79","1.24479","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","1441.795","1.441795","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","1121.595","1.121595","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","934.245","0.934245","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","1012.105","1.012105","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","732.275","0.732275","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","858.35","0.85835","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","833.4","0.8334","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","936.36","0.93636","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","1108.085","1.108085","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","1029.135","1.029135","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","932.855","0.932855","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","1018.53","1.01853","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","1174.255","1.174255","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","843.555","0.843555","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","894.82","0.89482","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","missed","NA","NA","NA"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","566.9","0.5669","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","829.89","0.82989","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","756.71","0.75671","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","l","1504.09","1.50409","0"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","625.935","0.625935","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","786.435","0.786435","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","917.45","0.91745","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","679.735","0.679735","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","726.875","0.726875","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","1310.425","1.310425","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","862.675","0.862675","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","843.965","0.843965","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","859.63","0.85963","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","867.23","0.86723","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","898.815","0.898815","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","a","913.355","0.913355","0"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","l","864.56","0.86456","0"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","801.595","0.801595","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","761.22","0.76122","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","765.035","0.765035","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","l","749.17","0.74917","0"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","930.925","0.930925","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","993.695","0.993695","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","579.635","0.579635","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","785.96","0.78596","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","843.64","0.84364","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","1177.05","1.17705","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","1277.345","1.277345","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","l","909.45","0.90945","0"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","726.88","0.72688","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","959.245","0.959245","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","909.31","0.90931","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","618.625","0.618625","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","895.21","0.89521","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","1118.135","1.118135","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","807.635","0.807635","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","903.61","0.90361","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","1078.77","1.07877","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","612.02","0.61202","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","854.09","0.85409","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","826.41","0.82641","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","a","776.135","0.776135","0"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","682.755","0.682755","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","857.405","0.857405","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","797.505","0.797505","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","724.28","0.72428","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","984.48","0.98448","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","894.95","0.89495","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","950.27","0.95027","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","834.3","0.8343","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","782.8","0.7828","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","1182.995","1.182995","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","731.455","0.731455","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","1266.84","1.26684","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","788.41","0.78841","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","784.76","0.78476","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","893.605","0.893605","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","776.35","0.77635","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","1235.995","1.235995","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","783.445","0.783445","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","947.93","0.94793","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","727.185","0.727185","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","757.795","0.757795","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","a","710.095","0.710095","0"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","1024.87","1.02487","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","874.825","0.874825","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","1045.74","1.04574","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","616.305","0.616305","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","1417.28","1.41728","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","751.27","0.75127","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","823.965","0.823965","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","776.855","0.776855","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","missed","NA","NA","NA"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","828.145","0.828145","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","864.035","0.864035","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","l","830.83","0.83083","0"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","968.71","0.96871","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","1009.92","1.00992","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","841.66","0.84166","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","613.855","0.613855","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","a","756.63","0.75663","0"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","1042.96","1.04296","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","1375.07","1.37507","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","759.775","0.759775","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","824.775","0.824775","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","696.105","0.696105","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","a","1087.82","1.08782","0"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","781.515","0.781515","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","965.64","0.96564","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","802.42","0.80242","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","907.885","0.907885","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","634.37","0.63437","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","796.815","0.796815","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","913.35","0.91335","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","809.305","0.809305","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","857.105","0.857105","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","861.81","0.86181","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","765.55","0.76555","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","693.385","0.693385","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","797.625","0.797625","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","873.325","0.873325","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","777.935","0.777935","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","1041.295","1.041295","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","1043.565","1.043565","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","780.265","0.780265","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","993.53","0.99353","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","882.075","0.882075","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","717.15","0.71715","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","820.24","0.82024","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","926.315","0.926315","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","609.095","0.609095","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","865","0.865","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","846.27","0.84627","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","746.28","0.74628","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","802.1","0.8021","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","737.095","0.737095","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","793.495","0.793495","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","1184.28","1.18428","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","1096.81","1.09681","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","764.73","0.76473","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","779.145","0.779145","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","853.995","0.853995","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","787.27","0.78727","1"
"A.A. 31/03/1998","self-related","self-matching","Nonmatching","self-related","Self","Self","Asymmetry","l","1482.435","1.482435","1"
"A.A. 31/03/1998","self-related","self-matching","Matching","self-related","Self","Self","Asymmetry","a","798.49","0.79849","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","860.09","0.86009","1"
"A.A. 31/03/1998","stranger-related","self-matching","Nonmatching","stranger-related","Stranger","Stranger","Asymmetry","l","808.29","0.80829","1"
"A.A. 31/03/1998","stranger-related","self-matching","Matching","stranger-related","Stranger","Stranger","Asymmetry","a","957.44","0.95744","1"
