"SampleSize","Mean_d","CI_lower","CI_upper","Identity"
470,0.0291225806536381,-0.00054220273616813,0.0535961708170736,"Shape"
480,0.0300122445195954,0.000252821418438885,0.0564243468672301,"Shape"
490,0.0291606957377954,0.0010805704491792,0.055560591905535,"Shape"
500,0.0283580312070154,0.000647634033345066,0.055360264434869,"Shape"
510,0.0287732656126906,0.00105686283241808,0.0574762983941257,"Shape"
520,0.0282087538214154,0.000812284208965637,0.0537378833036684,"Shape"
530,0.0301462244008731,0.00582256533530931,0.0569484012687662,"Shape"
540,0.0282716189754168,0.00234930812761796,0.0530684872932117,"Shape"
550,0.0290342955813718,0.00349595185275507,0.0538173374187084,"Shape"
560,0.0289849673633581,0.00415364666415642,0.0550210802366431,"Shape"
570,0.0297002034221779,0.00547712074716512,0.0546347945105737,"Shape"
580,0.0283496633082396,0.00715803563773235,0.0523444728430139,"Shape"
590,0.0296864276512722,0.00522082085599861,0.0534320110498957,"Shape"
600,0.0293319707179646,0.00331452885876094,0.0536418777959541,"Shape"
610,0.0289825179056579,0.0048665017965991,0.0545414588746785,"Shape"
620,0.0302649305835732,0.00706563781055175,0.0543042344865127,"Shape"
630,0.0283343610690789,0.00332009093526602,0.0552095131778226,"Shape"
640,0.0283447444049987,0.00540200319881418,0.0498154502755568,"Shape"
650,0.0286720507817245,0.00209269236872598,0.0518553737095153,"Shape"
660,0.028804841919934,0.00588897071119007,0.0549077323274275,"Shape"
670,0.0285869166059768,0.0043992488685399,0.0543507995109623,"Shape"
680,0.0295149490379474,0.00671210505345161,0.0554266640778829,"Shape"
690,0.0290189519512715,0.00603876929630951,0.0520587590871604,"Shape"
700,0.0284077836331978,0.00638629810959646,0.0517900629493292,"Shape"
710,0.0288912722407004,0.00607379437533647,0.0516381904001917,"Shape"
720,0.0289787106406913,0.00752989372893929,0.051983721904167,"Shape"
730,0.0292003844494155,0.00637451657659303,0.0512461143744518,"Shape"
740,0.0290670456766825,0.00680412706076846,0.0505107811588817,"Shape"
750,0.0289522905803799,0.00896460305360613,0.0503093751562714,"Shape"
760,0.0283146262069724,0.00425126033943145,0.0510636498562283,"Shape"
770,0.028597818912811,0.00958315220083747,0.0490293473665699,"Shape"
780,0.0280745585695417,0.00680000960755404,0.050738112790269,"Shape"
790,0.0294246618183295,0.00764105653082877,0.0494705944554022,"Shape"
800,0.0290005657026898,0.00941025868500077,0.0494892888579948,"Shape"
810,0.0283245643713961,0.00666373862802333,0.0490164367483732,"Shape"
820,0.0298545909407522,0.00863821563981904,0.0520322718072613,"Shape"
830,0.0288772953345604,0.00642372856861288,0.0498887237590524,"Shape"
840,0.028845258170316,0.00779878611989141,0.0490783199202079,"Shape"
850,0.0285412800468077,0.00800939489550579,0.0480739688958014,"Shape"
860,0.0296520078052588,0.0101908075510997,0.0494897669234595,"Shape"
870,0.0291376722567236,0.00852674799448045,0.0499836762762821,"Shape"
880,0.0291621728087449,0.00980801212676903,0.0498256919777849,"Shape"
890,0.0294434035913436,0.0103368942129004,0.0488146861960918,"Shape"
900,0.0289362141112406,0.0084121589199739,0.0484444389159199,"Shape"
910,0.0283710720440223,0.00744964897866088,0.0496342807599731,"Shape"
920,0.028450971009331,0.00907935006562388,0.048345018451419,"Shape"
930,0.0294885624502781,0.0106199866208622,0.0495378246074036,"Shape"
940,0.0297802853863485,0.0128593191704872,0.049297155641052,"Shape"
941,0.0301571718697559,0.0120790797474285,0.0484986582223184,"Shape"
10,0.103355415237891,-0.0948611989270161,0.291717665766512,"Label"
20,0.103561921692648,-0.0307393016834936,0.231454327390303,"Label"
30,0.102534497861872,0.00282857601482145,0.202621728467315,"Label"
40,0.103728036358518,0.0183601350578887,0.193038438892396,"Label"
50,0.102289211822111,0.0206908889371714,0.183315109543186,"Label"
60,0.102678112990379,0.034917247635435,0.172779795338367,"Label"
70,0.102861791632519,0.0389289744860004,0.173513767582439,"Label"
80,0.10342970095598,0.040733411002782,0.173795500574137,"Label"
90,0.103216306025864,0.0446344075920808,0.162069405142321,"Label"
100,0.101919678171282,0.0442741568965877,0.15715518826745,"Label"
110,0.104432699448258,0.0575224487798858,0.154313375339573,"Label"
120,0.10543463402053,0.0557071578524515,0.156786998820853,"Label"
130,0.102800069426619,0.051536068252462,0.151654459680934,"Label"
140,0.10221961729139,0.0559709133259441,0.145787330839406,"Label"
150,0.103038084550812,0.0564059266439051,0.149168755714833,"Label"
160,0.105209210744343,0.0612277302333135,0.150945339558233,"Label"
170,0.102440367830297,0.0622718029115037,0.145769146634697,"Label"
180,0.104274446517691,0.0583170767288771,0.144364559670706,"Label"
190,0.102122615751643,0.0597928012518004,0.144092060210409,"Label"
200,0.103456692200775,0.066706187383042,0.14043815519032,"Label"
210,0.103094551493089,0.0666550584516029,0.139043360286866,"Label"
220,0.102867650387536,0.0652875547881086,0.138291710945233,"Label"
230,0.102871629592052,0.0670865456384447,0.139419320054453,"Label"
240,0.102906086356922,0.0686559797622021,0.136680479798177,"Label"
250,0.102619567635635,0.0637506837342316,0.136697308545555,"Label"
260,0.104511810863961,0.0717144465052357,0.138774153307572,"Label"
270,0.102334695079522,0.0675819043588457,0.13693473459202,"Label"
280,0.103245535423703,0.0704928205513372,0.133812241459503,"Label"
290,0.105409835777904,0.0743707815897909,0.138894907651286,"Label"
300,0.10305643945322,0.0739275570268993,0.132197732259175,"Label"
310,0.102739676844804,0.0716214595244108,0.130582102047341,"Label"
320,0.102950803492125,0.0693581357269744,0.133645197109929,"Label"
330,0.104113763051083,0.0755015451420796,0.132435210014923,"Label"
340,0.102758824288874,0.0743050463310305,0.131236393008763,"Label"
350,0.103955397835531,0.0748610068385,0.13164946253619,"Label"
360,0.103166593980688,0.0708751408215908,0.131182943972475,"Label"
370,0.104986951115194,0.0753707947183633,0.133413223438684,"Label"
380,0.103194525552795,0.0761612036915346,0.129372477671372,"Label"
390,0.103157070666512,0.0762267134577186,0.130484817646951,"Label"
400,0.103174112877825,0.075070021130858,0.12837014174901,"Label"
410,0.103685917586374,0.075906824660357,0.134200466895672,"Label"
420,0.103336418713859,0.0765700463140246,0.130354603792236,"Label"
430,0.102538335226878,0.0776765009401586,0.129382795855578,"Label"
440,0.103855201938538,0.0781485090525576,0.130956519873169,"Label"
450,0.10357600165484,0.0773305315024124,0.129078527191807,"Label"
460,0.10407664187882,0.0822535032927241,0.12916999224516,"Label"
470,0.103377848915196,0.0749303884458202,0.128654453202792,"Label"
