"dataset_id","measure","comparison_identity","cohens_dz","stimulus_duration_ms_first","moderator_name","moderator_value","moderator_type","trial_number_max"
"Constable_2020_CE_Exp2","ACC","Stranger",0.980376786622107,NA,"trial_number_max",192,"numeric",192
"Dalmaso_2024_CC_Exp1","ACC","Stranger",1.4596016399002,NA,"trial_number_max",360,"numeric",360
"Dalmaso_2024_CC_Exp2","ACC","Stranger",1.88647561455603,NA,"trial_number_max",360,"numeric",360
"Feldborg_2021_ERPH_Exp1","ACC","Stranger",0.463157154479646,NA,"trial_number_max",320,"numeric",320
"Golubickis_2021_AP_Exp1","ACC","Stranger",0.665400494985475,NA,"trial_number_max",360,"numeric",360
"Haciahmet_2023_Psy_Exp1","ACC","Stranger",1.24169693557907,NA,"trial_number_max",240,"numeric",240
"Hobbs_2023_PM_Exp1","ACC","Stranger",0.681152906811241,NA,"trial_number_max",120,"numeric",120
"Hu_2020_CP_Exp1","ACC","Stranger",0.23963666642115,NA,"trial_number_max",144,"numeric",144
"Hu_2023_Exp1","ACC","Stranger",-0.377680228,NA,"trial_number_max",180,"numeric",180
"Kirk_2025_BJP_Exp1","ACC","Stranger",0.571210582565994,NA,"trial_number_max",216,"numeric",216
"Kirk_2025_BJP_Exp2","ACC","Stranger",0.161757972976894,NA,"trial_number_max",216,"numeric",216
"Kolvoort_2020_HBM_Exp1","ACC","Stranger",-0.075922974,NA,"trial_number_max",100,"numeric",100
"Liang_2022_HBM_Exp1","ACC","Stranger",0.913042022442878,NA,"trial_number_max",360,"numeric",360
"Liu_2023_CP_Exp1","ACC","Stranger",0.192224390479512,NA,"trial_number_max",64,"numeric",64
"Martinez-Perez_2024_CC_Exp2","ACC","Stranger",1.22770559557728,NA,"trial_number_max",240,"numeric",240
"Mcivor_2020_EJN_Exp1","ACC","Stranger",1.27461801033946,NA,"trial_number_max",960,"numeric",960
"Navon_2021_Exp1","ACC","Stranger",0.646863595269777,NA,"trial_number_max",360,"numeric",360
"Navon_2021_Exp3","ACC","Stranger",0.55993946529016,NA,"trial_number_max",360,"numeric",360
"Navon_2021_Exp4","ACC","Stranger",0.911120455984224,NA,"trial_number_max",360,"numeric",360
"Orellana-Corrales_2021_APP_Exp1","ACC","Stranger",-0.086192146,NA,"trial_number_max",128,"numeric",128
"Orellana-Corrales_2021_EP_Exp1","ACC","Stranger",0.248586029885925,NA,"trial_number_max",128,"numeric",128
"Orellana-Corrales_2021_EP_Exp2","ACC","Stranger",-0.141493313,NA,"trial_number_max",128,"numeric",128
"Orellana-Corrales_2021_EP_Exp3","ACC","Stranger",0.156026270667201,NA,"trial_number_max",240,"numeric",240
"Perrykkad_2022_BMC_Exp1","ACC","Stranger",1.10957204687162,NA,"trial_number_max",360,"numeric",360
"Qian_2019_QJEP_Exp1","ACC","Stranger",1.2832889563894,NA,"trial_number_max",144,"numeric",144
"Smith_2024_Cortex_Exp1","ACC","Stranger",0.947827625235668,NA,"trial_number_max",360,"numeric",360
"Sui_2014_APP_Exp1","ACC","Stranger",0.645616452767651,NA,"trial_number_max",360,"numeric",360
"Sui_2014_APP_Exp2","ACC","Stranger",0.299906527735581,NA,"trial_number_max",360,"numeric",360
"Sui_2014_APP_Exp3","ACC","Stranger",1.06254992691473,NA,"trial_number_max",360,"numeric",360
"Sui_2014_APP_Exp4","ACC","Stranger",1.10112312096392,NA,"trial_number_max",360,"numeric",360
"Sui_2023_CC_Exp1","ACC","Stranger",1.64646567818614,NA,"trial_number_max",960,"numeric",960
"Vicovaro_2022_EPHPP_Exp1","ACC","Stranger",0.750625193382417,NA,"trial_number_max",240,"numeric",240
"Vicovaro_2022_EPHPP_Exp2","ACC","Stranger",1.70876210642541,NA,"trial_number_max",240,"numeric",240
"Wang_2016_EPHPP_Exp1","ACC","Stranger",1.35777457363486,NA,"trial_number_max",81,"numeric",81
"Wozniak_2018_PLOS_Exp1","ACC","Stranger",0.425089363177197,NA,"trial_number_max",84,"numeric",84
"Wozniak_2018_PLOS_Exp2","ACC","Stranger",0.400370860588882,NA,"trial_number_max",84,"numeric",84
"Xu_2021_CP_Exp1","ACC","Stranger",0.672534499147711,NA,"trial_number_max",360,"numeric",360
"Zhang_2023_NI_Exp1","ACC","Stranger",0.940304447193711,NA,"trial_number_max",96,"numeric",96
