"Subject","Block","Trial","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","ShapeLoc","Colour","ShapeColour","textColour","Stimuli_Type","RT_ms","RT_sec","ACC"
1,1,15,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Light","SelfLight","white","Self = Positive",466.837321,0.466837321,1
1,1,16,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Bottom","Light","SelfLight","white","Self = Positive",366.85027,0.36685027,1
1,1,17,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Top","Light","SelfLight","white","Self = Positive",366.850665,0.366850665,0
1,1,18,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Bottom","Light","SelfLight","black","Self = Positive",350.162929,0.350162929,0
1,1,19,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Strong","SelfStrong","white","Self = Positive",416.847151,0.416847151,1
1,1,20,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Top","Strong","SelfStrong","white","Self = Positive",350.198855,0.350198855,0
1,1,21,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Strong","SelfStrong","white","Self = Positive",316.836808,0.316836808,1
1,1,22,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Top","Strong","OtherStrong","black","Self = Positive",283.518187,0.283518187,1
1,1,23,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Bottom","Light","OtherLight","black","Self = Positive",383.79146,0.38379146,0
1,1,24,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","k","Top","Strong","OtherStrong","white","Self = Positive",350.173194,0.350173194,0
1,1,25,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","k","Bottom","Light","OtherLight","black","Self = Positive",566.832268,0.566832268,0
1,1,26,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Top","Light","OtherLight","black","Self = Positive",500.455981,0.500455981,0
1,1,27,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","None","Bottom","Strong","OtherStrong","black","Self = Positive",NA,NA,3
1,1,28,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Bottom","Light","SelfLight","white","Self = Positive",516.851573,0.516851573,0
1,1,29,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Bottom","Light","OtherLight","white","Self = Positive",300.184603,0.300184603,0
1,1,30,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Strong","SelfStrong","white","Self = Positive",366.845927,0.366845927,1
1,1,31,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Top","Light","OtherLight","white","Self = Positive",466.834952,0.466834952,0
1,1,32,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Light","SelfLight","black","Self = Positive",350.191749,0.350191749,1
1,1,33,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Top","Strong","SelfStrong","white","Self = Positive",433.511989,0.433511989,1
1,1,34,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Top","Light","SelfLight","black","Self = Positive",633.510173,0.633510173,1
1,1,35,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Bottom","Strong","OtherStrong","black","Self = Positive",433.523043,0.433523043,0
1,1,36,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","k","Bottom","Strong","OtherStrong","white","Self = Positive",466.849954,0.466849954,0
1,1,37,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Light","SelfLight","black","Self = Positive",766.822951,0.766822951,1
1,1,38,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Top","Strong","OtherStrong","white","Self = Positive",516.841308,0.516841308,1
1,1,39,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Bottom","Strong","OtherStrong","white","Self = Positive",433.511594,0.433511594,0
1,1,40,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Light","SelfLight","black","Self = Positive",483.529399,0.483529399,1
1,1,41,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Bottom","Light","SelfLight","white","Self = Positive",283.530425,0.283530425,1
1,1,42,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Bottom","Strong","OtherStrong","black","Self = Positive",650.177774,0.650177774,0
1,1,43,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Bottom","Strong","SelfStrong","white","Self = Positive",766.836768,0.766836768,1
1,1,44,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","k","Top","Light","OtherLight","white","Self = Positive",550.174931,0.550174931,0
1,1,45,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Top","Strong","SelfStrong","white","Self = Positive",333.505988,0.333505988,0
1,1,46,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Top","Light","SelfLight","white","Self = Positive",650.480577,0.650480577,1
1,1,47,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Bottom","Light","OtherLight","white","Self = Positive",500.181208,0.500181208,0
1,1,48,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Light","SelfLight","white","Self = Positive",633.483722,0.633483722,1
1,1,49,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Bottom","Strong","SelfStrong","black","Self = Positive",267.15102,0.26715102,1
1,1,50,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Bottom","Light","OtherLight","black","Self = Positive",566.872536,0.566872536,1
1,1,51,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Top","Light","OtherLight","white","Self = Positive",483.790749,0.483790749,1
1,1,52,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Strong","SelfStrong","white","Self = Positive",383.51945,0.38351945,1
1,1,53,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","k","Bottom","Strong","OtherStrong","white","Self = Positive",283.518582,0.283518582,0
1,1,54,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Top","Strong","OtherStrong","black","Self = Positive",500.464272,0.500464272,0
1,1,55,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Top","Light","OtherLight","black","Self = Positive",416.846756,0.416846756,1
1,1,56,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Bottom","Light","OtherLight","black","Self = Positive",516.847625,0.516847625,1
1,1,57,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","k","Bottom","Strong","OtherStrong","black","Self = Positive",583.509343,0.583509343,0
1,1,58,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Bottom","Light","OtherLight","white","Self = Positive",683.479418,0.683479418,1
1,1,59,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Top","Strong","OtherStrong","white","Self = Positive",666.830373,0.666830373,1
1,1,60,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Bottom","Strong","OtherStrong","white","Self = Positive",366.855797,0.366855797,1
1,1,61,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Top","Light","OtherLight","black","Self = Positive",400.185472,0.400185472,1
1,1,62,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Top","Strong","SelfStrong","black","Self = Positive",516.823148,0.516823148,0
1,1,63,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","k","Bottom","Strong","OtherStrong","black","Self = Positive",633.497539,0.633497539,0
1,1,64,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Top","Light","OtherLight","white","Self = Positive",700.177418,0.700177418,1
1,1,65,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","k","Bottom","Light","SelfLight","black","Self = Positive",500.213186,0.500213186,0
1,1,66,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Top","Strong","OtherStrong","white","Self = Positive",383.518266,0.383518266,1
1,1,67,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Bottom","Strong","SelfStrong","white","Self = Positive",550.184801,0.550184801,0
1,1,68,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Light","SelfLight","white","Self = Positive",350.487446,0.350487446,1
1,1,69,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Bottom","Strong","OtherStrong","white","Self = Positive",600.182866,0.600182866,1
1,1,70,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Bottom","Strong","SelfStrong","white","Self = Positive",450.177616,0.450177616,0
1,1,71,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Top","Strong","SelfStrong","white","Self = Positive",583.771089,0.583771089,0
1,1,72,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Top","Strong","OtherStrong","white","Self = Positive",700.20229,0.70020229,0
1,1,73,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Light","SelfLight","white","Self = Positive",783.626754,0.783626754,1
1,1,74,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Top","Strong","SelfStrong","black","Self = Positive",233.563153,0.233563153,1
1,1,75,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Top","Strong","SelfStrong","black","Self = Positive",383.485103,0.383485103,0
1,1,76,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Bottom","Light","OtherLight","white","Self = Positive",383.509975,0.383509975,1
1,1,77,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Bottom","Strong","SelfStrong","black","Self = Positive",333.465324,0.333465324,1
1,1,78,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Light","SelfLight","white","Self = Positive",700.154126,0.700154126,1
1,1,79,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","k","Bottom","Strong","OtherStrong","white","Self = Positive",383.534452,0.383534452,0
1,1,80,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Top","Strong","OtherStrong","black","Self = Positive",833.507567,0.833507567,0
1,1,81,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","None","Bottom","Strong","OtherStrong","white","Self = Positive",NA,NA,3
1,1,82,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","k","Bottom","Strong","OtherStrong","black","Self = Positive",750.161271,0.750161271,0
1,1,83,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Bottom","Light","SelfLight","white","Self = Positive",650.227517,0.650227517,0
1,1,84,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","k","Top","Strong","OtherStrong","black","Self = Positive",433.599237,0.433599237,0
1,1,85,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","None","Bottom","Strong","OtherStrong","white","Self = Positive",NA,NA,3
1,1,86,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Bottom","Light","OtherLight","white","Self = Positive",933.469351,0.933469351,1
1,1,87,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Top","Light","OtherLight","white","Self = Positive",316.858126,0.316858126,0
1,1,88,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Bottom","Strong","OtherStrong","black","Self = Positive",216.79646,0.21679646,0
1,1,89,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Light","SelfLight","black","Self = Positive",366.891723,0.366891723,1
1,1,90,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Strong","SelfStrong","white","Self = Positive",417.161008,0.417161008,1
1,1,91,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Light","SelfLight","black","Self = Positive",350.132531,0.350132531,1
1,1,92,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Bottom","Strong","OtherStrong","black","Self = Positive",733.512225,0.733512225,1
1,1,93,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Top","Light","SelfLight","white","Self = Positive",600.411054,0.600411054,1
1,1,94,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Bottom","Strong","SelfStrong","white","Self = Positive",666.823661,0.666823661,0
1,1,95,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Bottom","Light","OtherLight","white","Self = Positive",350.163324,0.350163324,0
1,1,96,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Bottom","Strong","OtherStrong","white","Self = Positive",816.80483,0.81680483,1
1,1,97,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Top","Light","SelfLight","black","Self = Positive",500.18634,0.50018634,0
1,1,98,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Bottom","Light","OtherLight","black","Self = Positive",800.128543,0.800128543,1
1,1,99,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Strong","SelfStrong","black","Self = Positive",533.48838,0.53348838,1
1,1,100,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Light","SelfLight","white","Self = Positive",500.170549,0.500170549,1
1,1,101,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Top","Light","OtherLight","black","Self = Positive",550.128741,0.550128741,1
1,1,102,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","k","Top","Light","OtherLight","white","Self = Positive",900.387999,0.900387999,0
1,1,103,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Bottom","Light","OtherLight","black","Self = Positive",816.988801,0.816988801,1
1,1,104,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Light","SelfLight","white","Self = Positive",500.165811,0.500165811,1
1,1,105,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Top","Light","OtherLight","black","Self = Positive",400.19771,0.40019771,0
1,1,106,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Top","Strong","OtherStrong","white","Self = Positive",533.478905,0.533478905,1
1,1,107,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Bottom","Strong","SelfStrong","black","Self = Positive",550.163482,0.550163482,0
1,1,108,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Light","SelfLight","white","Self = Positive",383.508001,0.383508001,1
1,1,109,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","k","Top","Light","OtherLight","black","Self = Positive",483.743769,0.483743769,0
1,1,110,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Top","Light","SelfLight","black","Self = Positive",733.499987,0.733499987,0
1,1,111,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Bottom","Light","SelfLight","black","Self = Positive",417.048099,0.417048099,0
1,1,112,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Top","Light","SelfLight","black","Self = Positive",366.874747,0.366874747,1
1,1,113,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Bottom","Strong","SelfStrong","white","Self = Positive",367.065035,0.367065035,1
1,1,114,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Top","Light","SelfLight","black","Self = Positive",516.849204,0.516849204,1
1,1,115,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Top","Light","OtherLight","white","Self = Positive",450.129451,0.450129451,1
1,1,116,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Top","Strong","OtherStrong","white","Self = Positive",733.425372,0.733425372,1
1,1,117,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Top","Strong","SelfStrong","black","Self = Positive",900.153099,0.900153099,1
1,1,118,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Strong","SelfStrong","black","Self = Positive",516.789986,0.516789986,1
1,1,119,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Top","Strong","SelfStrong","black","Self = Positive",716.776326,0.716776326,1
1,1,120,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","k","Top","Strong","OtherStrong","white","Self = Positive",666.893539,0.666893539,0
1,1,121,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Bottom","Light","SelfLight","white","Self = Positive",733.899514,0.733899514,1
1,1,122,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Bottom","Light","OtherLight","white","Self = Positive",533.515226,0.533515226,1
1,1,123,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Bottom","Light","OtherLight","black","Self = Positive",766.820582,0.766820582,1
1,1,124,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Strong","SelfStrong","black","Self = Positive",566.830294,0.566830294,1
1,1,125,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Top","Light","OtherLight","black","Self = Positive",516.802224,0.516802224,1
1,1,126,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Bottom","Light","SelfLight","black","Self = Positive",950.145638,0.950145638,1
1,1,127,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Strong","SelfStrong","black","Self = Positive",516.828675,0.516828675,1
1,1,128,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Top","Light","OtherLight","white","Self = Positive",683.465206,0.683465206,1
1,1,129,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Bottom","Strong","OtherStrong","white","Self = Positive",733.450244,0.733450244,1
1,1,130,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Strong","SelfStrong","white","Self = Positive",350.408488,0.350408488,1
1,1,131,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","k","Top","Light","OtherLight","white","Self = Positive",917.062311,0.917062311,0
1,1,132,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Bottom","Strong","SelfStrong","black","Self = Positive",383.425885,0.383425885,1
1,1,133,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Bottom","Light","OtherLight","white","Self = Positive",300.170391,0.300170391,1
1,1,134,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Top","Light","SelfLight","white","Self = Positive",533.506146,0.533506146,1
1,1,135,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Bottom","Strong","OtherStrong","black","Self = Positive",750.384722,0.750384722,1
1,1,136,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Top","Light","OtherLight","black","Self = Positive",883.652889,0.883652889,1
1,1,137,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Top","Strong","OtherStrong","black","Self = Positive",850.074102,0.850074102,1
1,1,138,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Top","Strong","OtherStrong","black","Self = Positive",467.04498,0.46704498,1
1,1,139,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Top","Light","OtherLight","black","Self = Positive",633.470299,0.633470299,1
1,1,140,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Bottom","Strong","OtherStrong","white","Self = Positive",583.388538,0.583388538,1
1,1,141,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Light","SelfLight","white","Self = Positive",517.140953,0.517140953,1
1,1,142,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Strong","SelfStrong","black","Self = Positive",466.79271,0.46679271,1
1,1,143,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Bottom","Light","SelfLight","black","Self = Positive",767.030215,0.767030215,1
1,1,144,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Strong","SelfStrong","black","Self = Positive",650.164745,0.650164745,1
1,1,145,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Strong","SelfStrong","white","Self = Positive",366.762627,0.366762627,1
1,1,146,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Strong","SelfStrong","black","Self = Positive",383.498526,0.383498526,1
1,1,147,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Top","Strong","OtherStrong","white","Self = Positive",816.770878,0.816770878,1
1,1,148,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Top","Light","OtherLight","white","Self = Positive",400.157442,0.400157442,1
1,1,149,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","k","Top","Light","SelfLight","white","Self = Positive",450.133004,0.450133004,1
1,1,150,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Strong","SelfStrong","black","Self = Positive",417.061522,0.417061522,1
1,1,151,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Light","SelfLight","black","Self = Positive",367.061087,0.367061087,1
1,1,152,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Strong","SelfStrong","white","Self = Positive",317.064206,0.317064206,1
1,1,153,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Top","Light","OtherLight","black","Self = Positive",533.740256,0.533740256,1
1,1,154,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Bottom","Strong","SelfStrong","black","Self = Positive",400.146388,0.400146388,1
1,1,155,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Top","Light","OtherLight","black","Self = Positive",333.484274,0.333484274,0
1,1,156,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Bottom","Light","OtherLight","white","Self = Positive",983.453994,0.983453994,1
1,1,157,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Bottom","Strong","OtherStrong","black","Self = Positive",716.719871,0.716719871,0
1,1,158,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Top","Strong","SelfStrong","black","Self = Positive",533.467456,0.533467456,0
1,1,159,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Top","Strong","OtherStrong","white","Self = Positive",800.113147,0.800113147,1
1,1,160,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","l","Top","Light","SelfLight","white","Self = Positive",416.803329,0.416803329,0
1,1,161,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","k","Top","Light","OtherLight","white","Self = Positive",766.794526,0.766794526,1
1,1,162,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","k","Top","Strong","OtherStrong","black","Self = Positive",333.571128,0.333571128,0
1,1,163,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","l","Top","Strong","OtherStrong","black","Self = Positive",750.122977,0.750122977,1
1,1,164,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Light","SelfLight","black","Self = Positive",566.790815,0.566790815,1
1,1,165,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger","l","Top","Light","OtherLight","white","Self = Positive",467.082485,0.467082485,0
1,1,166,"Self","Self","Matching","Self","Self","Self","Self","Self","Self","l","Top","Strong","SelfStrong","black","Self = Positive",383.714081,0.383714081,1
