"Subject","Group","Block","Trial","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","RT_ms","RT_sec","ACC"
"1","OA",1,51,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1898,1.898,1
"1","OA",1,52,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1478,1.478,1
"1","OA",1,53,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",996,0.996,1
"1","OA",1,54,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1275,1.275,1
"1","OA",1,55,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",2219,2.219,1
"1","OA",1,56,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1238,1.238,1
"1","OA",1,57,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1630,1.63,1
"1","OA",1,58,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1279,1.279,1
"1","OA",1,59,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1242,1.242,1
"1","OA",1,60,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1885,1.885,1
"1","OA",1,61,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1455,1.455,1
"1","OA",1,62,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",1017,1.017,1
"1","OA",1,63,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1289,1.289,1
"1","OA",1,64,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",2192,2.192,1
"1","OA",1,65,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1388,1.388,1
"1","OA",1,66,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",2282,2.282,1
"1","OA",1,67,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1933,1.933,1
"1","OA",1,68,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1248,1.248,1
"1","OA",1,69,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1947,1.947,1
"1","OA",1,70,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1841,1.841,1
"1","OA",1,71,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",823,0.823,1
"1","OA",1,72,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1510,1.51,1
"1","OA",1,73,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",1751,1.751,1
"1","OA",1,74,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1208,1.208,1
"1","OA",1,75,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1385,1.385,1
"1","OA",1,76,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1302,1.302,1
"1","OA",1,77,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",980,0.98,1
"1","OA",1,78,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1398,1.398,1
"1","OA",1,79,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1812,1.812,1
"1","OA",1,80,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",1023,1.023,1
"1","OA",1,81,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1224,1.224,1
"1","OA",1,82,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",1579,1.579,1
"1","OA",1,83,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1113,1.113,1
"1","OA",1,84,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1469,1.469,1
"1","OA",2,1,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1242,1.242,1
"1","OA",2,2,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1176,1.176,1
"1","OA",2,3,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1532,1.532,1
"1","OA",2,4,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1049,1.049,1
"1","OA",2,5,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",840,0.84,1
"1","OA",2,6,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1547,1.547,1
"1","OA",2,7,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",892,0.892,1
"1","OA",2,8,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1466,1.466,1
"1","OA",2,9,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1548,1.548,1
"1","OA",2,10,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1175,1.175,1
"1","OA",2,11,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1795,1.795,1
"1","OA",2,12,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1134,1.134,1
"1","OA",2,13,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",896,0.896,1
"1","OA",2,14,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1119,1.119,1
"1","OA",2,15,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",2253,2.253,1
"1","OA",2,16,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",952,0.952,1
"1","OA",2,17,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",988,0.988,0
"1","OA",2,18,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1201,1.201,1
"1","OA",2,19,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1033,1.033,1
"1","OA",2,20,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1570,1.57,1
"1","OA",2,21,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1054,1.054,1
"1","OA",2,22,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",765,0.765,1
"1","OA",2,23,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1357,1.357,1
"1","OA",2,24,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",1647,1.647,1
"1","OA",2,25,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1337,1.337,1
"1","OA",2,26,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1274,1.274,1
"1","OA",2,27,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",793,0.793,1
"1","OA",2,28,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1326,1.326,1
"1","OA",2,29,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1381,1.381,1
"1","OA",2,30,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1096,1.096,1
"1","OA",2,31,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",687,0.687,1
"1","OA",2,32,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1003,1.003,1
"1","OA",2,33,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",1257,1.257,1
"1","OA",2,34,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1130,1.13,1
"1","OA",2,35,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1196,1.196,1
"1","OA",2,36,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1091,1.091,1
"1","OA",2,37,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1031,1.031,1
"1","OA",2,38,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1746,1.746,1
"1","OA",2,39,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",893,0.893,1
"1","OA",2,40,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",974,0.974,1
"1","OA",2,41,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1036,1.036,1
"1","OA",2,42,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",1805,1.805,1
"1","OA",2,43,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1309,1.309,1
"1","OA",2,44,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1086,1.086,1
"1","OA",2,45,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1176,1.176,1
"1","OA",2,46,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1103,1.103,1
"1","OA",2,47,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",999,0.999,1
"1","OA",2,48,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1317,1.317,1
"1","OA",2,49,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",901,0.901,1
"1","OA",2,50,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1647,1.647,1
"1","OA",2,51,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",1835,1.835,1
"1","OA",2,52,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1316,1.316,1
"1","OA",2,53,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1297,1.297,1
"1","OA",2,54,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1080,1.08,1
"1","OA",2,55,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1197,1.197,1
"1","OA",2,56,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1687,1.687,1
"1","OA",2,57,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1098,1.098,1
"1","OA",2,58,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",1035,1.035,1
"1","OA",2,59,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1332,1.332,1
"1","OA",2,60,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",1394,1.394,1
"1","OA",2,61,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1036,1.036,1
"1","OA",2,62,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1994,1.994,1
"1","OA",2,63,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1292,1.292,1
"1","OA",2,64,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1035,1.035,1
"1","OA",2,65,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1009,1.009,1
"1","OA",2,66,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1093,1.093,1
"1","OA",2,67,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",1042,1.042,1
"1","OA",2,68,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1024,1.024,1
"1","OA",2,69,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",1137,1.137,1
"1","OA",2,70,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1099,1.099,1
"1","OA",2,71,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1438,1.438,1
"1","OA",2,72,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1046,1.046,1
"1","OA",2,73,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",880,0.88,1
"1","OA",2,74,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",2118,2.118,1
"1","OA",2,75,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1161,1.161,1
"1","OA",2,76,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",777,0.777,1
"1","OA",2,77,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",964,0.964,1
"1","OA",2,78,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",1476,1.476,1
"1","OA",2,79,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1019,1.019,1
"1","OA",2,80,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1263,1.263,1
"1","OA",2,81,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1088,1.088,1
"1","OA",2,82,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1291,1.291,1
"1","OA",2,83,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1416,1.416,1
"1","OA",2,84,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1492,1.492,1
"1","OA",2,85,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",750,0.75,1
"1","OA",2,86,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",933,0.933,1
"1","OA",2,87,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",1331,1.331,1
"1","OA",2,88,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1022,1.022,1
"1","OA",2,89,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1271,1.271,1
"1","OA",3,1,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1039,1.039,1
"1","OA",3,2,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1151,1.151,1
"1","OA",3,3,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1203,1.203,1
"1","OA",3,4,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1619,1.619,1
"1","OA",3,5,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",1051,1.051,1
"1","OA",3,6,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1409,1.409,1
"1","OA",3,7,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",2254,2.254,1
"1","OA",3,8,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1274,1.274,1
"1","OA",3,9,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1272,1.272,1
"1","OA",3,10,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",955,0.955,1
"1","OA",3,11,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1237,1.237,1
"1","OA",3,12,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1799,1.799,1
"1","OA",3,13,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1218,1.218,1
"1","OA",3,14,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",714,0.714,1
"1","OA",3,15,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1201,1.201,1
"1","OA",3,16,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",1494,1.494,1
"1","OA",3,17,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1242,1.242,1
"1","OA",3,18,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",871,0.871,1
"1","OA",3,19,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",864,0.864,1
"1","OA",3,20,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1269,1.269,1
"1","OA",3,21,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1295,1.295,1
"1","OA",3,22,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1050,1.05,1
"1","OA",3,23,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",1187,1.187,1
"1","OA",3,24,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1140,1.14,1
"1","OA",3,25,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",1639,1.639,1
"1","OA",3,26,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1116,1.116,1
"1","OA",3,27,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1902,1.902,1
"1","OA",3,28,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1287,1.287,1
"1","OA",3,29,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1143,1.143,1
"1","OA",3,30,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",2218,2.218,1
"1","OA",3,31,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1193,1.193,1
"1","OA",3,32,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",588,0.588,1
"1","OA",3,33,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1239,1.239,1
"1","OA",3,34,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",1527,1.527,1
"1","OA",3,35,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",980,0.98,1
"1","OA",3,36,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1230,1.23,1
"1","OA",3,37,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",1420,1.42,1
"1","OA",3,38,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1148,1.148,1
"1","OA",3,39,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1317,1.317,1
"1","OA",3,40,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1205,1.205,1
"1","OA",3,41,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",718,0.718,1
"1","OA",3,42,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1092,1.092,1
"1","OA",3,43,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",1648,1.648,1
"1","OA",3,44,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1157,1.157,1
"1","OA",3,45,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1089,1.089,1
"1","OA",3,46,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",912,0.912,1
"1","OA",3,47,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1072,1.072,1
"1","OA",3,48,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1462,1.462,1
"1","OA",3,49,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",1063,1.063,1
"1","OA",3,50,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",694,0.694,1
"1","OA",3,51,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",995,0.995,1
"1","OA",3,52,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",1485,1.485,1
"1","OA",3,53,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",1136,1.136,1
"1","OA",3,54,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1091,1.091,1
"1","OA",3,55,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",973,0.973,1
"1","OA",3,56,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1086,1.086,1
"1","OA",3,57,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1361,1.361,1
"1","OA",3,58,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",966,0.966,1
"1","OA",3,59,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",812,0.812,1
"1","OA",3,60,"Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",984,0.984,1
"1","OA",3,61,"Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",1318,1.318,1
"1","OA",3,62,"Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",990,0.99,1
"1","OA",3,63,"Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",1084,1.084,1
"1","OA",3,64,"Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",919,0.919,1
"1","OA",3,65,"Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",1115,1.115,1
"1","OA",3,66,"Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",1375,1.375,1
"1","OA",3,67,"Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",886,0.886,1
"1","OA",3,68,"Self","Self","Matching","Self","Self","Self","Self","Self","Self",1020,1.02,1
