"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education","group","Yes"
"12","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","j"
"13","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","f"
"14","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","j"
"15","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","f"
"16","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","j"
"17","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
"18","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"19","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"20","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"22","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"23","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"24","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
"25","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"26","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
"27","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"28","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
"29","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"30","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
"31","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"33","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"35","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"36","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
"37","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"38","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
"39","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"40","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","f"
"41","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","j"
"43","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"44","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"45","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"46","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
"47","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"48","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"49","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"50","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"51","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"52","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"53","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"54","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"55","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"56","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
"57","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"58","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","j"
"59","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","f"
"60","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"61","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"62","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"63","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"64","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
"65","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"67","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","f"
"68","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"69","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"70","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"71","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","f"
"72","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","j"
"73","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"74","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"76","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","j"
"77","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
"78","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"79","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","f"
"80","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","j"
"81","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
"82","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"83","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
"84","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"85","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","f"
"86","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"87","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"88","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"89","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","1","f"
"90","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","j"
"91","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
"92","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","j"
"93","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
"94","Xu_2022_CurrPsych_Exp1","/","Male","/","/","/","/","/","/","2","j"
"95","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","f"
"96","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","j"
"97","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","1","f"
"99","Xu_2022_CurrPsych_Exp1","/","Female","/","/","/","/","/","/","2","f"
