"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education","group","Yes"
33,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
35,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
36,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
37,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
38,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
39,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
40,"Pn23E1","/","Female","/","/","/","/","/","/",1,"f"
41,"Pn23E1","/","Female","/","/","/","/","/","/",2,"j"
43,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
44,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
45,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
46,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
47,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
48,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
49,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
50,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
51,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
52,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
53,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
54,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
55,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
56,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
57,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
58,"Pn23E1","/","Female","/","/","/","/","/","/",2,"j"
59,"Pn23E1","/","Male","/","/","/","/","/","/",2,"f"
60,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
61,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
62,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
63,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
64,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
65,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
67,"Pn23E1","/","Male","/","/","/","/","/","/",2,"f"
68,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
69,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
70,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
71,"Pn23E1","/","Female","/","/","/","/","/","/",1,"f"
72,"Pn23E1","/","Female","/","/","/","/","/","/",2,"j"
73,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
74,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
76,"Pn23E1","/","Male","/","/","/","/","/","/",1,"j"
77,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
78,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
79,"Pn23E1","/","Female","/","/","/","/","/","/",1,"f"
80,"Pn23E1","/","Male","/","/","/","/","/","/",1,"j"
81,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
82,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
83,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
84,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
85,"Pn23E1","/","Female","/","/","/","/","/","/",1,"f"
86,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
87,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
88,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
89,"Pn23E1","/","Male","/","/","/","/","/","/",1,"f"
90,"Pn23E1","/","Female","/","/","/","/","/","/",2,"j"
91,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
92,"Pn23E1","/","Female","/","/","/","/","/","/",1,"j"
93,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
94,"Pn23E1","/","Male","/","/","/","/","/","/",2,"j"
95,"Pn23E1","/","Female","/","/","/","/","/","/",1,"f"
96,"Pn23E1","/","Female","/","/","/","/","/","/",2,"j"
97,"Pn23E1","/","Female","/","/","/","/","/","/",1,"f"
99,"Pn23E1","/","Female","/","/","/","/","/","/",2,"f"
