"Subject","Group","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","RT_ms","RT_sec","ACC"
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",583,0.583,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",713,0.713,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",472,0.472,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",484,0.484,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",450,0.45,0
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",435,0.435,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",592,0.592,0
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",642,0.642,1
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",601,0.601,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",599,0.599,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",530,0.53,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",587,0.587,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",605,0.605,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",819,0.819,1
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",396,0.396,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",436,0.436,0
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",422,0.422,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",436,0.436,0
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",339,0.339,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",484,0.484,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",499,0.499,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",547,0.547,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",683,0.683,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",582,0.582,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",454,0.454,0
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",683,0.683,1
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",625,0.625,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",571,0.571,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",569,0.569,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",734,0.734,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",515,0.515,1
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",631,0.631,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",699,0.699,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",599,0.599,0
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",601,0.601,0
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",595,0.595,1
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",354,0.354,0
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",452,0.452,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",494,0.494,0
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",497,0.497,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",604,0.604,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",488,0.488,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",651,0.651,0
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",631,0.631,1
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",703,0.703,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",388,0.388,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",717,0.717,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",488,0.488,1
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",587,0.587,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",579,0.579,0
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",422,0.422,0
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",599,0.599,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",499,0.499,1
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",563,0.563,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",594,0.594,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",520,0.52,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",0,0,0
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",640,0.64,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",543,0.543,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",765,0.765,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",475,0.475,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",626,0.626,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",411,0.411,1
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",443,0.443,0
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",537,0.537,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",594,0.594,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",662,0.662,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",852,0.852,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",526,0.526,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",522,0.522,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",399,0.399,1
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",424,0.424,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",395,0.395,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",583,0.583,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",670,0.67,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",483,0.483,1
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",672,0.672,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",589,0.589,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",777,0.777,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",1133,1.133,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",734,0.734,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",505,0.505,0
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",466,0.466,0
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",454,0.454,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",496,0.496,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",620,0.62,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",564,0.564,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",472,0.472,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",446,0.446,0
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",575,0.575,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",0,0,0
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",471,0.471,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",417,0.417,1
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",529,0.529,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",656,0.656,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",483,0.483,1
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",534,0.534,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",428,0.428,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",575,0.575,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",558,0.558,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",452,0.452,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",565,0.565,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",538,0.538,0
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",610,0.61,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",391,0.391,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",438,0.438,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",423,0.423,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",533,0.533,1
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",620,0.62,1
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",762,0.762,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",437,0.437,0
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",367,0.367,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",374,0.374,0
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",542,0.542,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",543,0.543,1
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",789,0.789,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",912,0.912,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",525,0.525,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",692,0.692,1
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",636,0.636,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",538,0.538,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",473,0.473,0
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",644,0.644,1
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",663,0.663,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",487,0.487,0
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",607,0.607,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",455,0.455,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",677,0.677,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",471,0.471,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",467,0.467,0
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",559,0.559,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",558,0.558,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",674,0.674,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",550,0.55,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",461,0.461,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",494,0.494,0
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",437,0.437,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",473,0.473,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",510,0.51,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",819,0.819,1
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",428,0.428,0
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",659,0.659,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",490,0.49,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",593,0.593,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",494,0.494,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",338,0.338,0
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",498,0.498,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",676,0.676,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",513,0.513,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",668,0.668,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",660,0.66,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",475,0.475,0
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",541,0.541,1
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",688,0.688,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",350,0.35,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",472,0.472,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",644,0.644,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",640,0.64,1
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",603,0.603,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",564,0.564,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",502,0.502,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",471,0.471,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",503,0.503,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",671,0.671,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",520,0.52,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",561,0.561,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",667,0.667,0
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",533,0.533,1
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",729,0.729,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",0,0,0
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",535,0.535,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",471,0.471,0
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",632,0.632,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",493,0.493,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",509,0.509,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",461,0.461,1
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",468,0.468,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",495,0.495,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",758,0.758,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",395,0.395,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",410,0.41,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",294,0.294,0
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",588,0.588,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",497,0.497,0
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",424,0.424,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",473,0.473,0
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",671,0.671,1
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",587,0.587,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",449,0.449,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",472,0.472,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",548,0.548,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",615,0.615,1
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",467,0.467,0
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",0,0,0
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",461,0.461,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",649,0.649,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",611,0.611,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",506,0.506,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",569,0.569,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",521,0.521,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",507,0.507,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",627,0.627,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",467,0.467,0
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",800,0.8,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",531,0.531,1
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",656,0.656,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",602,0.602,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",452,0.452,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",603,0.603,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",549,0.549,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",444,0.444,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",510,0.51,0
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",461,0.461,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",624,0.624,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",622,0.622,0
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",505,0.505,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",784,0.784,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",468,0.468,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",428,0.428,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",720,0.72,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",591,0.591,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",395,0.395,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",577,0.577,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",691,0.691,1
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",726,0.726,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",656,0.656,1
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",481,0.481,0
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",432,0.432,0
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",515,0.515,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",527,0.527,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",552,0.552,1
2,"2","Stranger","Self","Nonmatching","Self","Self","Self","Stranger","Stranger","Stranger",624,0.624,1
2,"2","Friend","Self","Nonmatching","Self","Self","Self","Friend","Friend","Close",759,0.759,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",393,0.393,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",598,0.598,1
2,"2","Friend","Stranger","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close",484,0.484,1
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",715,0.715,1
2,"2","Self","Stranger","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self",445,0.445,1
2,"2","Stranger","Friend","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger",547,0.547,0
2,"2","Friend","Friend","Matching","Friend","Friend","Close","Friend","Friend","Close",469,0.469,1
2,"2","Self","Self","Matching","Self","Self","Self","Self","Self","Self",399,0.399,1
2,"2","Self","Friend","Nonmatching","Friend","Friend","Close","Self","Self","Self",713,0.713,1
2,"2","Stranger","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",517,0.517,1
