Subject,Task,Block,Trial,Matching,Shape,Shape_Origin_Identity,Shape_English_Identity,Shape_Standardized_Identity,Label,Label_Origin_Identity,Label_English_Identity,Label_Standardized_Identity,extraIV1,RT_ms,ACC
18171,self-matching,1,72,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,neutral,961,1
18171,self-matching,2,1,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,1065,1
18171,self-matching,2,2,Matching,diamond,self,self,Self,self,self,self,Self,neutral,906,1
18171,self-matching,2,3,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,happy,1078,1
18171,self-matching,2,4,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,happy,855,1
18171,self-matching,2,5,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,797,1
18171,self-matching,2,6,Matching,diamond,self,self,Self,self,self,self,Self,neutral,870,1
18171,self-matching,2,7,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,neutral,864,1
18171,self-matching,2,8,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,1153,1
18171,self-matching,2,9,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,neutral,1148,1
18171,self-matching,2,10,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,neutral,1012,1
18171,self-matching,2,11,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,happy,1184,1
18171,self-matching,2,12,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,happy,962,1
18171,self-matching,2,13,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,765,1
18171,self-matching,2,14,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,635,1
18171,self-matching,2,15,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,671,0
18171,self-matching,2,16,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,600,1
18171,self-matching,2,17,Matching,diamond,self,self,Self,self,self,self,Self,happy,855,1
18171,self-matching,2,18,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,happy,733,1
18171,self-matching,2,19,Matching,diamond,self,self,Self,self,self,self,Self,happy,985,1
18171,self-matching,2,20,Matching,diamond,self,self,Self,self,self,self,Self,happy,771,1
18171,self-matching,2,21,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,745,0
18171,self-matching,2,22,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,happy,1115,1
18171,self-matching,2,23,Matching,diamond,self,self,Self,self,self,self,Self,happy,633,1
18171,self-matching,2,24,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,517,0
18171,self-matching,2,25,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,716,0
18171,self-matching,2,26,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,312,1
18171,self-matching,2,27,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,neutral,1088,1
18171,self-matching,2,28,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,759,1
18171,self-matching,2,29,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,happy,978,1
18171,self-matching,2,30,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,happy,834,1
18171,self-matching,2,31,Matching,diamond,self,self,Self,self,self,self,Self,happy,598,1
18171,self-matching,2,32,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,neutral,695,1
18171,self-matching,2,33,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,happy,947,1
18171,self-matching,2,34,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,neutral,706,1
18171,self-matching,2,35,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,happy,1294,1
18171,self-matching,2,36,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,neutral,714,1
18171,self-matching,2,37,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,neutral,999,1
18171,self-matching,2,38,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,945,1
18171,self-matching,2,39,Matching,diamond,self,self,Self,self,self,self,Self,neutral,736,1
18171,self-matching,2,40,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,happy,572,0
18171,self-matching,2,41,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,neutral,1030,1
18171,self-matching,2,42,Matching,diamond,self,self,Self,self,self,self,Self,neutral,655,1
18171,self-matching,2,43,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,634,1
18171,self-matching,2,44,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,neutral,787,1
18171,self-matching,2,45,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,neutral,889,1
18171,self-matching,2,46,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,627,1
18171,self-matching,2,47,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,688,1
18171,self-matching,2,48,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,happy,786,1
18171,self-matching,2,49,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,1353,1
18171,self-matching,2,50,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,happy,870,1
18171,self-matching,2,51,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,609,0
18171,self-matching,2,52,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,neutral,961,1
18171,self-matching,2,53,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,837,1
18171,self-matching,2,54,Matching,diamond,self,self,Self,self,self,self,Self,neutral,750,1
18171,self-matching,2,55,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,happy,1184,1
18171,self-matching,2,56,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,837,1
18171,self-matching,2,57,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,happy,939,1
18171,self-matching,2,58,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,979,1
18171,self-matching,2,59,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,happy,896,1
18171,self-matching,2,60,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,1119,0
18171,self-matching,2,61,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,happy,871,1
18171,self-matching,2,62,Matching,diamond,self,self,Self,self,self,self,Self,neutral,641,1
18171,self-matching,2,63,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,happy,815,1
18171,self-matching,2,64,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,neutral,949,1
18171,self-matching,2,65,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,neutral,967,1
18171,self-matching,2,66,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,neutral,625,1
18171,self-matching,2,67,Matching,diamond,self,self,Self,self,self,self,Self,happy,620,1
18171,self-matching,2,68,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,775,0
18171,self-matching,2,69,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,neutral,1229,0
18171,self-matching,2,70,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,neutral,1000,1
18171,self-matching,2,71,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,977,0
18171,self-matching,2,72,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,neutral,1042,1
18171,self-matching,3,1,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,neutral,1124,0
18171,self-matching,3,2,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,happy,1390,1
18171,self-matching,3,3,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,925,1
18171,self-matching,3,4,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,happy,809,1
18171,self-matching,3,5,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,neutral,684,1
18171,self-matching,3,6,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,743,1
18171,self-matching,3,7,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,909,0
18171,self-matching,3,8,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,neutral,945,0
18171,self-matching,3,9,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,818,1
18171,self-matching,3,10,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,neutral,703,1
18171,self-matching,3,11,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,1175,0
18171,self-matching,3,12,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,happy,974,1
18171,self-matching,3,13,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,1075,1
18171,self-matching,3,14,Matching,diamond,self,self,Self,self,self,self,Self,neutral,1500,
18171,self-matching,3,15,Matching,diamond,self,self,Self,self,self,self,Self,happy,807,1
18171,self-matching,3,16,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,neutral,1394,1
18171,self-matching,3,17,Matching,diamond,self,self,Self,self,self,self,Self,happy,695,1
18171,self-matching,3,18,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,neutral,911,1
18171,self-matching,3,19,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,happy,1239,0
18171,self-matching,3,20,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,happy,1123,1
18171,self-matching,3,21,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,847,1
18171,self-matching,3,22,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,happy,679,1
18171,self-matching,3,23,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,happy,976,0
18171,self-matching,3,24,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,1164,1
18171,self-matching,3,25,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,1149,1
18171,self-matching,3,26,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,neutral,1500,
18171,self-matching,3,27,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,871,1
18171,self-matching,3,28,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,neutral,654,1
18171,self-matching,3,29,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,happy,1064,0
18171,self-matching,3,30,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,neutral,429,1
18171,self-matching,3,31,Matching,diamond,self,self,Self,self,self,self,Self,neutral,317,0
18171,self-matching,3,32,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,1500,
18171,self-matching,3,33,Matching,diamond,self,self,Self,self,self,self,Self,neutral,804,1
18171,self-matching,3,34,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,happy,838,1
18171,self-matching,3,35,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,neutral,873,1
18171,self-matching,3,36,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,happy,712,1
18171,self-matching,3,37,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,765,0
18171,self-matching,3,38,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,466,1
18171,self-matching,3,39,Matching,diamond,self,self,Self,self,self,self,Self,neutral,966,1
18171,self-matching,3,40,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,happy,778,1
18171,self-matching,3,41,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,997,1
18171,self-matching,3,42,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,happy,880,1
18171,self-matching,3,43,Matching,diamond,self,self,Self,self,self,self,Self,happy,650,1
18171,self-matching,3,44,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,neutral,879,1
18171,self-matching,3,45,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,880,1
18171,self-matching,3,46,Matching,diamond,self,self,Self,self,self,self,Self,neutral,766,1
18171,self-matching,3,47,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,happy,921,1
18171,self-matching,3,48,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,neutral,859,1
18171,self-matching,3,49,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,582,1
18171,self-matching,3,50,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,605,1
18171,self-matching,3,51,Matching,diamond,self,self,Self,self,self,self,Self,neutral,898,1
18171,self-matching,3,52,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,669,1
18171,self-matching,3,53,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,neutral,688,1
18171,self-matching,3,54,Matching,diamond,self,self,Self,self,self,self,Self,happy,647,1
18171,self-matching,3,55,Matching,diamond,self,self,Self,self,self,self,Self,happy,671,1
18171,self-matching,3,56,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,neutral,807,1
18171,self-matching,3,57,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,neutral,1132,1
18171,self-matching,3,58,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,665,1
18171,self-matching,3,59,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,happy,754,1
18171,self-matching,3,60,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,1181,0
18171,self-matching,3,61,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,happy,1287,0
18171,self-matching,3,62,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,759,1
18171,self-matching,3,63,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,680,1
18171,self-matching,3,64,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,neutral,928,1
18171,self-matching,3,65,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,neutral,993,1
18171,self-matching,3,66,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,happy,842,1
18171,self-matching,3,67,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,happy,881,1
18171,self-matching,3,68,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,neutral,741,1
18171,self-matching,3,69,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,613,1
18171,self-matching,3,70,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,1225,1
18171,self-matching,3,71,Matching,diamond,self,self,Self,self,self,self,Self,happy,510,1
18171,self-matching,3,72,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,happy,985,1
18171,self-matching,4,1,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,happy,1219,1
18171,self-matching,4,2,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,651,1
18171,self-matching,4,3,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,neutral,800,1
18171,self-matching,4,4,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,happy,885,1
18171,self-matching,4,5,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,neutral,918,1
18171,self-matching,4,6,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,658,1
18171,self-matching,4,7,Matching,diamond,self,self,Self,self,self,self,Self,happy,475,1
18171,self-matching,4,8,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,729,0
18171,self-matching,4,9,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,759,1
18171,self-matching,4,10,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,neutral,648,0
18171,self-matching,4,11,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,neutral,838,1
18171,self-matching,4,12,Matching,diamond,self,self,Self,self,self,self,Self,neutral,694,1
18171,self-matching,4,13,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,927,1
18171,self-matching,4,14,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,neutral,883,1
18171,self-matching,4,15,Matching,diamond,self,self,Self,self,self,self,Self,happy,686,1
18171,self-matching,4,16,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,736,0
18171,self-matching,4,17,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,1057,1
18171,self-matching,4,18,Matching,diamond,self,self,Self,self,self,self,Self,neutral,668,1
18171,self-matching,4,19,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,neutral,1030,1
18171,self-matching,4,20,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,722,1
18171,self-matching,4,21,Matching,diamond,self,self,Self,self,self,self,Self,happy,621,1
18171,self-matching,4,22,Matching,diamond,self,self,Self,self,self,self,Self,neutral,666,1
18171,self-matching,4,23,Nonmatching,triangle,stranger,stranger,Stranger,friend,friend,friend,Close,happy,803,1
18171,self-matching,4,24,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,happy,1301,1
18171,self-matching,4,25,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,911,1
18171,self-matching,4,26,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,neutral,685,1
18171,self-matching,4,27,Matching,diamond,self,self,Self,self,self,self,Self,neutral,741,1
18171,self-matching,4,28,Matching,diamond,self,self,Self,self,self,self,Self,happy,666,1
18171,self-matching,4,29,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,1117,1
18171,self-matching,4,30,Nonmatching,triangle,stranger,stranger,Stranger,self,self,self,Self,neutral,606,1
18171,self-matching,4,31,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,happy,707,1
18171,self-matching,4,32,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,731,0
18171,self-matching,4,33,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,neutral,988,1
18171,self-matching,4,34,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,909,1
18171,self-matching,4,35,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,695,1
18171,self-matching,4,36,Nonmatching,pentagon,friend,friend,Close,self,self,self,Self,happy,866,0
18171,self-matching,4,37,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,567,1
18171,self-matching,4,38,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,neutral,1500,
18171,self-matching,4,39,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,happy,702,1
18171,self-matching,4,40,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,653,0
18171,self-matching,4,41,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,happy,926,1
18171,self-matching,4,42,Matching,pentagon,friend,friend,Close,friend,friend,friend,Close,neutral,633,1
18171,self-matching,4,43,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,1500,
18171,self-matching,4,44,Nonmatching,diamond,self,self,Self,friend,friend,friend,Close,happy,1500,
18171,self-matching,4,45,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,happy,728,0
18171,self-matching,4,46,Nonmatching,pentagon,friend,friend,Close,stranger,stranger,stranger,Stranger,neutral,743,1
18171,self-matching,4,47,Nonmatching,diamond,self,self,Self,stranger,stranger,stranger,Stranger,neutral,813,1
18171,self-matching,4,48,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,neutral,982,1
18171,self-matching,4,49,Matching,triangle,stranger,stranger,Stranger,stranger,stranger,stranger,Stranger,happy,687,1
