"Subject","Block","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","extraIV1","RT_ms","RT_sec","ACC"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","219","0.219","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","296","0.296","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","233","0.233","0"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","284","0.284","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","256","0.256","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","530","0.53","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","407","0.407","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","666","0.666","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","514","0.514","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","493","0.493","0"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","386","0.386","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","493","0.493","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","451","0.451","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","651","0.651","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","655","0.655","0"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","931","0.931","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","749","0.749","0"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","394","0.394","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","744","0.744","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","501","0.501","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","493","0.493","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","501","0.501","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","390","0.39","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","356","0.356","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","251","0.251","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","486","0.486","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","353","0.353","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","383","0.383","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","290","0.29","0"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","381","0.381","1"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","862","0.862","0"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","474","0.474","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","615","0.615","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","497","0.497","1"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","261","0.261","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","520","0.52","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","587","0.587","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","579","0.579","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","392","0.392","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","320","0.32","0"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","504","0.504","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","656","0.656","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","581","0.581","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","794","0.794","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","755","0.755","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","369","0.369","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","536","0.536","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","665","0.665","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","593","0.593","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","853","0.853","1"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","715","0.715","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","729","0.729","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","609","0.609","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","631","0.631","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","888","0.888","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","939","0.939","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","582","0.582","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","644","0.644","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","573","0.573","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","479","0.479","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","610","0.61","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","770","0.77","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","604","0.604","1"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","798","0.798","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","924","0.924","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","485","0.485","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","661","0.661","1"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","480","0.48","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","519","0.519","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","746","0.746","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","684","0.684","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","693","0.693","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","719","0.719","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","457","0.457","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","407","0.407","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","500","0.5","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","389","0.389","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","646","0.646","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","379","0.379","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","1021","1.021","1"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","503","0.503","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","820","0.82","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","202","0.202","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","551","0.551","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","748","0.748","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","598","0.598","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","673","0.673","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","480","0.48","1"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","497","0.497","0"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","620","0.62","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","708","0.708","0"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","964","0.964","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","534","0.534","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","522","0.522","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","501","0.501","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","1197","1.197","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","1180","1.18","1"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","939","0.939","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","809","0.809","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","634","0.634","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","1195","1.195","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","842","0.842","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","987","0.987","1"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","999","0.999","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","890","0.89","1"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","730","0.73","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","630","0.63","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","800","0.8","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","1135","1.135","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","952","0.952","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","883","0.883","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","745","0.745","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","1079","1.079","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","1051","1.051","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","669","0.669","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","639","0.639","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","637","0.637","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","570","0.57","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","383","0.383","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","658","0.658","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","489","0.489","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","626","0.626","1"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","979","0.979","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","742","0.742","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","798","0.798","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","313","0.313","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","509","0.509","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","483","0.483","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","791","0.791","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","612","0.612","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","392","0.392","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","381","0.381","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","679","0.679","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","833","0.833","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","741","0.741","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","865","0.865","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","634","0.634","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","664","0.664","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","490","0.49","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","679","0.679","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","887","0.887","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","510","0.51","1"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","449","0.449","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","871","0.871","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","431","0.431","0"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","839","0.839","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","548","0.548","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","391","0.391","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","385","0.385","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","1000","1","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","779","0.779","1"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","1104","1.104","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","506","0.506","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","377","0.377","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","422","0.422","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","359","0.359","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","338","0.338","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","400","0.4","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","522","0.522","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","850","0.85","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","829","0.829","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","415","0.415","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","231","0.231","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","247","0.247","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","605","0.605","1"
"10","2","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Friend","565","0.565","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","490","0.49","0"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","491","0.491","0"
"10","2","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Friend","419","0.419","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","919","0.919","1"
"10","2","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Friend","797","0.797","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","446","0.446","0"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","465","0.465","0"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","292","0.292","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","359","0.359","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","675","0.675","0"
"10","2","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Friend","606","0.606","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","514","0.514","0"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","480","0.48","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","306","0.306","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","312","0.312","1"
"10","2","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Friend","586","0.586","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","552","0.552","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","395","0.395","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","343","0.343","1"
"10","2","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Friend","278","0.278","0"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","650","0.65","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","812","0.812","1"
"10","2","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Friend","694","0.694","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","1160","1.16","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","690","0.69","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","360","0.36","1"
"10","2","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Friend","1034","1.034","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","788","0.788","0"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","810","0.81","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","596","0.596","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","531","0.531","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","530","0.53","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","482","0.482","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","553","0.553","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","751","0.751","1"
"10","2","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Friend","698","0.698","1"
"10","2","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Friend","357","0.357","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","508","0.508","0"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","955","0.955","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","430","0.43","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","411","0.411","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","432","0.432","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","954","0.954","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","842","0.842","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","449","0.449","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","541","0.541","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","639","0.639","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","674","0.674","0"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","401","0.401","1"
"10","2","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Friend","293","0.293","0"
"10","2","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Friend","629","0.629","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","800","0.8","0"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","555","0.555","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","957","0.957","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","486","0.486","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","459","0.459","1"
"10","2","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Friend","530","0.53","0"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","957","0.957","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","601","0.601","0"
"10","2","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Friend","1035","1.035","0"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","598","0.598","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","780","0.78","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","662","0.662","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","484","0.484","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","740","0.74","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","619","0.619","1"
"10","2","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Friend","702","0.702","1"
"10","2","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Friend","546","0.546","0"
