SampleSize,Mean_d,SE,CI_lower,CI_upper,Identity
120,0.2770436377314311,0.03720812727452588,0.20570560514615216,0.3475992904364033,Label
130,0.27720200596398253,0.03668240566414178,0.20676172187685807,0.3474099801011111,Label
140,0.27719417085457176,0.03332249812559872,0.21219336671728728,0.34630659767898725,Label
150,0.2779307370707365,0.03452664962192256,0.20958771046425367,0.34224420086973323,Label
160,0.28005587568832824,0.034044207150138346,0.21994325219625085,0.34741962792629005,Label
170,0.27694830556908356,0.030977164165487046,0.21485955837907605,0.33493439449304097,Label
180,0.27573525295689927,0.03258611884265614,0.21054767913396993,0.3464185120914088,Label
190,0.27883668146456897,0.03152751879429958,0.21840538690291922,0.3435998202925963,Label
200,0.27713154091396813,0.029252975698574248,0.22200613562656488,0.3341132212450064,Label
210,0.27755735273776533,0.028213614140728344,0.22382446145773682,0.3297991913440344,Label
220,0.27652116433707247,0.02685971031366422,0.22325218064868002,0.33453850600381496,Label
230,0.2779577759781385,0.02786998771180924,0.2243028384312913,0.33182232406124945,Label
240,0.27832978925322516,0.02796515158853382,0.2252278466037601,0.33851218345185985,Label
250,0.28008418518242506,0.026323089570878457,0.23282866445634212,0.33461455737999257,Label
260,0.27741051497235275,0.024148192143932042,0.22954399111421292,0.32242298750775483,Label
270,0.27748142967798856,0.024520463066641678,0.23037392527318354,0.32504758205987583,Label
280,0.27894892828642875,0.023907593341000507,0.23513781232449252,0.3277895298289043,Label
290,0.27919568795517796,0.024114138932094728,0.23175600313229033,0.32849547843893906,Label
300,0.27948999656874557,0.024851561677593267,0.23099733145515056,0.3255536813028044,Label
310,0.2749596676145279,0.02391229148978774,0.22662573776608838,0.32143144975092247,Label
320,0.2781543081319246,0.022890069659062647,0.23425780921852735,0.3252846218352526,Label
330,0.27826401400933837,0.02275198958751556,0.23457712282382678,0.3216796867268587,Label
340,0.2774932774380237,0.021736179762630915,0.2371380830237119,0.3183693543569732,Label
350,0.27690631690857687,0.02397095338693531,0.23376696934614827,0.32163367854578984,Label
360,0.27817902127963884,0.020483322261215964,0.23998059561018684,0.31899393638533824,Label
370,0.2770502293759268,0.021038743723474678,0.24040176720698198,0.316308224430018,Label
380,0.2777777704310857,0.021048916536777377,0.23929400505522808,0.31966001317070564,Label
390,0.2785068424994285,0.020815572443941447,0.2351475779916134,0.3175371213905138,Label
400,0.2772013794975813,0.020041580185974364,0.23718356509247066,0.3141886869099988,Label
410,0.27601727843796825,0.021547254896165834,0.22996596163417019,0.31771459803299584,Label
420,0.27812791160304284,0.020054957973317692,0.24008628331735238,0.31655821949352225,Label
430,0.2770913032294123,0.020179619667977638,0.23539820756939783,0.3117056478807067,Label
440,0.2772197093181936,0.01994267916510431,0.23600836081079224,0.3129087526405476,Label
450,0.27736240548105534,0.019726029480587177,0.2367677781405761,0.3120300439421229,Label
460,0.2792581607306576,0.019678130859780353,0.2412520004708196,0.31756145157536897,Label
470,0.27630329899261513,0.019748721876174036,0.23880738183950928,0.3165570443348182,Label
480,0.2779742331767807,0.02001855888074757,0.238182351300429,0.3159627112624071,Label
490,0.2771942805063081,0.017587768868053324,0.24595522960681995,0.31069036664528177,Label
500,0.27669823038149827,0.019199121879856142,0.24016284981223632,0.31543230736527045,Label
510,0.2773880931740241,0.016640137209017677,0.24213397703755887,0.30799433866410325,Label
520,0.27857158040826424,0.017959434310657135,0.24351487736367633,0.3132648374197928,Label
530,0.27780096369845775,0.01761053322279952,0.24402058471532798,0.3107864939704087,Label
540,0.27879254691260646,0.01750234505168806,0.24528297038776173,0.31375331454274397,Label
