"Subject","Trial","Label","Nonword","Matching","ACC","RT_ms","bed","manipCheck","Resp","Cresp","Condition"
2,24,"Fremder","sfartku","Nonmatching",1,1333,"L2n",3,"k","k","long3"
2,25,"Ich","sfartku","Matching",1,962,"L1m",1,"d","d","long3"
2,26,"Fremder","sfartku","Nonmatching",1,882,"L2n",3,"k","k","long3"
2,27,"Ich","muf","Nonmatching",0,912,"L1n",2,"d","k","long3"
2,28,"Fremder","muf","Matching",1,1209,"L2m",4,"d","d","long3"
2,29,"Fremder","sfartku","Nonmatching",1,1054,"L2n",3,"k","k","long3"
2,30,"Fremder","muf","Matching",1,914,"L2m",4,"d","d","long3"
2,31,"Ich","sfartku","Matching",1,1084,"L1m",1,"d","d","long3"
2,32,"Ich","muf","Nonmatching",1,921,"L1n",2,"k","k","long3"
2,33,"Ich","muf","Nonmatching",1,807,"L1n",2,"k","k","long3"
2,34,"Ich","sfartku","Matching",1,559,"L1m",1,"d","d","long3"
2,35,"Fremder","sfartku","Nonmatching",1,1258,"L2n",3,"k","k","long3"
2,36,"Fremder","muf","Matching",1,1299,"L2m",4,"d","d","long3"
2,37,"Ich","sfartku","Matching",1,656,"L1m",1,"d","d","long3"
2,38,"Ich","muf","Nonmatching",1,853,"L1n",2,"k","k","long3"
2,39,"Fremder","sfartku","Nonmatching",1,1045,"L2n",3,"k","k","long3"
2,40,"Fremder","muf","Matching",1,1367,"L2m",4,"d","d","long3"
2,41,"Fremder","sfartku","Nonmatching",1,800,"L2n",3,"k","k","long3"
2,42,"Fremder","muf","Matching",1,925,"L2m",4,"d","d","long3"
2,43,"Ich","sfartku","Matching",1,929,"L1m",1,"d","d","long3"
2,44,"Ich","muf","Nonmatching",1,1031,"L1n",2,"k","k","long3"
2,45,"Fremder","muf","Matching",0,1177,"L2m",4,"k","d","long3"
2,46,"Ich","muf","Nonmatching",1,765,"L1n",2,"k","k","long3"
2,47,"Ich","sfartku","Matching",1,535,"L1m",1,"d","d","long3"
2,48,"Fremder","sfartku","Nonmatching",1,623,"L2n",3,"k","k","long3"
2,49,"Fremder","muf","Matching",1,1095,"L2m",4,"d","d","long3"
2,50,"Ich","muf","Nonmatching",1,838,"L1n",2,"k","k","long3"
2,51,"Fremder","sfartku","Nonmatching",1,1327,"L2n",3,"k","k","long3"
2,52,"Ich","sfartku","Matching",1,885,"L1m",1,"d","d","long3"
2,53,"Ich","muf","Nonmatching",0,630,"L1n",2,"d","k","long3"
2,54,"Fremder","muf","Matching",0,2023,"L2m",4,"k","d","long3"
2,55,"Ich","sfartku","Matching",0,411,"L1m",1,"{SHIFT}","d","long3"
2,56,"Fremder","sfartku","Nonmatching",1,935,"L2n",3,"k","k","long3"
2,57,"Ich","sfartku","Matching",1,662,"L1m",1,"d","d","long3"
2,58,"Fremder","muf","Matching",1,1202,"L2m",4,"d","d","long3"
2,59,"Ich","muf","Nonmatching",0,589,"L1n",2,"d","k","long3"
2,60,"Fremder","sfartku","Nonmatching",1,927,"L2n",3,"k","k","long3"
2,61,"Fremder","sfartku","Nonmatching",1,1028,"L2n",3,"k","k","long3"
2,62,"Ich","muf","Nonmatching",1,939,"L1n",2,"k","k","long3"
2,63,"Fremder","muf","Matching",1,912,"L2m",4,"d","d","long3"
2,64,"Ich","sfartku","Matching",1,768,"L1m",1,"d","d","long3"
2,65,"Fremder","muf","Matching",1,703,"L2m",4,"d","d","long3"
2,66,"Ich","sfartku","Matching",1,657,"L1m",1,"d","d","long3"
2,67,"Ich","muf","Nonmatching",1,886,"L1n",2,"k","k","long3"
2,68,"Fremder","sfartku","Nonmatching",1,1524,"L2n",3,"k","k","long3"
2,69,"Fremder","sfartku","Nonmatching",1,2746,"L2n",3,"k","k","long3"
2,70,"Fremder","muf","Matching",1,1312,"L2m",4,"d","d","long3"
2,71,"Ich","muf","Nonmatching",1,860,"L1n",2,"k","k","long3"
2,72,"Ich","sfartku","Matching",1,847,"L1m",1,"d","d","long3"
2,73,"Fremder","sfartku","Nonmatching",1,1075,"L2n",3,"k","k","long3"
2,74,"Ich","muf","Nonmatching",1,794,"L1n",2,"k","k","long3"
2,75,"Ich","sfartku","Matching",1,596,"L1m",1,"d","d","long3"
2,76,"Fremder","muf","Matching",0,809,"L2m",4,"k","d","long3"
2,77,"Ich","sfartku","Matching",1,510,"L1m",1,"d","d","long3"
2,78,"Ich","muf","Nonmatching",1,684,"L1n",2,"k","k","long3"
2,79,"Fremder","sfartku","Nonmatching",1,1060,"L2n",3,"k","k","long3"
2,80,"Fremder","muf","Matching",1,842,"L2m",4,"d","d","long3"
2,81,"Fremder","sfartku","Nonmatching",1,731,"L2n",3,"k","k","long3"
2,82,"Ich","muf","Nonmatching",1,805,"L1n",2,"k","k","long3"
2,83,"Fremder","muf","Matching",1,848,"L2m",4,"d","d","long3"
2,84,"Ich","sfartku","Matching",1,542,"L1m",1,"d","d","long3"
2,85,"Ich","muf","Nonmatching",1,687,"L1n",2,"k","k","long3"
2,86,"Ich","sfartku","Matching",1,629,"L1m",1,"d","d","long3"
2,87,"Fremder","muf","Matching",1,982,"L2m",4,"d","d","long3"
2,88,"Fremder","sfartku","Nonmatching",1,927,"L2n",3,"k","k","long3"
2,89,"Ich","sfartku","Matching",1,560,"L1m",1,"d","d","long3"
2,90,"Fremder","sfartku","Nonmatching",1,714,"L2n",3,"k","k","long3"
2,91,"Ich","muf","Nonmatching",1,792,"L1n",2,"k","k","long3"
2,92,"Fremder","muf","Matching",1,721,"L2m",4,"d","d","long3"
2,93,"Ich","sfartku","Matching",1,631,"L1m",1,"d","d","long3"
2,94,"Ich","muf","Nonmatching",1,615,"L1n",2,"k","k","long3"
2,95,"Fremder","muf","Matching",0,744,"L2m",4,"k","d","long3"
2,96,"Fremder","sfartku","Nonmatching",0,595,"L2n",3,"d","k","long3"
2,97,"Fremder","sfartku","Nonmatching",1,664,"L2n",3,"k","k","long3"
2,98,"Ich","muf","Nonmatching",1,886,"L1n",2,"k","k","long3"
2,99,"Fremder","muf","Matching",1,949,"L2m",4,"d","d","long3"
2,100,"Ich","sfartku","Matching",1,999,"L1m",1,"d","d","long3"
2,101,"Ich","sfartku","Matching",1,537,"L1m",1,"d","d","long3"
2,102,"Fremder","sfartku","Nonmatching",1,794,"L2n",3,"k","k","long3"
2,103,"Ich","muf","Nonmatching",1,737,"L1n",2,"k","k","long3"
2,104,"Fremder","muf","Matching",1,972,"L2m",4,"d","d","long3"
2,105,"Ich","muf","Nonmatching",1,659,"L1n",2,"k","k","long3"
2,106,"Fremder","muf","Matching",1,701,"L2m",4,"d","d","long3"
2,107,"Fremder","sfartku","Nonmatching",1,828,"L2n",3,"k","k","long3"
2,108,"Ich","sfartku","Matching",1,603,"L1m",1,"d","d","long3"
2,109,"Ich","muf","Nonmatching",1,850,"L1n",2,"k","k","long3"
2,110,"Fremder","sfartku","Nonmatching",1,985,"L2n",3,"k","k","long3"
2,111,"Fremder","muf","Matching",0,1455,"L2m",4,"k","d","long3"
2,112,"Ich","sfartku","Matching",1,547,"L1m",1,"d","d","long3"
2,113,"Ich","sfartku","Matching",1,1015,"L1m",1,"d","d","long3"
2,114,"Fremder","sfartku","Nonmatching",1,1156,"L2n",3,"k","k","long3"
2,115,"Fremder","muf","Matching",1,1650,"L2m",4,"d","d","long3"
2,116,"Ich","muf","Nonmatching",1,899,"L1n",2,"k","k","long3"
2,117,"Ich","sfartku","Matching",1,701,"L1m",1,"d","d","long3"
2,118,"Fremder","sfartku","Nonmatching",0,676,"L2n",3,"d","k","long3"
2,119,"Ich","muf","Nonmatching",1,1142,"L1n",2,"k","k","long3"
2,120,"Fremder","muf","Matching",1,1343,"L2m",4,"d","d","long3"
2,121,"Ich","sfartku","Matching",0,805,"L1m",1,"k","d","long3"
2,122,"Ich","muf","Nonmatching",0,1159,"L1n",2,"d","k","long3"
2,123,"Fremder","muf","Matching",1,1366,"L2m",4,"d","d","long3"
2,124,"Fremder","sfartku","Nonmatching",1,1406,"L2n",3,"k","k","long3"
2,125,"Ich","muf","Nonmatching",1,630,"L1n",2,"k","k","long3"
2,126,"Fremder","sfartku","Nonmatching",1,847,"L2n",3,"k","k","long3"
2,127,"Fremder","muf","Matching",1,1017,"L2m",4,"d","d","long3"
2,128,"Ich","sfartku","Matching",0,572,"L1m",1,"k","d","long3"
3,1,"Fremder","teirnen","Matching",1,1120,"L2m",4,"d","d","short9"
3,2,"Fremder","lor","Nonmatching",1,762,"L2n",3,"k","k","short9"
3,3,"Ich","teirnen","Nonmatching",1,728,"L1n",2,"k","k","short9"
3,4,"Ich","lor","Matching",1,654,"L1m",1,"d","d","short9"
3,5,"Fremder","lor","Nonmatching",1,519,"L2n",3,"k","k","short9"
3,6,"Ich","teirnen","Nonmatching",1,404,"L1n",2,"k","k","short9"
3,7,"Fremder","teirnen","Matching",1,546,"L2m",4,"d","d","short9"
3,8,"Ich","lor","Matching",1,367,"L1m",1,"d","d","short9"
3,9,"Ich","teirnen","Nonmatching",1,681,"L1n",2,"k","k","short9"
3,10,"Ich","lor","Matching",1,569,"L1m",1,"d","d","short9"
3,11,"Fremder","teirnen","Matching",1,405,"L2m",4,"d","d","short9"
3,12,"Fremder","lor","Nonmatching",1,452,"L2n",3,"k","k","short9"
3,13,"Fremder","teirnen","Matching",1,800,"L2m",4,"d","d","short9"
3,14,"Ich","teirnen","Nonmatching",0,1066,"L1n",2,"d","k","short9"
3,15,"Fremder","lor","Nonmatching",1,665,"L2n",3,"k","k","short9"
3,16,"Ich","lor","Matching",1,788,"L1m",1,"d","d","short9"
3,17,"Fremder","lor","Nonmatching",1,684,"L2n",3,"k","k","short9"
3,18,"Ich","teirnen","Nonmatching",1,636,"L1n",2,"k","k","short9"
3,19,"Fremder","teirnen","Matching",1,392,"L2m",4,"d","d","short9"
3,20,"Ich","lor","Matching",1,717,"L1m",1,"d","d","short9"
3,21,"Ich","teirnen","Nonmatching",1,683,"L1n",2,"k","k","short9"
3,22,"Fremder","teirnen","Matching",1,424,"L2m",4,"d","d","short9"
3,23,"Ich","lor","Matching",1,442,"L1m",1,"d","d","short9"
3,24,"Fremder","lor","Nonmatching",1,466,"L2n",3,"k","k","short9"
3,25,"Ich","teirnen","Nonmatching",1,594,"L1n",2,"k","k","short9"
3,26,"Ich","lor","Matching",1,423,"L1m",1,"d","d","short9"
3,27,"Fremder","lor","Nonmatching",1,560,"L2n",3,"k","k","short9"
3,28,"Fremder","teirnen","Matching",1,899,"L2m",4,"d","d","short9"
3,29,"Ich","teirnen","Nonmatching",1,592,"L1n",2,"k","k","short9"
3,30,"Ich","lor","Matching",1,537,"L1m",1,"d","d","short9"
3,31,"Fremder","lor","Nonmatching",1,603,"L2n",3,"k","k","short9"
3,32,"Fremder","teirnen","Matching",1,778,"L2m",4,"d","d","short9"
3,33,"Ich","teirnen","Nonmatching",1,1014,"L1n",2,"k","k","short9"
3,34,"Fremder","teirnen","Matching",1,646,"L2m",4,"d","d","short9"
3,35,"Ich","lor","Matching",1,700,"L1m",1,"d","d","short9"
3,36,"Fremder","lor","Nonmatching",0,479,"L2n",3,"d","k","short9"
3,37,"Ich","lor","Matching",1,822,"L1m",1,"d","d","short9"
3,38,"Fremder","lor","Nonmatching",1,668,"L2n",3,"k","k","short9"
3,39,"Ich","teirnen","Nonmatching",1,731,"L1n",2,"k","k","short9"
3,40,"Fremder","teirnen","Matching",0,425,"L2m",4,"k","d","short9"
3,41,"Ich","lor","Matching",1,617,"L1m",1,"d","d","short9"
3,42,"Ich","teirnen","Nonmatching",1,514,"L1n",2,"k","k","short9"
3,43,"Fremder","lor","Nonmatching",1,710,"L2n",3,"k","k","short9"
3,44,"Fremder","teirnen","Matching",1,807,"L2m",4,"d","d","short9"
3,45,"Ich","lor","Matching",1,533,"L1m",1,"d","d","short9"
3,46,"Ich","teirnen","Nonmatching",1,384,"L1n",2,"k","k","short9"
3,47,"Fremder","teirnen","Matching",1,717,"L2m",4,"d","d","short9"
3,48,"Fremder","lor","Nonmatching",1,665,"L2n",3,"k","k","short9"
3,49,"Fremder","lor","Nonmatching",1,392,"L2n",3,"k","k","short9"
3,50,"Ich","lor","Matching",1,697,"L1m",1,"d","d","short9"
3,51,"Ich","teirnen","Nonmatching",1,455,"L1n",2,"k","k","short9"
3,52,"Fremder","teirnen","Matching",1,786,"L2m",4,"d","d","short9"
3,53,"Fremder","lor","Nonmatching",0,614,"L2n",3,"d","k","short9"
3,54,"Ich","teirnen","Nonmatching",1,688,"L1n",2,"k","k","short9"
3,55,"Fremder","teirnen","Matching",1,1312,"L2m",4,"d","d","short9"
3,56,"Ich","lor","Matching",1,553,"L1m",1,"d","d","short9"
3,57,"Fremder","lor","Nonmatching",1,366,"L2n",3,"k","k","short9"
3,58,"Fremder","teirnen","Matching",0,918,"L2m",4,"k","d","short9"
3,59,"Ich","teirnen","Nonmatching",1,504,"L1n",2,"k","k","short9"
3,60,"Ich","lor","Matching",1,548,"L1m",1,"d","d","short9"
3,61,"Fremder","lor","Nonmatching",1,583,"L2n",3,"k","k","short9"
3,62,"Fremder","teirnen","Matching",1,633,"L2m",4,"d","d","short9"
3,63,"Ich","teirnen","Nonmatching",1,578,"L1n",2,"k","k","short9"
3,64,"Ich","lor","Matching",1,579,"L1m",1,"d","d","short9"
3,65,"Fremder","teirnen","Matching",1,556,"L2m",4,"d","d","short9"
3,66,"Ich","teirnen","Nonmatching",1,472,"L1n",2,"k","k","short9"
3,67,"Ich","lor","Matching",1,584,"L1m",1,"d","d","short9"
3,68,"Fremder","lor","Nonmatching",1,423,"L2n",3,"k","k","short9"
3,69,"Ich","lor","Matching",1,424,"L1m",1,"d","d","short9"
3,70,"Fremder","lor","Nonmatching",1,469,"L2n",3,"k","k","short9"
3,71,"Fremder","teirnen","Matching",1,395,"L2m",4,"d","d","short9"
3,72,"Ich","teirnen","Nonmatching",1,497,"L1n",2,"k","k","short9"
3,73,"Fremder","lor","Nonmatching",1,475,"L2n",3,"k","k","short9"
3,74,"Ich","lor","Matching",1,521,"L1m",1,"d","d","short9"
3,75,"Fremder","teirnen","Matching",1,529,"L2m",4,"d","d","short9"
3,76,"Ich","teirnen","Nonmatching",1,685,"L1n",2,"k","k","short9"
3,77,"Ich","lor","Matching",1,492,"L1m",1,"d","d","short9"
3,78,"Ich","teirnen","Nonmatching",1,846,"L1n",2,"k","k","short9"
3,79,"Fremder","lor","Nonmatching",1,550,"L2n",3,"k","k","short9"
3,80,"Fremder","teirnen","Matching",1,746,"L2m",4,"d","d","short9"
3,81,"Fremder","teirnen","Matching",1,1079,"L2m",4,"d","d","short9"
3,82,"Fremder","lor","Nonmatching",1,400,"L2n",3,"k","k","short9"
3,83,"Ich","teirnen","Nonmatching",1,441,"L1n",2,"k","k","short9"
3,84,"Ich","lor","Matching",1,412,"L1m",1,"d","d","short9"
3,85,"Fremder","teirnen","Matching",1,416,"L2m",4,"d","d","short9"
3,86,"Ich","lor","Matching",1,373,"L1m",1,"d","d","short9"
3,87,"Ich","teirnen","Nonmatching",1,446,"L1n",2,"k","k","short9"
3,88,"Fremder","lor","Nonmatching",1,422,"L2n",3,"k","k","short9"
3,89,"Ich","lor","Matching",1,579,"L1m",1,"d","d","short9"
3,90,"Fremder","lor","Nonmatching",1,503,"L2n",3,"k","k","short9"
3,91,"Ich","teirnen","Nonmatching",1,431,"L1n",2,"k","k","short9"
3,92,"Fremder","teirnen","Matching",1,459,"L2m",4,"d","d","short9"
3,93,"Fremder","teirnen","Matching",1,499,"L2m",4,"d","d","short9"
3,94,"Ich","lor","Matching",1,448,"L1m",1,"d","d","short9"
3,95,"Ich","teirnen","Nonmatching",1,356,"L1n",2,"k","k","short9"
3,96,"Fremder","lor","Nonmatching",1,414,"L2n",3,"k","k","short9"
3,97,"Fremder","lor","Nonmatching",1,758,"L2n",3,"k","k","short9"
3,98,"Ich","lor","Matching",1,516,"L1m",1,"d","d","short9"
3,99,"Ich","teirnen","Nonmatching",0,409,"L1n",2,"d","k","short9"
3,100,"Fremder","teirnen","Matching",1,711,"L2m",4,"d","d","short9"
3,101,"Fremder","lor","Nonmatching",1,468,"L2n",3,"k","k","short9"
3,102,"Ich","teirnen","Nonmatching",1,571,"L1n",2,"k","k","short9"
3,103,"Fremder","teirnen","Matching",0,464,"L2m",4,"k","d","short9"
3,104,"Ich","lor","Matching",1,558,"L1m",1,"d","d","short9"
3,105,"Fremder","lor","Nonmatching",1,814,"L2n",3,"k","k","short9"
3,106,"Fremder","teirnen","Matching",1,492,"L2m",4,"d","d","short9"
3,107,"Ich","teirnen","Nonmatching",1,364,"L1n",2,"k","k","short9"
3,108,"Ich","lor","Matching",1,652,"L1m",1,"d","d","short9"
3,109,"Fremder","teirnen","Matching",0,383,"L2m",4,"k","d","short9"
3,110,"Ich","teirnen","Nonmatching",1,406,"L1n",2,"k","k","short9"
3,111,"Ich","lor","Matching",1,552,"L1m",1,"d","d","short9"
3,112,"Fremder","lor","Nonmatching",1,395,"L2n",3,"k","k","short9"
3,113,"Ich","teirnen","Nonmatching",1,575,"L1n",2,"k","k","short9"
3,114,"Ich","lor","Matching",1,473,"L1m",1,"d","d","short9"
3,115,"Fremder","teirnen","Matching",1,697,"L2m",4,"d","d","short9"
3,116,"Fremder","lor","Nonmatching",1,459,"L2n",3,"k","k","short9"
3,117,"Ich","lor","Matching",1,548,"L1m",1,"d","d","short9"
3,118,"Fremder","lor","Nonmatching",1,632,"L2n",3,"k","k","short9"
3,119,"Ich","teirnen","Nonmatching",1,617,"L1n",2,"k","k","short9"
3,120,"Fremder","teirnen","Matching",1,551,"L2m",4,"d","d","short9"
3,121,"Fremder","lor","Nonmatching",1,525,"L2n",3,"k","k","short9"
3,122,"Fremder","teirnen","Matching",1,718,"L2m",4,"d","d","short9"
3,123,"Ich","lor","Matching",1,559,"L1m",1,"d","d","short9"
3,124,"Ich","teirnen","Nonmatching",1,547,"L1n",2,"k","k","short9"
3,125,"Ich","teirnen","Nonmatching",1,412,"L1n",2,"k","k","short9"
3,126,"Fremder","lor","Nonmatching",1,706,"L2n",3,"k","k","short9"
3,127,"Fremder","teirnen","Matching",1,455,"L2m",4,"d","d","short9"
3,128,"Ich","lor","Matching",1,390,"L1m",1,"d","d","short9"
4,1,"Fremder","kes","Matching",1,1275,"L2m",4,"d","d","long4"
4,2,"Fremder","ambelde","Nonmatching",1,957,"L2n",3,"k","k","long4"
4,3,"Ich","kes","Nonmatching",1,1351,"L1n",2,"k","k","long4"
4,4,"Ich","ambelde","Matching",1,613,"L1m",1,"d","d","long4"
4,5,"Ich","kes","Nonmatching",1,1106,"L1n",2,"k","k","long4"
4,6,"Fremder","ambelde","Nonmatching",1,1008,"L2n",3,"k","k","long4"
4,7,"Fremder","kes","Matching",1,1447,"L2m",4,"d","d","long4"
4,8,"Ich","ambelde","Matching",1,824,"L1m",1,"d","d","long4"
4,9,"Ich","ambelde","Matching",1,882,"L1m",1,"d","d","long4"
4,10,"Ich","kes","Nonmatching",1,1302,"L1n",2,"k","k","long4"
4,11,"Fremder","kes","Matching",1,1281,"L2m",4,"d","d","long4"
4,12,"Fremder","ambelde","Nonmatching",1,833,"L2n",3,"k","k","long4"
4,13,"Fremder","kes","Matching",1,1164,"L2m",4,"d","d","long4"
4,14,"Ich","ambelde","Matching",1,1088,"L1m",1,"d","d","long4"
4,15,"Fremder","ambelde","Nonmatching",1,1345,"L2n",3,"k","k","long4"
4,16,"Ich","kes","Nonmatching",1,1010,"L1n",2,"k","k","long4"
4,17,"Fremder","kes","Matching",1,1159,"L2m",4,"d","d","long4"
4,18,"Ich","ambelde","Matching",1,1510,"L1m",1,"d","d","long4"
4,19,"Ich","kes","Nonmatching",1,1129,"L1n",2,"k","k","long4"
4,20,"Fremder","ambelde","Nonmatching",1,1456,"L2n",3,"k","k","long4"
4,21,"Fremder","ambelde","Nonmatching",1,754,"L2n",3,"k","k","long4"
4,22,"Ich","kes","Nonmatching",1,1014,"L1n",2,"k","k","long4"
4,23,"Fremder","kes","Matching",1,1113,"L2m",4,"d","d","long4"
4,24,"Ich","ambelde","Matching",1,842,"L1m",1,"d","d","long4"
4,25,"Ich","kes","Nonmatching",1,830,"L1n",2,"k","k","long4"
4,26,"Ich","ambelde","Matching",1,746,"L1m",1,"d","d","long4"
4,27,"Fremder","ambelde","Nonmatching",1,914,"L2n",3,"k","k","long4"
4,28,"Fremder","kes","Matching",1,1539,"L2m",4,"d","d","long4"
4,29,"Ich","ambelde","Matching",1,880,"L1m",1,"d","d","long4"
