"Subject","Block","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
"1","3","pentagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","m","715","0.715","1"
"1","3","kite","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","m","767","0.767","1"
"1","3","pentagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","m","713","0.713","1"
"1","3","square","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","n","625","0.625","0"
"1","3","pentagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","n","954","0.954","1"
"1","3","trapeze","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","m","593","0.593","0"
"1","3","square","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","n","597","0.597","1"
"1","3","square","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","m","341","0.341","1"
"1","3","trapeze","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","n","507","0.507","0"
"1","3","pentagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","n","883","0.883","1"
"2","1","triangle","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","timeout","1652","1.652","0"
"2","1","diamond","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","n","1015","1.015","1"
"2","1","triangle","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","m","815","0.815","1"
"2","1","rhomboid","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","m","775","0.775","1"
"2","1","rhomboid","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","n","699","0.699","1"
"2","1","octagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","m","609","0.609","1"
"2","1","diamond","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","m","649","0.649","1"
"2","1","triangle","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","m","867","0.867","1"
"2","1","diamond","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","m","671","0.671","1"
"2","1","octagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","m","678","0.678","1"
"2","1","octagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","n","684","0.684","1"
"2","1","rhomboid","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","m","589","0.589","1"
"2","1","rhomboid","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","n","711","0.711","1"
"2","1","octagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","n","792","0.792","1"
"2","1","triangle","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","n","761","0.761","1"
"2","1","diamond","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","m","623","0.623","0"
"2","2","diamond","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","m","895","0.895","1"
"2","2","diamond","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","n","600","0.6","1"
"2","2","triangle","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","m","748","0.748","1"
"2","2","diamond","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","m","694","0.694","1"
"2","2","diamond","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","n","767","0.767","1"
"2","2","triangle","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","n","811","0.811","1"
"2","2","octagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","m","553","0.553","1"
"2","2","rhomboid","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","n","698","0.698","1"
"2","2","octagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","n","732","0.732","1"
"2","2","rhomboid","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","m","744","0.744","1"
"2","2","octagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","n","602","0.602","1"
