"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition","question_order","result"
"","","","","","psychophysics","92","504915","0.0-7.1-0.1-0.39","578","","j","","","","","","","","","","","","","key","j","16.658252427184355","768","428","./1_3_Stimuli/S_ambi40.png","他人","Image","他人","Match","j","true","Practice","",""
"","","","","","html-keyboard-response","93","505224","0.0-7.1-0.1-1.39","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback","",""
"","","","","","psychophysics","94","506871","0.0-7.1-0.1-0.40","495","","f","","","","","","","","","","","","","key","f","16.66020408163277","768","428","./1_3_Stimuli/S_ambi40.png","自我","Word","他人","Mismatch","f","true","Practice","",""
"","","","","","html-keyboard-response","95","507173","0.0-7.1-0.1-1.40","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback","",""
"","","","","","psychophysics","96","508974","0.0-7.1-0.1-0.41","647","","j","","","","","","","","","","","","","key","j","16.66074766355151","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Image","朋友","Match","j","true","Practice","",""
"","","","","","html-keyboard-response","97","509279","0.0-7.1-0.1-1.41","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback","",""
"","","","","","psychophysics","98","510965","0.0-7.1-0.1-0.42","529","","j","","","","","","","","","","","","","key","j","16.660999999999767","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Word","朋友","Match","j","true","Practice","",""
"","","","","","html-keyboard-response","99","511271","0.0-7.1-0.1-1.42","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback","",""
"","","","","","psychophysics","100","512867","0.0-7.1-0.1-0.43","438","","f","","","","","","","","","","","","","key","f","16.661702127659698","768","428","./1_3_Stimuli/S_ambi40.png","他人","Image","他人","Match","j","false","Practice","",""
"","","","","","html-keyboard-response","101","513178","0.0-7.1-0.1-1.43","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback","",""
"","","","","","psychophysics","102","514970","0.0-7.1-0.1-0.44","635","","f","","","","","","","","","","","","","key","f","16.66168224299109","768","428","./1_3_Stimuli/T_ambi40.png","他人","Image","朋友","Mismatch","f","true","Practice","",""
"","","","","","html-keyboard-response","103","515277","0.0-7.1-0.1-1.44","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback","",""
"","","","","","psychophysics","104","517051","0.0-7.1-0.1-0.45","616","","j","","","","","","","","","","","","","key","j","16.6609523809526","768","428","./1_3_Stimuli/S_ambi40.png","他人","Word","他人","Match","j","true","Practice","",""
"","","","","","html-keyboard-response","105","517358","0.0-7.1-0.1-1.45","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback","",""
"","","","","","psychophysics","106","519035","0.0-7.1-0.1-0.46","524","","f","","","","","","","","","","","","","key","f","16.66100000000035","768","428","./1_3_Stimuli/T_ambi40.png","自我","Image","朋友","Mismatch","f","true","Practice","",""
"","","","","","html-keyboard-response","107","519339","0.0-7.1-0.1-1.46","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback","",""
"","","","","","psychophysics","108","520909","0.0-7.1-0.1-0.47","416","","j","","","","","","","","","","","","","key","j","16.661290322580644","768","428","./1_3_Stimuli/C_ambi40.png","自我","Image","自我","Match","j","true","Practice","",""
"","","","","","html-keyboard-response","109","521225","0.0-7.1-0.1-1.47","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback","",""
"","","","","","html-keyboard-response","110","758504","0.0-8.0","237277","<style>.context{color:white; font-size: 35px; line-height:40px}</style>                          <div><p class='context'>您正确回答了88% 的试次。</p><p class='context'>您的平均反应时为609毫秒。</p><p class='context'>恭喜您完成练习。现在请休息3~5分钟。</p><p class='context'>之后，按任意键进入正式实验。需要注意的是，正式实验将不再提供反应是否正确的反馈。</p><p class='footer' style='font-size: 35px; line-height:40px;'>请在进入正式实验实验之前将您的<span style='color: lightgreen;'>食指</span>放在电脑键盘的相应键位上进行按键。</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","psychophysics","111","760164","0.0-9.0-0.0-0.0","503","","j","","","","","","","","","","","","","key","j","16.661224489795206","768","428","./1_3_Stimuli/C_ambi40.png","自我","Image","自我","Match","j","true","Formal","",""
"","","","","","psychophysics","112","761790","0.0-9.0-0.0-0.1","472","","j","","","","","","","","","","","","","key","j","16.660824742267803","768","428","./1_3_Stimuli/S_ambi40.png","自我","Word","他人","Mismatch","f","false","Formal","",""
"","","","","","psychophysics","113","763646","0.0-9.0-0.0-0.2","695","","j","","","","","","","","","","","","","key","j","16.660909090909726","768","428","./1_3_Stimuli/S_ambi40.png","朋友","Image","他人","Mismatch","f","false","Formal","",""
"","","","","","psychophysics","114","765768","0.0-9.0-0.0-0.3","968","","f","","","","","","","","","","","","","key","f","16.661417322834644","768","428","./1_3_Stimuli/T_ambi40.png","自我","Image","朋友","Mismatch","f","true","Formal","",""
"","","","","","psychophysics","115","767766","0.0-9.0-0.0-0.4","837","","j","","","","","","","","","","","","","key","j","16.661344537814735","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Image","朋友","Match","j","true","Formal","",""
"","","","","","psychophysics","116","769644","0.0-9.0-0.0-0.5","727","","j","","","","","","","","","","","","","key","j","16.66126126126042","768","428","./1_3_Stimuli/S_ambi40.png","他人","Image","他人","Match","j","true","Formal","",""
"","","","","","psychophysics","117","771500","0.0-9.0-0.0-0.6","702","","j","","","","","","","","","","","","","key","j","16.660360360359732","768","428","./1_3_Stimuli/S_ambi40.png","他人","Word","他人","Match","j","true","Formal","",""
"","","","","","psychophysics","118","773444","0.0-9.0-0.0-0.7","784","","f","","","","","","","","","","","","","key","f","16.66260869565177","768","428","./1_3_Stimuli/T_ambi40.png","自我","Word","朋友","Mismatch","f","true","Formal","",""
"","","","","","psychophysics","119","775324","0.0-9.0-0.0-0.8","727","","f","","","","","","","","","","","","","key","f","16.661607142856933","768","428","./1_3_Stimuli/S_ambi40.png","自我","Image","他人","Mismatch","f","true","Formal","",""
"","","","","","psychophysics","120","776906","0.0-9.0-0.0-0.9","428","","j","","","","","","","","","","","","","key","j","16.66382978723429","768","428","./1_3_Stimuli/C_ambi40.png","自我","Word","自我","Match","j","true","Formal","",""
"","","","","","psychophysics","121","778738","0.0-9.0-0.0-0.10","676","","j","","","","","","","","","","","","","key","j","16.658715596329635","768","428","./1_3_Stimuli/S_ambi40.png","他人","Image","他人","Match","j","true","Formal","",""
"","","","","","psychophysics","122","780456","0.0-9.0-0.0-0.11","561","","f","","","","","","","","","","","","","key","f","16.66176470588235","768","428","./1_3_Stimuli/C_ambi40.png","他人","Image","自我","Mismatch","f","true","Formal","",""
"","","","","","psychophysics","123","782312","0.0-9.0-0.0-0.12","701","","f","","","","","","","","","","","","","key","f","16.663063063062854","768","428","./1_3_Stimuli/C_ambi40.png","他人","Word","自我","Mismatch","f","true","Formal","",""
"","","","","","psychophysics","124","784124","0.0-9.0-0.0-0.13","653","","j","","","","","","","","","","","","","key","j","16.660747663550968","768","428","./1_3_Stimuli/S_ambi40.png","他人","Word","他人","Match","j","true","Formal","",""
"","","","","","psychophysics","125","785976","0.0-9.0-0.0-0.14","699","","f","","","","","","","","","","","","","key","f","16.660909090908667","768","428","./1_3_Stimuli/C_ambi40.png","朋友","Image","自我","Mismatch","f","true","Formal","",""
