"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition","question_order"
"","","","","","psychophysics","296","784377","0.0-9.0-0.1-0.133","979","","j","","","","","","","","","","","","","key","j","16.653543307086615","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","他人","Word","朋友","Mismatch","f","false","Formal",""
"","","","","","psychophysics","297","786102","0.0-9.0-0.1-0.134","573","","j","","","","","","","","","","","","","key","j","16.65339805825175","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","j","true","Formal",""
"","","","","","psychophysics","298","788810","0.0-9.0-0.1-0.135","null","","null","","","","","","","","","","","","","key","null","16.653416149068033","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","他人","Word","他人","Match","j","false","Formal",""
"","","","","","psychophysics","299","791525","0.0-9.0-0.1-0.136","null","","null","","","","","","","","","","","","","key","null","16.650931677018924","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","自我","Image","朋友","Mismatch","f","false","Formal",""
"","","","","","psychophysics","300","793369","0.0-9.0-0.1-0.137","679","","j","","","","","","","","","","","","","key","j","16.648623853210584","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","朋友","Word","朋友","Match","j","true","Formal",""
"","","","","","psychophysics","301","795141","0.0-9.0-0.1-0.138","619","","j","","","","","","","","","","","","","key","j","16.653773584906098","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","朋友","Image","朋友","Match","j","true","Formal",""
"","","","","","psychophysics","302","797149","0.0-9.0-0.1-0.139","845","","j","","","","","","","","","","","","","key","j","16.652941176471174","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","他人","Image","他人","Match","j","true","Formal",""
"","","","","","psychophysics","303","798987","0.0-9.0-0.1-0.140","684","","f","","","","","","","","","","","","","key","f","16.653636363636576","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","朋友","Image","他人","Mismatch","f","true","Formal",""
"","","","","","psychophysics","304","800793","0.0-9.0-0.1-0.141","642","","j","","","","","","","","","","","","","key","j","16.652336448597477","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","朋友","Word","自我","Mismatch","f","false","Formal",""
"","","","","","psychophysics","305","803093","0.0-9.0-0.1-0.142","1144","","j","","","","","","","","","","","","","key","j","16.654014598539977","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","自我","Word","他人","Mismatch","f","false","Formal",""
