"Subject_ID","Exp_id","Age","Gender","Handedness","Group","Date"
"85","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","12-06-2017"
"86","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","12-06-2017"
"87","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","12-06-2017"
"88","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","12-06-2017"
"89","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","12-06-2017"
"9","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-03-2017"
"90","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","12-08-2017"
"91","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","12-08-2017"
"92","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","12-08-2017"
"93","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","12-08-2017"
"94","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","12-08-2017"
"95","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","12-08-2017"
"96","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","12-08-2017"
"97","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","12-08-2017"
"99","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","12-13-2017"
