"Subject","Session","SessionDate","Phase","Block","TrialList.Sample","Target","Shape","Label","YesNoResp","CorrectAnswer","Target.ACC","Target.RT","Target.RESP","Target.CRESP","Priming"
"101","1","03-27-2017","formal",1,34,"C.bmp","Self","Freund","No","m","1","668","m","m","imitation"
"101","1","03-27-2017","formal",1,35,"S.bmp","Friend","Freund","Yes","n","0","735","m","n","imitation"
"101","1","03-27-2017","formal",1,36,"T.bmp","Stranger","Fremder","Yes","n","0","684","m","n","imitation"
"101","1","03-27-2017","formal",1,37,"T.bmp","Stranger","Fremder","Yes","n","1","431","n","n","imitation"
"101","1","03-27-2017","formal",1,38,"C.bmp","Self","Sie","Yes","n","1","498","n","n","imitation"
"101","1","03-27-2017","formal",1,39,"S.bmp","Friend","Fremder","No","m","0","362","n","m","imitation"
"101","1","03-27-2017","formal",1,40,"S.bmp","Friend","Freund","Yes","n","0","554","m","n","imitation"
"101","1","03-27-2017","formal",1,41,"T.bmp","Stranger","Freund","No","m","1","729","m","m","imitation"
"101","1","03-27-2017","formal",1,42,"T.bmp","Stranger","Sie","No","m","0","578","n","m","imitation"
"101","1","03-27-2017","formal",1,43,"S.bmp","Friend","Sie","No","m","1","801","m","m","imitation"
"101","1","03-27-2017","formal",1,44,"T.bmp","Stranger","Fremder","Yes","n","1","743","n","n","imitation"
"101","1","03-27-2017","formal",1,45,"S.bmp","Friend","Freund","Yes","n","1","560","n","n","imitation"
"101","1","03-27-2017","formal",1,46,"C.bmp","Self","Fremder","No","m","1","579","m","m","imitation"
"101","1","03-27-2017","formal",1,47,"C.bmp","Self","Freund","No","m","1","974","m","m","imitation"
"101","1","03-27-2017","formal",1,48,"C.bmp","Self","Sie","Yes","n","1","541","n","n","imitation"
"101","1","03-27-2017","formal",1,49,"S.bmp","Friend","Freund","Yes","n","1","592","n","n","imitation"
"101","1","03-27-2017","formal",1,50,"C.bmp","Self","Sie","Yes","n","0","486","m","n","imitation"
"101","1","03-27-2017","formal",1,51,"T.bmp","Stranger","Freund","No","m","1","803","m","m","imitation"
"101","1","03-27-2017","formal",1,52,"S.bmp","Friend","Fremder","No","m","1","745","m","m","imitation"
"101","1","03-27-2017","formal",1,53,"T.bmp","Stranger","Fremder","Yes","n","0","592","m","n","imitation"
"101","1","03-27-2017","formal",1,54,"T.bmp","Stranger","Fremder","Yes","n","1","581","n","n","imitation"
"101","1","03-27-2017","formal",1,55,"S.bmp","Friend","Freund","Yes","n","1","570","n","n","imitation"
"101","1","03-27-2017","formal",1,56,"C.bmp","Self","Fremder","No","m","1","543","m","m","imitation"
"101","1","03-27-2017","formal",1,57,"C.bmp","Self","Freund","No","m","1","641","m","m","imitation"
"101","1","03-27-2017","formal",1,58,"T.bmp","Stranger","Sie","No","m","1","567","m","m","imitation"
"101","1","03-27-2017","formal",1,59,"S.bmp","Friend","Sie","No","m","1","571","m","m","imitation"
"101","1","03-27-2017","formal",1,60,"C.bmp","Self","Sie","Yes","n","1","388","n","n","imitation"
"101","1","03-27-2017","formal",2,1,"T.bmp","Stranger","Freund","No","m","1","474","m","m","imitation"
"101","1","03-27-2017","formal",2,2,"S.bmp","Friend","Sie","No","m","1","712","m","m","imitation"
"101","1","03-27-2017","formal",2,3,"C.bmp","Self","Fremder","No","m","1","873","m","m","imitation"
"101","1","03-27-2017","formal",2,4,"T.bmp","Stranger","Fremder","Yes","n","1","721","n","n","imitation"
"101","1","03-27-2017","formal",2,5,"T.bmp","Stranger","Sie","No","m","1","757","m","m","imitation"
"101","1","03-27-2017","formal",2,6,"C.bmp","Self","Freund","No","m","1","792","m","m","imitation"
"101","1","03-27-2017","formal",2,7,"S.bmp","Friend","Freund","Yes","n","1","531","n","n","imitation"
"101","1","03-27-2017","formal",2,8,"T.bmp","Stranger","Fremder","Yes","n","0","489","m","n","imitation"
"101","1","03-27-2017","formal",2,9,"S.bmp","Friend","Fremder","No","m","1","821","m","m","imitation"
"101","1","03-27-2017","formal",2,10,"S.bmp","Friend","Freund","Yes","n","1","747","n","n","imitation"
"101","1","03-27-2017","formal",2,11,"C.bmp","Self","Sie","Yes","n","1","439","n","n","imitation"
"101","1","03-27-2017","formal",2,12,"C.bmp","Self","Sie","Yes","n","1","693","n","n","imitation"
"101","1","03-27-2017","formal",2,13,"S.bmp","Friend","Freund","Yes","n","1","745","n","n","imitation"
"101","1","03-27-2017","formal",2,14,"C.bmp","Self","Freund","No","m","1","671","m","m","imitation"
"101","1","03-27-2017","formal",2,15,"T.bmp","Stranger","Sie","No","m","0","566","n","m","imitation"
"101","1","03-27-2017","formal",2,16,"C.bmp","Self","Sie","Yes","n","1","538","n","n","imitation"
"101","1","03-27-2017","formal",2,17,"T.bmp","Stranger","Fremder","Yes","n","1","713","n","n","imitation"
"101","1","03-27-2017","formal",2,18,"S.bmp","Friend","Sie","No","m","1","640","m","m","imitation"
"101","1","03-27-2017","formal",2,19,"C.bmp","Self","Sie","Yes","n","1","551","n","n","imitation"
"101","1","03-27-2017","formal",2,20,"S.bmp","Friend","Freund","Yes","n","1","648","n","n","imitation"
"101","1","03-27-2017","formal",2,21,"T.bmp","Stranger","Freund","No","m","1","668","m","m","imitation"
"101","1","03-27-2017","formal",2,22,"S.bmp","Friend","Fremder","No","m","1","829","m","m","imitation"
"101","1","03-27-2017","formal",2,23,"T.bmp","Stranger","Fremder","Yes","n","1","551","n","n","imitation"
"101","1","03-27-2017","formal",2,24,"C.bmp","Self","Fremder","No","m","1","664","m","m","imitation"
"101","1","03-27-2017","formal",2,25,"S.bmp","Friend","Freund","Yes","n","1","559","n","n","imitation"
"101","1","03-27-2017","formal",2,26,"C.bmp","Self","Fremder","No","m","1","642","m","m","imitation"
"101","1","03-27-2017","formal",2,27,"C.bmp","Self","Sie","Yes","n","1","458","n","n","imitation"
"101","1","03-27-2017","formal",2,28,"T.bmp","Stranger","Fremder","Yes","n","1","602","n","n","imitation"
"101","1","03-27-2017","formal",2,29,"T.bmp","Stranger","Freund","No","m","1","747","m","m","imitation"
"101","1","03-27-2017","formal",2,30,"C.bmp","Self","Freund","No","m","1","610","m","m","imitation"
"101","1","03-27-2017","formal",2,31,"S.bmp","Friend","Sie","No","m","1","755","m","m","imitation"
"101","1","03-27-2017","formal",2,32,"T.bmp","Stranger","Fremder","Yes","n","1","667","n","n","imitation"
"101","1","03-27-2017","formal",2,33,"C.bmp","Self","Sie","Yes","n","1","530","n","n","imitation"
"101","1","03-27-2017","formal",2,34,"S.bmp","Friend","Freund","Yes","n","1","566","n","n","imitation"
"101","1","03-27-2017","formal",2,35,"S.bmp","Friend","Fremder","No","m","1","555","m","m","imitation"
"101","1","03-27-2017","formal",2,36,"T.bmp","Stranger","Sie","No","m","0","497","n","m","imitation"
"101","1","03-27-2017","formal",2,37,"T.bmp","Stranger","Fremder","Yes","n","1","720","n","n","imitation"
"101","1","03-27-2017","formal",2,38,"S.bmp","Friend","Freund","Yes","n","1","475","n","n","imitation"
"101","1","03-27-2017","formal",2,39,"S.bmp","Friend","Sie","No","m","1","480","m","m","imitation"
"101","1","03-27-2017","formal",2,40,"C.bmp","Self","Freund","No","m","1","625","m","m","imitation"
"101","1","03-27-2017","formal",2,41,"C.bmp","Self","Sie","Yes","n","1","489","n","n","imitation"
"101","1","03-27-2017","formal",2,42,"C.bmp","Self","Fremder","No","m","1","634","m","m","imitation"
"101","1","03-27-2017","formal",2,43,"S.bmp","Friend","Freund","Yes","n","1","577","n","n","imitation"
"101","1","03-27-2017","formal",2,44,"C.bmp","Self","Sie","Yes","n","1","628","n","n","imitation"
"101","1","03-27-2017","formal",2,45,"T.bmp","Stranger","Sie","No","m","1","726","m","m","imitation"
"101","1","03-27-2017","formal",2,46,"S.bmp","Friend","Fremder","No","m","0","715","n","m","imitation"
"101","1","03-27-2017","formal",2,47,"T.bmp","Stranger","Fremder","Yes","n","1","954","n","n","imitation"
"101","1","03-27-2017","formal",2,48,"T.bmp","Stranger","Freund","No","m","1","567","m","m","imitation"
"101","1","03-27-2017","formal",2,49,"S.bmp","Friend","Freund","Yes","n","1","448","n","n","imitation"
"101","1","03-27-2017","formal",2,50,"C.bmp","Self","Fremder","No","m","1","593","m","m","imitation"
"101","1","03-27-2017","formal",2,51,"S.bmp","Friend","Fremder","No","m","1","832","m","m","imitation"
"101","1","03-27-2017","formal",2,52,"C.bmp","Self","Sie","Yes","n","1","508","n","n","imitation"
"101","1","03-27-2017","formal",2,53,"T.bmp","Stranger","Fremder","Yes","n","1","731","n","n","imitation"
"101","1","03-27-2017","formal",2,54,"C.bmp","Self","Sie","Yes","n","1","642","n","n","imitation"
"101","1","03-27-2017","formal",2,55,"C.bmp","Self","Freund","No","m","1","569","m","m","imitation"
"101","1","03-27-2017","formal",2,56,"S.bmp","Friend","Sie","No","m","1","699","m","m","imitation"
"101","1","03-27-2017","formal",2,57,"T.bmp","Stranger","Sie","No","m","1","719","m","m","imitation"
"101","1","03-27-2017","formal",2,58,"S.bmp","Friend","Freund","Yes","n","1","692","n","n","imitation"
"101","1","03-27-2017","formal",2,59,"T.bmp","Stranger","Fremder","Yes","n","1","696","n","n","imitation"
"101","1","03-27-2017","formal",2,60,"T.bmp","Stranger","Freund","No","m","1","561","m","m","imitation"
"101","1","03-27-2017","formal",3,1,"S.bmp","Friend","Freund","Yes","n","1","521","n","n","imitation"
"101","1","03-27-2017","formal",3,2,"S.bmp","Friend","Fremder","No","m","1","603","m","m","imitation"
"101","1","03-27-2017","formal",3,3,"C.bmp","Self","Sie","Yes","n","1","463","n","n","imitation"
"101","1","03-27-2017","formal",3,4,"C.bmp","Self","Fremder","No","m","1","613","m","m","imitation"
"101","1","03-27-2017","formal",3,5,"T.bmp","Stranger","Fremder","Yes","n","1","648","n","n","imitation"
"101","1","03-27-2017","formal",3,6,"S.bmp","Friend","Freund","Yes","n","1","573","n","n","imitation"
"101","1","03-27-2017","formal",3,7,"C.bmp","Self","Sie","Yes","n","1","421","n","n","imitation"
"101","1","03-27-2017","formal",3,8,"C.bmp","Self","Freund","No","m","1","614","m","m","imitation"
"101","1","03-27-2017","formal",3,9,"S.bmp","Friend","Sie","No","m","0","617","n","m","imitation"
"101","1","03-27-2017","formal",3,10,"T.bmp","Stranger","Fremder","Yes","n","1","573","n","n","imitation"
"101","1","03-27-2017","formal",3,11,"T.bmp","Stranger","Sie","No","m","1","593","m","m","imitation"
"101","1","03-27-2017","formal",3,12,"T.bmp","Stranger","Freund","No","m","1","676","m","m","imitation"
"101","1","03-27-2017","formal",3,13,"C.bmp","Self","Freund","No","m","1","633","m","m","imitation"
"101","1","03-27-2017","formal",3,14,"C.bmp","Self","Sie","Yes","n","1","512","n","n","imitation"
"101","1","03-27-2017","formal",3,15,"S.bmp","Friend","Fremder","No","m","1","845","m","m","imitation"
"101","1","03-27-2017","formal",3,16,"S.bmp","Friend","Freund","Yes","n","0","0","","n","imitation"
"101","1","03-27-2017","formal",3,17,"S.bmp","Friend","Freund","Yes","n","1","743","n","n","imitation"
"101","1","03-27-2017","formal",3,18,"T.bmp","Stranger","Fremder","Yes","n","1","450","n","n","imitation"
"101","1","03-27-2017","formal",3,19,"T.bmp","Stranger","Sie","No","m","1","548","m","m","imitation"
"101","1","03-27-2017","formal",3,20,"S.bmp","Friend","Sie","No","m","0","411","n","m","imitation"
"101","1","03-27-2017","formal",3,21,"T.bmp","Stranger","Freund","No","m","0","555","n","m","imitation"
"101","1","03-27-2017","formal",3,22,"C.bmp","Self","Fremder","No","m","0","449","n","m","imitation"
"101","1","03-27-2017","formal",3,23,"C.bmp","Self","Sie","Yes","n","1","484","n","n","imitation"
"101","1","03-27-2017","formal",3,24,"T.bmp","Stranger","Fremder","Yes","n","1","661","n","n","imitation"
"101","1","03-27-2017","formal",3,25,"T.bmp","Stranger","Fremder","Yes","n","1","813","n","n","imitation"
"101","1","03-27-2017","formal",3,26,"C.bmp","Self","Sie","Yes","n","1","592","n","n","imitation"
"101","1","03-27-2017","formal",3,27,"S.bmp","Friend","Sie","No","m","1","676","m","m","imitation"
"101","1","03-27-2017","formal",3,28,"S.bmp","Friend","Fremder","No","m","1","726","m","m","imitation"
"101","1","03-27-2017","formal",3,29,"T.bmp","Stranger","Sie","No","m","0","496","n","m","imitation"
"101","1","03-27-2017","formal",3,30,"C.bmp","Self","Fremder","No","m","1","1000","m","m","imitation"
"101","1","03-27-2017","formal",3,31,"T.bmp","Stranger","Freund","No","m","1","801","m","m","imitation"
"101","1","03-27-2017","formal",3,32,"S.bmp","Friend","Freund","Yes","n","1","853","n","n","imitation"
"101","1","03-27-2017","formal",3,33,"S.bmp","Friend","Freund","Yes","n","1","701","n","n","imitation"
"101","1","03-27-2017","formal",3,34,"C.bmp","Self","Freund","No","m","1","705","m","m","imitation"
"101","1","03-27-2017","formal",3,35,"C.bmp","Self","Sie","Yes","n","1","461","n","n","imitation"
"101","1","03-27-2017","formal",3,36,"T.bmp","Stranger","Fremder","Yes","n","1","620","n","n","imitation"
"101","1","03-27-2017","formal",3,37,"C.bmp","Self","Fremder","No","m","1","671","m","m","imitation"
"101","1","03-27-2017","formal",3,38,"T.bmp","Stranger","Fremder","Yes","n","1","644","n","n","imitation"
"101","1","03-27-2017","formal",3,39,"S.bmp","Friend","Sie","No","m","1","758","m","m","imitation"
"101","1","03-27-2017","formal",3,40,"S.bmp","Friend","Freund","Yes","n","1","622","n","n","imitation"
"101","1","03-27-2017","formal",3,41,"C.bmp","Self","Sie","Yes","n","1","517","n","n","imitation"
"101","1","03-27-2017","formal",3,42,"T.bmp","Stranger","Fremder","Yes","n","1","692","n","n","imitation"
"101","1","03-27-2017","formal",3,43,"T.bmp","Stranger","Sie","No","m","1","650","m","m","imitation"
"101","1","03-27-2017","formal",3,44,"T.bmp","Stranger","Freund","No","m","1","655","m","m","imitation"
"101","1","03-27-2017","formal",3,45,"S.bmp","Friend","Fremder","No","m","1","690","m","m","imitation"
"101","1","03-27-2017","formal",3,46,"S.bmp","Friend","Freund","Yes","n","1","476","n","n","imitation"
"101","1","03-27-2017","formal",3,47,"C.bmp","Self","Sie","Yes","n","1","511","n","n","imitation"
"101","1","03-27-2017","formal",3,48,"C.bmp","Self","Freund","No","m","1","766","m","m","imitation"
"101","1","03-27-2017","formal",3,49,"C.bmp","Self","Sie","Yes","n","1","582","n","n","imitation"
"101","1","03-27-2017","formal",3,50,"C.bmp","Self","Freund","No","m","1","554","m","m","imitation"
"101","1","03-27-2017","formal",3,51,"C.bmp","Self","Sie","Yes","n","1","652","n","n","imitation"
"101","1","03-27-2017","formal",3,52,"S.bmp","Friend","Sie","No","m","1","610","m","m","imitation"
"101","1","03-27-2017","formal",3,53,"T.bmp","Stranger","Fremder","Yes","n","1","536","n","n","imitation"
"101","1","03-27-2017","formal",3,54,"S.bmp","Friend","Freund","Yes","n","1","618","n","n","imitation"
"101","1","03-27-2017","formal",3,55,"T.bmp","Stranger","Freund","No","m","1","591","m","m","imitation"
"101","1","03-27-2017","formal",3,56,"S.bmp","Friend","Fremder","No","m","1","752","m","m","imitation"
"101","1","03-27-2017","formal",3,57,"T.bmp","Stranger","Fremder","Yes","n","1","803","n","n","imitation"
"101","1","03-27-2017","formal",3,58,"C.bmp","Self","Fremder","No","m","1","682","m","m","imitation"
"101","1","03-27-2017","formal",3,59,"S.bmp","Friend","Freund","Yes","n","1","624","n","n","imitation"
"101","1","03-27-2017","formal",3,60,"T.bmp","Stranger","Sie","No","m","1","534","m","m","imitation"
"101","1","03-27-2017","formal",4,1,"T.bmp","Stranger","Freund","No","m","1","573","m","m","imitation"
"101","1","03-27-2017","formal",4,2,"C.bmp","Self","Sie","Yes","n","1","467","n","n","imitation"
"101","1","03-27-2017","formal",4,3,"C.bmp","Self","Sie","Yes","n","1","550","n","n","imitation"
"101","1","03-27-2017","formal",4,4,"S.bmp","Friend","Sie","No","m","1","633","m","m","imitation"
"101","1","03-27-2017","formal",4,5,"T.bmp","Stranger","Fremder","Yes","n","1","591","n","n","imitation"
"101","1","03-27-2017","formal",4,6,"T.bmp","Stranger","Sie","No","m","1","579","m","m","imitation"
"101","1","03-27-2017","formal",4,7,"S.bmp","Friend","Freund","Yes","n","1","490","n","n","imitation"
"101","1","03-27-2017","formal",4,8,"C.bmp","Self","Fremder","No","m","1","664","m","m","imitation"
"101","1","03-27-2017","formal",4,9,"T.bmp","Stranger","Fremder","Yes","n","1","653","n","n","imitation"
"101","1","03-27-2017","formal",4,10,"S.bmp","Friend","Freund","Yes","n","1","703","n","n","imitation"
"101","1","03-27-2017","formal",4,11,"C.bmp","Self","Freund","No","m","0","426","n","m","imitation"
"101","1","03-27-2017","formal",4,12,"S.bmp","Friend","Fremder","No","m","1","991","m","m","imitation"
"101","1","03-27-2017","formal",4,13,"C.bmp","Self","Sie","Yes","n","1","464","n","n","imitation"
"101","1","03-27-2017","formal",4,14,"S.bmp","Friend","Freund","Yes","n","1","531","n","n","imitation"
"101","1","03-27-2017","formal",4,15,"S.bmp","Friend","Fremder","No","m","1","534","m","m","imitation"
"101","1","03-27-2017","formal",4,16,"T.bmp","Stranger","Fremder","Yes","n","1","649","n","n","imitation"
"101","1","03-27-2017","formal",4,17,"S.bmp","Friend","Freund","Yes","n","1","497","n","n","imitation"
"101","1","03-27-2017","formal",4,18,"C.bmp","Self","Freund","No","m","1","594","m","m","imitation"
"101","1","03-27-2017","formal",4,19,"S.bmp","Friend","Sie","No","m","1","582","m","m","imitation"
"101","1","03-27-2017","formal",4,20,"C.bmp","Self","Sie","Yes","n","1","400","n","n","imitation"
"101","1","03-27-2017","formal",4,21,"T.bmp","Stranger","Sie","No","m","1","576","m","m","imitation"
"101","1","03-27-2017","formal",4,22,"T.bmp","Stranger","Fremder","Yes","n","1","439","n","n","imitation"
"101","1","03-27-2017","formal",4,23,"C.bmp","Self","Fremder","No","m","1","537","m","m","imitation"
"101","1","03-27-2017","formal",4,24,"T.bmp","Stranger","Freund","No","m","0","416","n","m","imitation"
"101","1","03-27-2017","formal",4,25,"C.bmp","Self","Sie","Yes","n","1","483","n","n","imitation"
"101","1","03-27-2017","formal",4,26,"S.bmp","Friend","Freund","Yes","n","1","550","n","n","imitation"
"101","1","03-27-2017","formal",4,27,"C.bmp","Self","Fremder","No","m","1","601","m","m","imitation"
"101","1","03-27-2017","formal",4,28,"S.bmp","Friend","Freund","Yes","n","1","669","n","n","imitation"
"101","1","03-27-2017","formal",4,29,"T.bmp","Stranger","Sie","No","m","1","688","m","m","imitation"
"101","1","03-27-2017","formal",4,30,"S.bmp","Friend","Fremder","No","m","0","661","n","m","imitation"
"101","1","03-27-2017","formal",4,31,"T.bmp","Stranger","Freund","No","m","0","400","n","m","imitation"
"101","1","03-27-2017","formal",4,32,"S.bmp","Friend","Sie","No","m","0","498","n","m","imitation"
"101","1","03-27-2017","formal",4,33,"T.bmp","Stranger","Fremder","Yes","n","1","846","n","n","imitation"
"101","1","03-27-2017","formal",4,34,"C.bmp","Self","Freund","No","m","1","802","m","m","imitation"
"101","1","03-27-2017","formal",4,35,"T.bmp","Stranger","Fremder","Yes","n","1","619","n","n","imitation"
"101","1","03-27-2017","formal",4,36,"C.bmp","Self","Sie","Yes","n","1","483","n","n","imitation"
"101","1","03-27-2017","formal",4,37,"C.bmp","Self","Sie","Yes","n","0","0","","n","imitation"
"101","1","03-27-2017","formal",4,38,"S.bmp","Friend","Fremder","No","m","1","835","m","m","imitation"
"101","1","03-27-2017","formal",4,39,"T.bmp","Stranger","Fremder","Yes","n","1","558","n","n","imitation"
"101","1","03-27-2017","formal",4,40,"C.bmp","Self","Sie","Yes","n","1","453","n","n","imitation"
"101","1","03-27-2017","formal",4,41,"S.bmp","Friend","Sie","No","m","0","660","n","m","imitation"
"101","1","03-27-2017","formal",4,42,"S.bmp","Friend","Freund","Yes","n","1","649","n","n","imitation"
"101","1","03-27-2017","formal",4,43,"S.bmp","Friend","Freund","Yes","n","1","621","n","n","imitation"
"101","1","03-27-2017","formal",4,44,"T.bmp","Stranger","Sie","No","m","1","641","m","m","imitation"
"101","1","03-27-2017","formal",4,45,"C.bmp","Self","Freund","No","m","0","707","n","m","imitation"
"101","1","03-27-2017","formal",4,46,"T.bmp","Stranger","Freund","No","m","0","649","n","m","imitation"
"101","1","03-27-2017","formal",4,47,"T.bmp","Stranger","Fremder","Yes","n","0","997","m","n","imitation"
"101","1","03-27-2017","formal",4,48,"C.bmp","Self","Fremder","No","m","1","939","m","m","imitation"
"101","1","03-27-2017","formal",4,49,"C.bmp","Self","Sie","Yes","n","1","553","n","n","imitation"
"101","1","03-27-2017","formal",4,50,"C.bmp","Self","Freund","No","m","1","713","m","m","imitation"
"101","1","03-27-2017","formal",4,51,"S.bmp","Friend","Freund","Yes","n","1","593","n","n","imitation"
"101","1","03-27-2017","formal",4,52,"S.bmp","Friend","Fremder","No","m","1","675","m","m","imitation"
"101","1","03-27-2017","formal",4,53,"S.bmp","Friend","Freund","Yes","n","1","758","n","n","imitation"
"101","1","03-27-2017","formal",4,54,"T.bmp","Stranger","Fremder","Yes","n","1","746","n","n","imitation"
"101","1","03-27-2017","formal",4,55,"C.bmp","Self","Fremder","No","m","1","533","m","m","imitation"
"101","1","03-27-2017","formal",4,56,"T.bmp","Stranger","Freund","No","m","1","678","m","m","imitation"
"101","1","03-27-2017","formal",4,57,"S.bmp","Friend","Sie","No","m","1","932","m","m","imitation"
"101","1","03-27-2017","formal",4,58,"C.bmp","Self","Sie","Yes","n","1","484","n","n","imitation"
"101","1","03-27-2017","formal",4,59,"T.bmp","Stranger","Fremder","Yes","n","1","879","n","n","imitation"
"101","1","03-27-2017","formal",4,60,"T.bmp","Stranger","Sie","No","m","1","727","m","m","imitation"
"101","1","03-27-2017","formal",5,1,"C.bmp","Self","Sie","Yes","n","1","515","n","n","imitation"
"101","1","03-27-2017","formal",5,2,"T.bmp","Stranger","Fremder","Yes","n","1","644","n","n","imitation"
"101","1","03-27-2017","formal",5,3,"S.bmp","Friend","Freund","Yes","n","1","586","n","n","imitation"
"101","1","03-27-2017","formal",5,4,"T.bmp","Stranger","Fremder","Yes","n","1","575","n","n","imitation"
"101","1","03-27-2017","formal",5,5,"S.bmp","Friend","Sie","No","m","1","612","m","m","imitation"
"101","1","03-27-2017","formal",5,6,"T.bmp","Stranger","Sie","No","m","1","600","m","m","imitation"
"101","1","03-27-2017","formal",5,7,"S.bmp","Friend","Fremder","No","m","1","744","m","m","imitation"
"101","1","03-27-2017","formal",5,8,"C.bmp","Self","Sie","Yes","n","1","639","n","n","imitation"
"101","1","03-27-2017","formal",5,9,"C.bmp","Self","Freund","No","m","1","550","m","m","imitation"
"101","1","03-27-2017","formal",5,10,"T.bmp","Stranger","Freund","No","m","1","679","m","m","imitation"
"101","1","03-27-2017","formal",5,11,"S.bmp","Friend","Freund","Yes","n","1","621","n","n","imitation"
"101","1","03-27-2017","formal",5,12,"C.bmp","Self","Fremder","No","m","1","641","m","m","imitation"
"101","1","03-27-2017","formal",5,13,"C.bmp","Self","Fremder","No","m","1","583","m","m","imitation"
"101","1","03-27-2017","formal",5,14,"C.bmp","Self","Sie","Yes","n","1","509","n","n","imitation"
"101","1","03-27-2017","formal",5,15,"T.bmp","Stranger","Fremder","Yes","n","1","576","n","n","imitation"
