"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education","Group"
112,"Orellana-Corrales_2023_QJEP_Exp1",30,"female","left","/","/","Germany","German","/","new (shapes)"
113,"Orellana-Corrales_2023_QJEP_Exp1",30,"male","right","/","/","Germany","German","/","new (shapes)"
114,"Orellana-Corrales_2023_QJEP_Exp1",36,"male","right","/","/","Germany","German","/","new (shapes)"
115,"Orellana-Corrales_2023_QJEP_Exp1",23,"female","right","/","/","Germany","German","/","new (shapes)"
116,"Orellana-Corrales_2023_QJEP_Exp1",19,"male","right","/","/","Germany","German","/","new (shapes)"
117,"Orellana-Corrales_2023_QJEP_Exp1",40,"male","right","/","/","Germany","German","/","new (shapes)"
118,"Orellana-Corrales_2023_QJEP_Exp1",20,"male","right","/","/","Germany","German","/","new (shapes)"
119,"Orellana-Corrales_2023_QJEP_Exp1",59,"female","both","/","/","Germany","German","/","new (shapes)"
120,"Orellana-Corrales_2023_QJEP_Exp1",38,"female","right","/","/","Germany","German","/","new (shapes)"
121,"Orellana-Corrales_2023_QJEP_Exp1",NA,"male","left","/","/","Germany","German","/","new (shapes)"
122,"Orellana-Corrales_2023_QJEP_Exp1",35,"male","right","/","/","Germany","German","/","new (shapes)"
123,"Orellana-Corrales_2023_QJEP_Exp1",26,"female","right","/","/","Germany","German","/","new (shapes)"
124,"Orellana-Corrales_2023_QJEP_Exp1",49,"female","right","/","/","Germany","German","/","new (shapes)"
125,"Orellana-Corrales_2023_QJEP_Exp1",30,"female","right","/","/","Germany","German","/","new (shapes)"
126,"Orellana-Corrales_2023_QJEP_Exp1",33,"male","right","/","/","Germany","German","/","new (shapes)"
127,"Orellana-Corrales_2023_QJEP_Exp1",23,"male","right","/","/","Germany","German","/","new (shapes)"
128,"Orellana-Corrales_2023_QJEP_Exp1",36,"male","left","/","/","Germany","German","/","new (shapes)"
129,"Orellana-Corrales_2023_QJEP_Exp1",18,"male","right","/","/","Germany","German","/","new (shapes)"
130,"Orellana-Corrales_2023_QJEP_Exp1",23,"male","right","/","/","Germany","German","/","new (shapes)"
131,"Orellana-Corrales_2023_QJEP_Exp1",43,"male","right","/","/","Germany","German","/","new (shapes)"
132,"Orellana-Corrales_2023_QJEP_Exp1",30,"male","right","/","/","Germany","German","/","new (shapes)"
133,"Orellana-Corrales_2023_QJEP_Exp1",32,"female","right","/","/","Germany","German","/","new (shapes)"
134,"Orellana-Corrales_2023_QJEP_Exp1",22,"male","right","/","/","Germany","German","/","new (shapes)"
135,"Orellana-Corrales_2023_QJEP_Exp1",26,"male","right","/","/","Germany","German","/","new (shapes)"
136,"Orellana-Corrales_2023_QJEP_Exp1",28,"female","right","/","/","Germany","German","/","new (shapes)"
