"Subject","Block","Trial","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
180,2,20,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,611,0.611,0
180,2,21,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,483,0.483,1
180,2,22,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,396,0.396,1
180,2,23,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,636,0.636,1
180,2,24,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,716,0.716,0
180,2,25,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",NA,0,0,0
180,2,26,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,716,0.716,1
180,2,27,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,700,0.7,1
180,2,28,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,684,0.684,1
180,2,29,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",2,709,0.709,0
180,2,30,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,613,0.613,1
180,2,31,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,853,0.853,0
180,2,32,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,549,0.549,1
180,3,33,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,405,0.405,1
180,3,34,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,748,0.748,1
180,3,35,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",2,494,0.494,0
180,3,36,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",1,695,0.695,1
180,3,37,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,799,0.799,1
180,3,38,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,735,0.735,1
180,3,39,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,407,0.407,0
180,3,40,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,535,0.535,1
180,3,41,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",2,376,0.376,0
180,3,42,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,904,0.904,1
180,3,43,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,496,0.496,1
180,3,44,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,672,0.672,1
180,3,45,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",NA,0,0,0
180,3,46,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,616,0.616,1
180,3,47,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,552,0.552,1
180,3,48,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,474,0.474,1
180,4,49,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",NA,0,0,0
180,4,50,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,510,0.51,1
180,4,51,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,326,0.326,1
180,4,52,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,702,0.702,1
180,4,53,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,366,0.366,1
180,4,54,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",2,342,0.342,0
180,4,55,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",NA,0,0,0
180,4,56,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,519,0.519,1
180,4,57,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,383,0.383,1
180,4,58,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,694,0.694,1
180,4,59,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",1,631,0.631,1
180,4,60,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,518,0.518,1
180,4,61,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,694,0.694,0
180,4,62,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,494,0.494,1
180,4,63,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,639,0.639,1
180,4,64,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",2,431,0.431,0
180,5,65,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,472,0.472,1
180,5,66,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,567,0.567,1
180,5,67,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,687,0.687,1
180,5,68,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,847,0.847,1
180,5,69,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,825,0.825,1
180,5,70,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,506,0.506,1
180,5,71,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,842,0.842,1
180,5,72,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,402,0.402,1
180,5,73,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",2,546,0.546,0
180,5,74,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",2,434,0.434,0
180,5,75,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,579,0.579,1
180,5,76,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,499,0.499,1
180,5,77,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,683,0.683,1
180,5,78,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",1,715,0.715,1
180,5,79,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,763,0.763,1
180,5,80,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,555,0.555,1
180,6,81,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,595,0.595,1
180,6,82,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,381,0.381,1
180,6,83,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,662,0.662,1
180,6,84,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,758,0.758,1
180,6,85,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,846,0.846,1
180,6,86,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,502,0.502,1
180,6,87,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,669,0.669,1
180,6,88,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,430,0.43,0
