"Subject","Trial","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC","Face"
"1","28","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","561","0.561","1","f18"
"1","29","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","left","620","0.62","0","f15"
"1","30","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","762","0.762","1","f4"
"1","31","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","815","0.815","1","m33"
"1","32","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","849","0.849","1","f15"
"1","33","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","left","910","0.91","0","m38"
"1","34","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","987","0.987","1","f15"
"1","35","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","787","0.787","1","m35"
"1","36","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","607","0.607","1","f4"
"1","37","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","right","565","0.565","0","f27"
"1","38","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","857","0.857","1","m34"
"1","39","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","left","599","0.599","0","m34"
"1","40","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","824","0.824","1","f4"
"1","41","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","760","0.76","1","f18"
"1","42","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1026","1.026","1","f27"
"1","43","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","579","0.579","1","f15"
"1","44","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","left","708","0.708","1","m34"
"1","45","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","842","0.842","1","f4"
"1","46","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","655","0.655","1","m34"
"1","47","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","right","533","0.533","0","m38"
"1","48","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1099","1.099","1","m38"
"1","49","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","1270","1.27","1","f18"
"1","50","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","right","748","0.748","0","m35"
"1","51","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","left","896","0.896","0","m33"
"1","52","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","907","0.907","1","f4"
"1","53","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","left","808","0.808","1","f18"
"1","54","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","410","0.41","1","f18"
"1","55","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","left","855","0.855","1","m35"
"1","56","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","left","943","0.943","0","m38"
"1","57","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","878","0.878","1","f4"
"1","58","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","704","0.704","1","f15"
"1","59","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","right","1334","1.334","0","f27"
"1","60","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","910","0.91","1","f18"
"1","61","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","1336","1.336","1","m38"
"1","62","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","792","0.792","1","f27"
"1","63","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","512","0.512","1","m38"
"1","64","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","866","0.866","1","f4"
"2","1","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","right","5409.5","5.4095","0","f27"
"2","2","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","653","0.653","1","f15"
"2","3","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","2422.6","2.4226","1","m35"
"2","4","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","2480.5","2.4805","1","f15"
"2","5","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1225","1.225","1","m35"
"2","6","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1454.8","1.4548","1","f15"
"2","7","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","1329.1","1.3291","1","f27"
"2","8","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1247.4","1.2474","1","m34"
"2","9","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","left","1086.4","1.0864","1","m38"
"2","10","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","879.6","0.8796","1","m35"
"2","11","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","936.1","0.9361","1","f18"
"2","12","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","2180.1","2.1801","1","f15"
"2","13","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","left","1049.3","1.0493","1","f27"
"2","14","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","1301.6","1.3016","1","f15"
"2","15","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","left","1065.8","1.0658","1","m33"
"2","16","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","714","0.714","1","m38"
"2","17","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","1465.4","1.4654","1","m33"
"2","18","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","707.5","0.7075","1","m38"
"2","19","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","1018.9","1.0189","1","m33"
"2","20","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","left","2142.4","2.1424","1","m33"
"2","21","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","2058.5","2.0585","1","f27"
"2","22","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","right","947.8000001","0.9478000001","0","f4"
"2","23","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","1217.2","1.2172","1","m35"
"2","24","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","2230.3","2.2303","1","m35"
"2","25","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","1587.4","1.5874","1","f27"
"2","26","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","2917.2","2.9172","1","m34"
"2","27","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","1599.2","1.5992","1","f18"
"2","28","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","1311.5","1.3115","1","f27"
"2","29","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","3680","3.68","1","m34"
"2","30","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","left","1749.4","1.7494","0","f15"
"2","31","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","right","1281.4","1.2814","0","f15"
"2","32","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","right","1867.2","1.8672","0","f15"
"2","33","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","3321.5","3.3215","1","m38"
"2","34","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","2602.8","2.6028","1","m38"
"2","35","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","right","2660.4","2.6604","0","f18"
"2","36","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","7439.1","7.4391","1","m38"
"2","37","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","2548.7","2.5487","1","f18"
"2","38","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","left","2353.8","2.3538","0","f4"
"2","39","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","left","2769.7","2.7697","1","f4"
"2","40","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","2039.9","2.0399","1","f27"
"2","41","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1152","1.152","1","m35"
"2","42","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","right","1519.9","1.5199","0","f4"
"2","43","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","950.7","0.9507","1","m35"
"2","44","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1869.5","1.8695","1","f18"
"2","45","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","914.6999999","0.9146999999","1","f18"
"2","46","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","1804.7","1.8047","1","f18"
"2","47","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","right","864.8000001","0.8648000001","0","f4"
"2","48","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","left","2792.1","2.7921","0","f4"
"2","49","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","1363.4","1.3634","1","m33"
"2","50","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1214.6","1.2146","1","m34"
"2","51","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","842.3000001","0.8423000001","1","m34"
"2","52","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","604.6999999","0.6046999999","1","m33"
"2","53","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","1910.9","1.9109","1","f4"
"2","54","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","664.6999999","0.6646999999","1","f27"
"2","55","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","1666.6","1.6666","1","m33"
"2","56","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","2251.4","2.2514","1","m34"
"2","57","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","left","2284.9","2.2849","0","f18"
"2","58","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","1300.1","1.3001","1","m33"
"2","59","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","left","1007.6","1.0076","1","m38"
"2","60","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","2421.7","2.4217","1","m34"
"2","61","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","1503.9","1.5039","1","f4"
"2","62","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","1659.6","1.6596","1","m35"
"2","63","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","833.1","0.8331","1","m34"
"2","64","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","640.6","0.6406","1","m38"
"3","1","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","right","1211.5","1.2115","0","f15"
"3","2","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1598.4","1.5984","1","f27"
"3","3","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","2570","2.57","1","m35"
"3","4","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","1603.9","1.6039","1","f15"
"3","5","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1226.9","1.2269","1","m38"
"3","6","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1930","1.93","1","m33"
"3","7","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","right","1415.4","1.4154","0","m34"
"3","8","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","left","1179","1.179","1","m34"
"3","9","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","right","1367.1","1.3671","0","m38"
"3","10","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","783.2","0.7832","1","f18"
"3","11","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","2294.6","2.2946","1","m33"
"3","12","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1685.8","1.6858","1","f27"
"3","13","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","1393.2","1.3932","1","f27"
"3","14","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","left","1121.8","1.1218","0","m33"
"3","15","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","1060.7","1.0607","1","f15"
"3","16","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","929.5","0.9295","1","f15"
"3","17","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1074.2","1.0742","1","f27"
"3","18","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","right","1069.4","1.0694","0","m35"
"3","19","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","1881.2","1.8812","1","f15"
"3","20","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","964.1","0.9641","1","f27"
"3","21","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","left","877.2","0.8772","0","f18"
"3","22","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","left","885.6","0.8856","0","m38"
"3","23","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","470.2","0.4702","1","f15"
"3","24","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","left","451.4","0.4514","0","f18"
"3","25","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","left","1544.1","1.5441","0","m38"
"3","26","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","871.8","0.8718","1","f18"
"3","27","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","1939.1","1.9391","1","f15"
"3","28","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","610.9","0.6109","1","m38"
"3","29","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","left","863","0.863","0","m34"
"3","30","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","right","852.3","0.8523","0","f4"
"3","31","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","1977.6","1.9776","1","f27"
"3","32","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","left","1301.9","1.3019","1","m35"
"3","33","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","right","1797.5","1.7975","0","f18"
"3","34","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","left","684","0.684","0","m38"
"3","35","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","left","709.2","0.7092","0","m35"
"3","36","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","right","864.9","0.8649","0","f18"
"3","37","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","left","1017.8","1.0178","0","m34"
"3","38","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","1062.2","1.0622","1","f4"
"3","39","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","1446.1","1.4461","1","f4"
"3","40","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","853.8","0.8538","1","f4"
"3","41","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","left","2261.3","2.2613","0","m34"
"3","42","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","1223.3","1.2233","1","m33"
"3","43","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","489.4","0.4894","1","m34"
"3","44","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","7113.5","7.1135","1","m35"
"3","45","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","1024.1","1.0241","1","m33"
"3","46","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","right","1374.6","1.3746","0","m34"
"3","47","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","right","992.7","0.9927","0","f18"
"3","48","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","1221.7","1.2217","1","f27"
"3","49","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1081.2","1.0812","1","m33"
"3","50","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","left","2045.4","2.0454","0","f4"
"3","51","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","693.3","0.6933","1","f18"
"3","52","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","480.2","0.4802","1","f27"
"3","53","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1144","1.144","1","f4"
"3","54","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","502.3","0.5023","1","f4"
"3","55","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","left","507.6","0.5076","1","m38"
"3","56","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","right","394.2","0.3942","0","m38"
"3","57","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","left","737.1","0.7371","0","m35"
"3","58","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","415.8","0.4158","1","m33"
"3","59","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","466.5","0.4665","1","m35"
"3","60","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","450","0.45","1","m35"
"3","61","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","411.5","0.4115","1","m33"
"3","62","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","2022.6","2.0226","1","f4"
"3","63","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","left","805.4","0.8054","1","f15"
"3","64","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","left","1447.7","1.4477","0","m34"
"4","1","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","right","693","0.693","0","m33"
"4","2","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1754","1.754","1","m38"
"4","3","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","right","282","0.282","0","m33"
"4","4","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","right","61","0.061","0","m38"
"4","5","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","left","237","0.237","0","m38"
"4","6","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","left","2257","2.257","0","f27"
"4","7","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","right","260","0.26","0","f15"
"4","8","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","right","269","0.269","0","f18"
"4","9","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","left","368","0.368","0","f4"
"4","10","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","778","0.778","1","m35"
"4","11","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","left","352","0.352","1","m35"
"4","12","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","487","0.487","1","f15"
"4","13","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","left","348","0.348","1","f15"
"4","14","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","624","0.624","1","f27"
"4","15","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","569","0.569","1","f18"
"4","16","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","right","624","0.624","0","m35"
"4","17","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","503","0.503","1","m35"
"4","18","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","434","0.434","1","f27"
"4","19","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","852","0.852","1","m33"
"4","20","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","left","804","0.804","0","f4"
"4","21","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","left","559","0.559","0","m34"
"4","22","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","right","453","0.453","0","f18"
"4","23","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","591","0.591","1","f18"
"4","24","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","right","676","0.676","0","m34"
"4","25","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","546","0.546","1","m34"
"4","26","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","565","0.565","1","f15"
"4","27","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","500","0.5","1","m34"
"4","28","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","right","416","0.416","0","m38"
"4","29","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","570","0.57","1","m33"
"4","30","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1726","1.726","1","m38"
"4","31","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","470","0.47","1","f4"
"4","32","Me","self-matching","Matching","Self","Self","Self","User","Self","Self","right","1659","1.659","1","m34"
"4","33","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","left","688","0.688","0","f27"
"4","34","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","right","2756","2.756","0","m34"
"4","35","Me","self-matching","Nonmatching","Self","Self","Self","User","Self","Self","right","436","0.436","1","f15"
"4","36","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","User","Self","Self","left","767","0.767","1","m34"
"4","37","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","right","518","0.518","0","f4"
"4","38","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","625","0.625","1","f4"
"4","39","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","1842","1.842","1","f27"
"4","40","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","403","0.403","1","m33"
"4","41","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Other","Stranger","Stranger","right","384","0.384","1","f27"
"4","42","Me","self-matching","Matching","Self","Self","Self","Other","Stranger","Stranger","right","1246","1.246","0","f4"
"4","43","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","right","707","0.707","0","m34"
"4","44","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","User","Self","Self","right","3772","3.772","0","m35"
"4","45","Me","self-matching","Nonmatching","Self","Self","Self","Other","Stranger","Stranger","left","744","0.744","1","m38"
