"Subject","phase","condition","label","shape","correct","match","label_identity","shape_identity","group","key_resp.keys","key_resp.corr","key_resp.rt","key_resp_formal.keys","key_resp_formal.corr","key_resp_formal.rt","ID","age","sex","date","expName","psychopyVersion","frameRate"
"101","formal","2B","other","circle.png","z",0,3,1,4,NA,NA,NA,"z",1,0.4540923,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.8559556,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"z",0,0.3602557,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.5643331,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","triangle.png","z",0,3,2,4,NA,NA,NA,"z",1,0.4578072,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"z",0,0.4338307,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.5062715,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"m",1,0.2817627,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","circle.png","z",0,3,1,4,NA,NA,NA,"z",1,0.3054696,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"z",0,0.6075736,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","circle.png","z",0,3,1,4,NA,NA,NA,"z",1,0.3775931,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"z",0,0.5649015,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","circle.png","z",0,3,1,4,NA,NA,NA,"z",1,0.4496568,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","rectangle.png","z",0,1,3,4,NA,NA,NA,"m",0,0.4664213,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","rectangle.png","z",0,2,3,4,NA,NA,NA,"m",0,0.7786596,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","circle.png","z",0,3,1,4,NA,NA,NA,NA,0,NA,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"m",1,0.3736894,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","circle.png","z",0,2,1,4,NA,NA,NA,"z",1,0.3701405,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.5098933,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.5964311,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","triangle.png","z",0,1,2,4,NA,NA,NA,"z",1,0.6400367,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"m",1,0.7530999,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","circle.png","z",0,3,1,4,NA,NA,NA,"z",1,0.5583532,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","circle.png","z",0,2,1,4,NA,NA,NA,"z",1,0.7387443,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","rectangle.png","z",0,2,3,4,NA,NA,NA,"z",1,0.3437461,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"m",1,0.5895434,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.6491205,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","triangle.png","z",0,1,2,4,NA,NA,NA,"z",1,0.6585194,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","rectangle.png","z",0,2,3,4,NA,NA,NA,"z",1,0.6673105,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","triangle.png","z",0,3,2,4,NA,NA,NA,"m",0,0.4505169,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","circle.png","z",0,3,1,4,NA,NA,NA,"m",0,0.4992479,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"m",1,0.6907045,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"z",0,0.4182405,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","rectangle.png","z",0,2,3,4,NA,NA,NA,"z",1,0.5567015,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","circle.png","z",0,3,1,4,NA,NA,NA,"z",1,1.0330039,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.4431305,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","rectangle.png","z",0,2,3,4,NA,NA,NA,"z",1,0.5560654,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.5451309,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,1.0549331,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"m",1,0.7354017,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","rectangle.png","z",0,2,3,4,NA,NA,NA,"z",1,0.581255,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","triangle.png","z",0,3,2,4,NA,NA,NA,"z",1,0.5768032,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","circle.png","z",0,2,1,4,NA,NA,NA,"z",1,0.7165304,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"m",1,0.7071917,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.5783338,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"m",1,0.5977484,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"m",1,0.3695929,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","rectangle.png","z",0,1,3,4,NA,NA,NA,"z",1,0.2852352,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","circle.png","z",0,3,1,4,NA,NA,NA,"z",1,0.8057628,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","rectangle.png","z",0,1,3,4,NA,NA,NA,"m",0,0.8053207,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","triangle.png","z",0,1,2,4,NA,NA,NA,"z",1,0.5037163,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","rectangle.png","z",0,1,3,4,NA,NA,NA,"z",1,0.4465054,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","circle.png","z",0,3,1,4,NA,NA,NA,"z",1,0.6886954,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","rectangle.png","z",0,2,3,4,NA,NA,NA,"z",1,0.6153824,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.38569,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.516785,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","rectangle.png","z",0,2,3,4,NA,NA,NA,"z",1,0.5392325,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.5291813,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"m",1,0.6395165,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"m",1,0.3284217,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"m",1,0.5997863,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"m",1,0.4254278,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"m",1,0.7240296,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"z",0,0.5537164,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","triangle.png","z",0,1,2,4,NA,NA,NA,"m",0,0.5253276,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"m",1,0.5957879,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","triangle.png","z",0,1,2,4,NA,NA,NA,"z",1,0.5029559,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","triangle.png","z",0,1,2,4,NA,NA,NA,"z",1,0.4608662,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.8624854,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","triangle.png","z",0,1,2,4,NA,NA,NA,"z",1,0.6545948,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"m",1,0.7352594,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","triangle.png","z",0,1,2,4,NA,NA,NA,"z",1,0.7085003,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","rectangle.png","z",0,1,3,4,NA,NA,NA,"m",0,0.6044628,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"m",1,0.3816604,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"z",0,0.3374625,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","rectangle.png","z",0,1,3,4,NA,NA,NA,"m",0,0.3582468,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.5235582,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","circle.png","z",0,3,1,4,NA,NA,NA,"z",1,0.8814146,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","circle.png","z",0,3,1,4,NA,NA,NA,"z",1,1.0009796,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.3960349,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","rectangle.png","z",0,2,3,4,NA,NA,NA,"z",1,0.7193525,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"m",1,0.5242367,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
