"Subject","Block","Trial","Matching","Shape","Shape_Subtype","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Label","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","RT_ms","RT_sec","ACC"
2001,1,55,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",442,0.442,1
2001,1,56,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",652,0.652,1
2001,1,57,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",427,0.427,1
2001,1,58,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",450,0.45,1
2001,1,59,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",667,0.667,1
2001,1,60,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",492,0.492,1
2001,1,61,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",638,0.638,1
2001,1,62,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",507,0.507,1
2001,1,63,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",678,0.678,1
2001,1,64,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",539,0.539,1
2001,1,65,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",416,0.416,1
2001,1,66,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",761,0.761,1
2001,1,67,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",549,0.549,1
2001,1,68,"Nonmatching","shape1.jpg","F","Self","Self","Self","Stranger","Stranger","Stranger","Stranger",577,0.577,1
2001,1,69,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",631,0.631,1
2001,1,70,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",377,0.377,1
2001,1,71,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",629,0.629,1
2001,1,72,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",454,0.454,1
2001,1,73,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",349,0.349,1
2001,1,74,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",360,0.36,1
2001,1,75,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",468,0.468,1
2001,1,76,"Nonmatching","shape1.jpg","F","Self","Self","Self","Stranger","Stranger","Stranger","Stranger",641,0.641,1
2001,1,77,"Nonmatching","shape1.jpg","F","Self","Self","Self","Stranger","Stranger","Stranger","Stranger",591,0.591,1
2001,1,78,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",445,0.445,1
2001,1,79,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",499,0.499,1
2001,1,80,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",508,0.508,1
2001,1,81,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",491,0.491,1
2001,1,82,"Nonmatching","shape1.jpg","F","Self","Self","Self","Stranger","Stranger","Stranger","Stranger",459,0.459,1
2001,1,83,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",353,0.353,1
2001,1,84,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",423,0.423,1
2001,2,1,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",659,0.659,1
2001,2,2,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",358,0.358,1
2001,2,3,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",426,0.426,0
2001,2,4,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",568,0.568,1
2001,2,5,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",567,0.567,1
2001,2,6,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",536,0.536,1
2001,2,7,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",428,0.428,1
2001,2,8,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",507,0.507,1
2001,2,9,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",460,0.46,1
2001,2,10,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",576,0.576,1
2001,2,11,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",520,0.52,1
2001,2,12,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",684,0.684,1
2001,2,13,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",474,0.474,1
2001,2,14,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",787,0.787,1
2001,2,15,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",428,0.428,1
2001,2,16,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",536,0.536,1
2001,2,17,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",556,0.556,1
2001,2,18,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",618,0.618,1
2001,2,19,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",422,0.422,1
2001,2,20,"Nonmatching","shape1.jpg","F","Self","Self","Self","Stranger","Stranger","Stranger","Stranger",558,0.558,1
2001,2,21,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",388,0.388,1
2001,2,22,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",685,0.685,1
2001,2,23,"Nonmatching","shape1.jpg","F","Self","Self","Self","Stranger","Stranger","Stranger","Stranger",509,0.509,1
2001,2,24,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",471,0.471,1
2001,2,25,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",520,0.52,1
2001,2,26,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",522,0.522,1
2001,2,27,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",347,0.347,1
2001,2,28,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",660,0.66,1
2001,2,29,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",458,0.458,1
2001,2,30,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",485,0.485,1
2001,2,31,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",358,0.358,1
2001,2,32,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",459,0.459,1
2001,2,33,"Nonmatching","shape1.jpg","F","Self","Self","Self","Stranger","Stranger","Stranger","Stranger",467,0.467,1
2001,2,34,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",473,0.473,1
2001,2,35,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",407,0.407,1
2001,2,36,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",472,0.472,1
2001,2,37,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",477,0.477,1
2001,2,38,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",440,0.44,1
2001,2,39,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",403,0.403,1
2001,2,40,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",346,0.346,1
2001,2,41,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",437,0.437,1
2001,2,42,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",495,0.495,1
2001,2,43,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",481,0.481,1
2001,2,44,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",579,0.579,1
2001,2,45,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",457,0.457,1
2001,2,46,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",401,0.401,1
2001,2,47,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",527,0.527,1
2001,2,48,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",517,0.517,1
2001,2,49,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",527,0.527,1
2001,2,50,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",407,0.407,1
2001,2,51,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",592,0.592,1
2001,2,52,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",442,0.442,1
2001,2,53,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",549,0.549,1
2001,2,54,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",384,0.384,1
2001,2,55,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",451,0.451,1
2001,2,56,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",405,0.405,1
2001,2,57,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",342,0.342,1
2001,2,58,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",603,0.603,1
2001,2,59,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",378,0.378,1
2001,2,60,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",433,0.433,1
2001,2,61,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",338,0.338,1
2001,2,62,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",323,0.323,1
2001,2,63,"Nonmatching","shape1.jpg","F","Self","Self","Self","Stranger","Stranger","Stranger","Stranger",559,0.559,1
2001,2,64,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",600,0.6,1
2001,2,65,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",342,0.342,1
2001,2,66,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",309,0.309,1
2001,2,67,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",461,0.461,1
2001,2,68,"Nonmatching","shape1.jpg","F","Self","Self","Self","Stranger","Stranger","Stranger","Stranger",634,0.634,1
2001,2,69,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",411,0.411,1
2001,2,70,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",495,0.495,1
2001,2,71,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",489,0.489,1
2001,2,72,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",558,0.558,1
2001,2,73,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",556,0.556,1
2001,2,74,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",420,0.42,1
2001,2,75,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",745,0.745,1
2001,2,76,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",610,0.61,1
2001,2,77,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",626,0.626,1
2001,2,78,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",447,0.447,1
2001,2,79,"Nonmatching","shape1.jpg","F","Self","Self","Self","Stranger","Stranger","Stranger","Stranger",635,0.635,1
2001,2,80,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",416,0.416,1
2001,2,81,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",387,0.387,1
2001,2,82,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",484,0.484,1
2001,2,83,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",548,0.548,1
2001,2,84,"Nonmatching","shape1.jpg","F","Self","Self","Self","Stranger","Stranger","Stranger","Stranger",588,0.588,1
2001,3,1,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",397,0.397,1
2001,3,2,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",381,0.381,1
2001,3,3,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",340,0.34,0
2001,3,4,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",564,0.564,1
2001,3,5,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",572,0.572,1
2001,3,6,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",358,0.358,1
2001,3,7,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",592,0.592,1
2001,3,8,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",433,0.433,1
2001,3,9,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",409,0.409,1
2001,3,10,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",428,0.428,1
2001,3,11,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",378,0.378,1
2001,3,12,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",605,0.605,1
2001,3,13,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",318,0.318,1
2001,3,14,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",678,0.678,1
2001,3,15,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",632,0.632,1
2001,3,16,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",497,0.497,1
2001,3,17,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",452,0.452,1
2001,3,18,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",629,0.629,1
2001,3,19,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",540,0.54,1
2001,3,20,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",406,0.406,1
2001,3,21,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",540,0.54,1
2001,3,22,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",583,0.583,1
2001,3,23,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",506,0.506,1
2001,3,24,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",459,0.459,1
2001,3,25,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",429,0.429,1
2001,3,26,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",399,0.399,1
2001,3,27,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",367,0.367,1
2001,3,28,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",348,0.348,1
2001,3,29,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",440,0.44,1
2001,3,30,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",781,0.781,1
2001,3,31,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",556,0.556,1
2001,3,32,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",635,0.635,1
2001,3,33,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",697,0.697,1
2001,3,34,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",889,0.889,1
2001,3,35,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",584,0.584,1
2001,3,36,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",455,0.455,1
2001,3,37,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",588,0.588,1
2001,3,38,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",585,0.585,1
2001,3,39,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",476,0.476,1
2001,3,40,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",374,0.374,1
2001,3,41,"Nonmatching","shape1.jpg","F","Self","Self","Self","Stranger","Stranger","Stranger","Stranger",503,0.503,1
2001,3,42,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",338,0.338,1
2001,3,43,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",621,0.621,1
2001,3,44,"Nonmatching","shape1.jpg","F","Self","Self","Self","Stranger","Stranger","Stranger","Stranger",1433,1.433,1
2001,3,45,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",518,0.518,1
2001,3,46,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",618,0.618,1
2001,3,47,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",403,0.403,1
2001,3,48,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",513,0.513,1
2001,3,49,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",479,0.479,1
2001,3,50,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",359,0.359,1
2001,3,51,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","You","Self","Self","Self",619,0.619,1
2001,3,52,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",543,0.543,1
2001,3,53,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",482,0.482,1
2001,3,54,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",855,0.855,1
2001,3,55,"Nonmatching","shape1.jpg","F","Self","Self","Self","Friend","Friend","Friend","Close",891,0.891,1
2001,3,56,"Matching","shape3.jpg","F","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger",481,0.481,1
2001,3,57,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",499,0.499,1
2001,3,58,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",595,0.595,1
2001,3,59,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",507,0.507,1
2001,3,60,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",481,0.481,1
2001,3,61,"Matching","shape2.jpg","F","Friend","Friend","Close","Friend","Friend","Friend","Close",339,0.339,1
2001,3,62,"Nonmatching","shape1.jpg","F","Self","Self","Self","Stranger","Stranger","Stranger","Stranger",794,0.794,1
2001,3,63,"Nonmatching","shape3.jpg","F","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close",455,0.455,1
2001,3,64,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",539,0.539,1
2001,3,65,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger",528,0.528,1
2001,3,66,"Nonmatching","shape2.jpg","F","Friend","Friend","Close","You","Self","Self","Self",459,0.459,1
2001,3,67,"Matching","shape1.jpg","F","Self","Self","Self","You","Self","Self","Self",483,0.483,1
