"Subject","Block","Trial","Matching","Shape","Shape_Subtype","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Label","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
1001,1,22,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",567,0.567,1
1001,1,23,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",347,0.347,1
1001,1,24,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",506,0.506,1
1001,1,25,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",499,0.499,1
1001,1,26,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",379,0.379,1
1001,1,27,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",416,0.416,1
1001,1,28,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",427,0.427,1
1001,1,29,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",453,0.453,1
1001,1,30,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",471,0.471,1
1001,1,31,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",524,0.524,1
1001,1,32,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",358,0.358,1
1001,1,33,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","m",436,0.436,1
1001,1,34,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",662,0.662,1
1001,1,35,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",406,0.406,1
1001,1,36,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",409,0.409,1
1001,1,37,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",504,0.504,1
1001,1,38,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",765,0.765,1
1001,1,39,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",350,0.35,1
1001,1,40,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",380,0.38,1
1001,1,41,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",548,0.548,1
1001,1,42,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",535,0.535,1
1001,1,43,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",444,0.444,1
1001,1,44,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",339,0.339,1
1001,1,45,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",373,0.373,1
1001,1,46,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",418,0.418,1
1001,1,47,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",432,0.432,1
1001,1,48,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",842,0.842,1
1001,1,49,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",364,0.364,1
1001,1,50,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",423,0.423,1
1001,1,51,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",495,0.495,1
1001,1,52,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",345,0.345,1
1001,1,53,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",459,0.459,1
1001,1,54,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","m",409,0.409,1
1001,1,55,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",503,0.503,1
1001,1,56,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",399,0.399,1
1001,1,57,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","m",450,0.45,1
1001,1,58,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",539,0.539,1
1001,1,59,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",592,0.592,1
1001,1,60,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",459,0.459,1
1001,1,61,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",430,0.43,1
1001,1,62,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",406,0.406,1
1001,1,63,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",374,0.374,1
1001,1,64,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",377,0.377,1
1001,1,65,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",682,0.682,1
1001,1,66,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","m",975,0.975,1
1001,1,67,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",494,0.494,1
1001,1,68,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",359,0.359,1
1001,1,69,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",643,0.643,1
1001,1,70,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",475,0.475,1
1001,1,71,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",435,0.435,1
1001,1,72,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",403,0.403,1
1001,1,73,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",445,0.445,1
1001,1,74,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",483,0.483,1
1001,1,75,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",658,0.658,1
1001,1,76,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",399,0.399,1
1001,1,77,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",364,0.364,1
1001,1,78,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",377,0.377,1
1001,1,79,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",443,0.443,1
1001,1,80,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","m",499,0.499,1
1001,1,81,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",629,0.629,1
1001,1,82,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",426,0.426,1
1001,1,83,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",362,0.362,1
1001,1,84,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",459,0.459,1
1001,2,1,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",584,0.584,1
1001,2,2,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",576,0.576,1
1001,2,3,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",393,0.393,1
1001,2,4,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",496,0.496,1
1001,2,5,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","m",439,0.439,1
1001,2,6,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",551,0.551,1
1001,2,7,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",422,0.422,1
1001,2,8,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","m",535,0.535,1
1001,2,9,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",589,0.589,1
1001,2,10,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",411,0.411,1
1001,2,11,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",461,0.461,1
1001,2,12,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",449,0.449,1
1001,2,13,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",479,0.479,1
1001,2,14,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",663,0.663,1
1001,2,15,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",652,0.652,1
1001,2,16,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",524,0.524,1
1001,2,17,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",584,0.584,1
1001,2,18,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",378,0.378,1
1001,2,19,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",474,0.474,1
1001,2,20,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",421,0.421,1
1001,2,21,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","m",492,0.492,1
1001,2,22,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","m",409,0.409,1
1001,2,23,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",454,0.454,1
1001,2,24,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",553,0.553,1
1001,2,25,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",340,0.34,1
1001,2,26,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",501,0.501,1
1001,2,27,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",426,0.426,1
1001,2,28,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",575,0.575,1
1001,2,29,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",547,0.547,1
1001,2,30,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",560,0.56,1
1001,2,31,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",535,0.535,1
1001,2,32,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",801,0.801,1
1001,2,33,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",554,0.554,1
1001,2,34,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",412,0.412,1
1001,2,35,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",494,0.494,1
1001,2,36,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",452,0.452,1
1001,2,37,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",358,0.358,1
1001,2,38,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",466,0.466,1
1001,2,39,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",648,0.648,1
1001,2,40,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",446,0.446,1
1001,2,41,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",463,0.463,1
1001,2,42,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",584,0.584,1
1001,2,43,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",983,0.983,1
1001,2,44,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",657,0.657,1
1001,2,45,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",388,0.388,1
1001,2,46,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",511,0.511,1
1001,2,47,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",475,0.475,1
1001,2,48,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",512,0.512,1
1001,2,49,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",479,0.479,1
1001,2,50,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","m",762,0.762,1
1001,2,51,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",557,0.557,1
1001,2,52,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","m",424,0.424,1
1001,2,53,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",426,0.426,1
1001,2,54,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",545,0.545,1
1001,2,55,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",437,0.437,1
1001,2,56,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",645,0.645,1
1001,2,57,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",439,0.439,1
1001,2,58,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",523,0.523,1
1001,2,59,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",525,0.525,1
1001,2,60,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",501,0.501,1
1001,2,61,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",435,0.435,1
1001,2,62,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",447,0.447,1
1001,2,63,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",376,0.376,1
1001,2,64,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",431,0.431,1
1001,2,65,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",391,0.391,1
1001,2,66,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",1021,1.021,1
1001,2,67,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",680,0.68,1
1001,2,68,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","m",425,0.425,1
1001,2,69,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",478,0.478,1
1001,2,70,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",388,0.388,1
1001,2,71,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",385,0.385,1
1001,2,72,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",573,0.573,1
1001,2,73,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",499,0.499,1
1001,2,74,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",468,0.468,1
1001,2,75,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",451,0.451,1
1001,2,76,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",622,0.622,1
1001,2,77,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",976,0.976,1
1001,2,78,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",402,0.402,1
1001,2,79,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",362,0.362,1
1001,2,80,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",418,0.418,1
1001,2,81,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",417,0.417,1
1001,2,82,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",491,0.491,1
1001,2,83,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",419,0.419,1
1001,2,84,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",613,0.613,1
1001,3,1,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",498,0.498,1
1001,3,2,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",489,0.489,1
1001,3,3,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",414,0.414,1
1001,3,4,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",318,0.318,1
1001,3,5,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",459,0.459,1
1001,3,6,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",524,0.524,1
1001,3,7,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",442,0.442,1
1001,3,8,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",390,0.39,1
1001,3,9,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","m",426,0.426,1
1001,3,10,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",498,0.498,1
1001,3,11,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",474,0.474,1
1001,3,12,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",519,0.519,1
1001,3,13,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",905,0.905,1
1001,3,14,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",432,0.432,1
1001,3,15,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",494,0.494,1
1001,3,16,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",551,0.551,1
1001,3,17,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",1069,1.069,1
1001,3,18,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",504,0.504,1
1001,3,19,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","m",540,0.54,1
1001,3,20,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",405,0.405,1
1001,3,21,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",695,0.695,1
1001,3,22,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",542,0.542,1
1001,3,23,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",449,0.449,1
1001,3,24,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",420,0.42,1
1001,3,25,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",628,0.628,1
1001,3,26,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",466,0.466,1
1001,3,27,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",366,0.366,1
1001,3,28,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",504,0.504,1
1001,3,29,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",587,0.587,1
1001,3,30,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",1153,1.153,1
1001,3,31,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",513,0.513,1
1001,3,32,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",393,0.393,1
1001,3,33,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",458,0.458,1
1001,3,34,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",377,0.377,1
1001,3,35,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",475,0.475,1
1001,3,36,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",418,0.418,1
1001,3,37,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",557,0.557,1
1001,3,38,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",585,0.585,1
1001,3,39,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",679,0.679,1
1001,3,40,"Nonmatching","shape1.jpg","M","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","m",482,0.482,1
1001,3,41,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",527,0.527,1
1001,3,42,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",529,0.529,1
1001,3,43,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",574,0.574,1
1001,3,44,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",393,0.393,1
1001,3,45,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","You","Self","Self","Self","m",459,0.459,1
1001,3,46,"Nonmatching","shape2.jpg","M","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m",492,0.492,1
1001,3,47,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",648,0.648,1
1001,3,48,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",373,0.373,1
1001,3,49,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",544,0.544,1
1001,3,50,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",430,0.43,1
1001,3,51,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",516,0.516,1
1001,3,52,"Matching","shape2.jpg","M","Friend","Friend","Close","Friend","Friend","Friend","Close","z",452,0.452,1
1001,3,53,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",446,0.446,1
1001,3,54,"Matching","shape1.jpg","M","Self","Self","Self","You","Self","Self","Self","z",495,0.495,1
1001,3,55,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",410,0.41,1
1001,3,56,"Nonmatching","shape1.jpg","M","Self","Self","Self","Friend","Friend","Friend","Close","m",396,0.396,1
1001,3,57,"Matching","shape3.jpg","M","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","z",536,0.536,1
1001,3,58,"Nonmatching","shape3.jpg","M","Stranger","Stranger","Stranger","You","Self","Self","Self","m",636,0.636,1
