Subject,Session,Age,Handedness,Sex,BlockList.Sample,PracList.Sample,SubTrial,Label,Target,Shape,morality,identity,YesNoResp,CorrectAnswer,Targetprac.RESP,Targetprac.ACC,Targetprac.RT,Target.RESP,Target.ACC,Target.RT,,
6201,1,21,right,male,,1,140,GoodSelf.bmp,Tra.bmp,Normalself,moral,self,No,k,,0,0,,,,,
6201,1,21,right,male,,1,141,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,616,,,,,
6201,1,21,right,male,,1,142,NormalSelf.bmp,D.bmp,Badself,normal,self,No,k,k,1,436,,,,,
6201,1,21,right,male,,1,143,GoodSelf.bmp,D.bmp,Badself,moral,self,No,k,k,1,592,,,,,
6201,1,21,right,male,,1,144,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,k,0,845,,,,,
6201,1,21,right,male,,1,145,GoodSelf.bmp,T.bmp,Badother,moral,self,No,k,k,1,617,,,,,
6201,1,21,right,male,,1,146,GoodOther.bmp,S.bmp,Normalother,moral,other,No,k,k,1,941,,,,,
6201,1,21,right,male,,1,147,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,m,1,698,,,,,
6201,1,21,right,male,,1,148,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,m,1,494,,,,,
6201,1,21,right,male,,1,149,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,m,1,890,,,,,
6201,1,21,right,male,,1,150,NormalSelf.bmp,T.bmp,Badother,normal,self,No,k,k,1,846,,,,,
6201,1,21,right,male,,1,151,BadSelf.bmp,P.bmp,Goodother,immoral,self,No,k,k,1,1002,,,,,
6201,1,21,right,male,,1,152,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,607,,,,,
6201,1,21,right,male,,1,153,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,m,1,971,,,,,
6201,1,21,right,male,,1,154,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,k,0,895,,,,,
6201,1,21,right,male,,1,155,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,m,1,708,,,,,
6201,1,21,right,male,,1,156,BadOther.bmp,S.bmp,Normalother,immoral,other,No,k,k,1,888,,,,,
6201,1,21,right,male,,1,157,GoodSelf.bmp,P.bmp,Goodother,moral,self,No,k,k,1,756,,,,,
6201,1,21,right,male,,1,158,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,,0,0,,,,,
6201,1,21,right,male,,1,159,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,m,1,860,,,,,
6201,1,21,right,male,,1,160,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,m,1,728,,,,,
6201,1,21,right,male,,1,161,BadSelf.bmp,Tra.bmp,Normalself,immoral,self,No,k,k,1,1071,,,,,
6201,1,21,right,male,,1,162,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,m,1,521,,,,,
6201,1,21,right,male,,1,163,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,m,1,398,,,,,
6201,1,21,right,male,,1,164,NormalSelf.bmp,P.bmp,Goodother,normal,self,No,k,k,1,834,,,,,
6201,1,21,right,male,,1,165,GoodOther.bmp,D.bmp,Badself,moral,other,No,k,k,1,1046,,,,,
