"Num","ID","Study","Exp","Country","Language","N (M/F)","Stimulus","Trials","License","Exp_Implement"
42,"Lee_2026_BritJPsy","Lee et al. (2026)","Exp2","United Kingdom","English","50 (20/28)","geometric shape","360",NA,"Online Experiment"
43,"Liang_2022_HumBrainMap","Liang et al. (2022)","Exp1","China","English","35 (13/22)","geometric shape","720","CC BY-NC-ND","Lab Experiment"
44,"Liang_2022_HumBrainMap","Liang et al. (2022)","Exp1","China","English","38 (22/16)","geometric shape","720","CC BY-NC-ND","Lab Experiment"
45,"Liang_2022_HumBrainMap","Liang et al. (2022)","Exp1","China","English","36 (13/23)","geometric shape","720","CC BY-NC-ND","Lab Experiment"
46,"Liu_2023_CogRes","Liu et al. (2023)","Exp1","UK","English","299 (132/161)","face","64",NA,"Online Experiment"
47,"Martinez-Perez_2024_ConsciousCog","V Martínez-Pérez et al. (2024)","Exp2","Spain","Spanish","32 (5/27)","geometric shape","240","CC BY 4.0","Lab Experiment"
48,"Mcivor_2021_EJN","L McIvor et al. (2021)","Exp1","United Kingdom","English","20 (6/14)","geometric shape and face","960","CC BY 4.0","Lab Experiment"
49,"Mcivor_2021_EJN","L McIvor et al. (2021)","Exp1","United Kingdom","English","20 (2/18)","geometric shape and face","960","CC BY 4.0","Lab Experiment"
50,"Navon_2021_psyarxiv","Navon & Makovski (2021)","Exp1","Israel","Hebrew","13 (3/10)","geometric shape","360","CC0 1.0 Universal","Lab Experiment"
51,"Navon_2021_psyarxiv","Navon & Makovski (2021)","Exp2","Israel","Hebrew","27 (9/18)","geometric shape","360","CC0 1.0 Universal","Lab Experiment"
52,"Navon_2021_psyarxiv","Navon & Makovski (2021)","Exp3","Israel","Hebrew","28 (12/15)","geometric shape","360","CC0 1.0 Universal","Lab Experiment"
53,"Navon_2021_psyarxiv","Navon & Makovski (2021)","Exp4","Israel","Hebrew","27 (9/18)","geometric shape","360","CC0 1.0 Universal","Lab Experiment"
54,"Orellana-Corrales_2020_ExpPsych","G Orellana-Corrales et al. (2020)","Exp1","Germany","German","38 (9/29)","geometric shape","128",NA,"Lab Experiment"
55,"Orellana-Corrales_2020_ExpPsych","G Orellana-Corrales et al. (2020)","Exp2","Germany","German","32 (2/3)","geometric shape","128",NA,"Lab Experiment"
56,"Orellana-Corrales_2020_ExpPsych","G Orellana-Corrales et al. (2020)","Exp3","Germany","German","36 (7/29)","geometric shape","128",NA,"Lab Experiment"
57,"Orellana-Corrales_2021_APP","G Orellana-Corrales et al. (2021)","Exp1","Germany","German","34 (9/25)","geometric shape","128","No License","Lab Experiment"
