"Subject","Block","Trial","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
"P24","1","49","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","1054.76269964129","1.05476269964129","1"
"P24","1","50","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","592.269899789244","0.592269899789244","1"
"P24","1","51","You","self-matching","Nonmatching","NA","NA","NA","Stranger","Stranger","Stranger","m","677.253299858421","0.677253299858421","1"
"P24","1","52","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","None","NA","NA","0"
"P24","1","53","Friend","self-matching","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger","m","756.357000209391","0.756357000209391","1"
"P24","1","54","You","self-matching","Nonmatching","NA","NA","NA","Friend","Friend","Close","m","978.121399879456","0.978121399879456","1"
"P24","1","55","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","583.452899940312","0.583452899940312","1"
"P24","1","56","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","m","891.809700056911","0.891809700056911","1"
"P24","1","57","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","788.537399843335","0.788537399843335","1"
"P24","1","58","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close","m","880.824299994856","0.880824299994856","1"
"P24","1","59","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","m","729.955699760467","0.729955699760467","1"
"P24","1","60","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","745.241200085729","0.745241200085729","1"
"P24","1","61","Friend","self-matching","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger","m","870.961599983275","0.870961599983275","1"
"P24","1","62","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","624.244299717247","0.624244299717247","1"
"P24","1","63","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","643.524599727243","0.643524599727243","1"
"P24","1","64","You","self-matching","Nonmatching","NA","NA","NA","Friend","Friend","Close","m","838.097999803722","0.838097999803722","1"
"P24","1","65","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","672.890800051391","0.672890800051391","0"
"P24","1","66","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","881.657799705863","0.881657799705863","1"
"P24","1","67","You","self-matching","Nonmatching","NA","NA","NA","Stranger","Stranger","Stranger","m","778.96870020777","0.77896870020777","1"
"P24","1","68","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close","m","728.22630032897","0.72822630032897","1"
"P24","1","69","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","m","1079.30180011317","1.07930180011317","1"
"P24","1","70","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","m","792.431900277734","0.792431900277734","1"
"P24","1","71","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","900.908499956131","0.900908499956131","1"
"P24","1","72","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","780.650600325316","0.780650600325316","1"
"P24","1","73","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","m","1241.77840026096","1.24177840026096","1"
"P24","1","74","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","724.003499839455","0.724003499839455","1"
"P24","1","75","Friend","self-matching","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger","m","1315.13840006664","1.31513840006664","1"
"P24","1","76","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","746.00419960916","0.74600419960916","1"
"P24","1","77","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","695.953200105578","0.695953200105578","1"
"P24","1","78","You","self-matching","Nonmatching","NA","NA","NA","Stranger","Stranger","Stranger","m","743.767799809575","0.743767799809575","1"
"P24","1","79","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","662.382100243121","0.662382100243121","1"
"P24","1","80","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","1272.41340000182","1.27241340000182","1"
"P24","1","81","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","784.443799871951","0.784443799871951","1"
"P24","1","82","You","self-matching","Nonmatching","NA","NA","NA","Friend","Friend","Close","m","765.417799819261","0.765417799819261","1"
"P24","1","83","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close","None","NA","NA","0"
"P24","1","84","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","None","NA","NA","0"
"P24","1","85","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","687.907599844038","0.687907599844038","1"
"P24","1","86","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","m","1248.55190003291","1.24855190003291","1"
"P24","1","87","You","self-matching","Nonmatching","NA","NA","NA","Stranger","Stranger","Stranger","m","778.733300045133","0.778733300045133","1"
"P24","1","88","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","m","856.044999789447","0.856044999789447","1"
"P24","1","89","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","753.75819997862","0.75375819997862","1"
"P24","1","90","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","591.312299948186","0.591312299948186","1"
"P24","1","91","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close","m","1026.78950037807","1.02678950037807","1"
"P24","1","92","Friend","self-matching","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger","None","NA","NA","0"
"P24","1","93","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","742.663300130516","0.742663300130516","1"
"P24","1","94","You","self-matching","Nonmatching","NA","NA","NA","Friend","Friend","Close","m","1397.12410001084","1.39712410001084","1"
"P24","1","95","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","1576.62960002199","1.57662960002199","1"
"P24","1","96","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","613.162599969655","0.613162599969655","1"
"P24","1","97","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","m","777.179399970919","0.777179399970919","1"
"P24","1","98","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","m","1270.73470037431","1.27073470037431","1"
"P24","1","99","You","self-matching","Nonmatching","NA","NA","NA","Friend","Friend","Close","m","703.152700327337","0.703152700327337","1"
"P24","1","100","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","686.961800325662","0.686961800325662","1"
"P24","1","101","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close","m","799.559699837118","0.799559699837118","1"
