"Subject","Block","Trial","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","ACC"
"1","1","31","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","954","1"
"1","1","32","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","697","1"
"1","1","33","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","832","1"
"1","1","34","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1318","1"
"1","1","35","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","1000","1"
"1","1","36","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","1","786","1"
"1","1","37","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","633","1"
"1","1","38","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1016","1"
"1","1","39","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","2","712","0"
"1","1","40","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","1","1244","1"
"1","1","41","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","1131","1"
"1","1","42","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","1178","1"
"1","1","43","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","628","1"
"1","1","44","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1208","1"
"1","1","45","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","1","1063","1"
"1","1","46","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","1114","1"
"1","1","47","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","1256","1"
"1","1","48","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","1","1129","1"
"1","1","49","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","1072","1"
"1","1","50","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","0","NA","NA"
"1","1","51","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","1232","1"
"1","1","52","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","774","1"
"1","1","53","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","1","763","1"
"1","1","54","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","1","1005","1"
"1","1","55","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1290","1"
"1","1","56","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","993","1"
"1","1","57","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","1","908","1"
"1","1","58","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","2","1047","0"
"1","1","59","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","776","1"
"1","1","60","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","716","1"
"1","1","61","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","1049","1"
"1","1","62","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","694","1"
"1","1","63","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","1146","1"
"1","1","64","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1011","1"
"1","1","65","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","855","1"
"1","1","66","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","814","1"
"1","1","67","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","1","1116","1"
"1","1","68","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","2","1348","0"
"1","1","69","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","1","1442","1"
"1","1","70","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","810","1"
"1","1","71","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","1","1092","0"
"1","1","72","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","1040","1"
"1","1","73","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","668","1"
"1","1","74","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","1021","1"
"1","1","75","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","668","1"
"1","1","76","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","1175","1"
"1","1","77","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","747","1"
"1","1","78","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","882","1"
"1","1","79","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1091","1"
"1","1","80","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","1","774","1"
"1","1","81","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","2","1016","0"
"1","1","82","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","1150","1"
"1","1","83","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","2","1333","0"
"1","1","84","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","1","783","0"
"1","1","85","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","792","1"
"1","1","86","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","726","1"
"1","1","87","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","2","1401","0"
"1","1","88","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","1","1284","1"
"1","1","89","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","785","1"
"1","1","90","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","986","1"
"1","1","91","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","617","1"
"1","1","92","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","993","1"
"1","1","93","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","2","1064","0"
"1","1","94","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","861","1"
"1","1","95","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","862","1"
"1","1","96","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1012","1"
"1","1","97","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","736","1"
"1","1","98","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","1","896","1"
"1","1","99","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","970","1"
"1","1","100","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","745","1"
"1","1","101","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","1121","1"
"1","1","102","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","0","NA","NA"
"1","1","103","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","1125","1"
"1","1","104","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","938","1"
"1","1","105","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","1192","1"
"1","1","106","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","1","1361","0"
"1","1","107","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","1044","1"
"1","1","108","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","2","1354","0"
"1","2","109","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","0","NA","NA"
"1","2","110","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","0","NA","NA"
"1","2","111","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","747","1"
"1","2","112","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","657","1"
"1","2","113","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","935","1"
"1","2","114","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1095","1"
"1","2","115","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","723","1"
"1","2","116","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","2","1160","0"
"1","2","117","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","588","1"
"1","2","118","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","811","1"
"1","2","119","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","833","1"
"1","2","120","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","1214","1"
"1","2","121","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","952","1"
"1","2","122","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","684","1"
"1","2","123","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","700","1"
"1","2","124","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","730","1"
"1","2","125","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","814","1"
"1","2","126","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","1","1453","1"
"1","2","127","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","2","1172","0"
"1","2","128","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","782","1"
"1","2","129","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","1","1599","1"
"1","2","130","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","1","1248","1"
"1","2","131","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","994","1"
"1","2","132","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1287","1"
"1","2","133","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","716","1"
"1","2","134","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","1","883","1"
"1","2","135","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","605","1"
"1","2","136","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","1","900","1"
"1","2","137","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","887","1"
"1","2","138","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","1041","1"
"1","2","139","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","915","1"
"1","2","140","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","689","1"
"1","2","141","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","988","1"
"1","2","142","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1140","1"
"1","2","143","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","1020","1"
"1","2","144","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","1","856","1"
"1","2","145","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","923","1"
"1","2","146","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1331","1"
"1","2","147","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","980","1"
"1","2","148","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","2","1005","0"
"1","2","149","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","670","1"
"1","2","150","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","1","879","0"
"1","2","151","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","691","1"
"1","2","152","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","983","1"
"1","2","153","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","1","1014","1"
"1","2","154","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","991","1"
"1","2","155","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","1368","1"
"1","2","156","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","1","1014","1"
"1","2","157","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","864","1"
"1","2","158","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1348","1"
"1","2","159","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","1077","1"
"1","2","160","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","675","1"
"1","2","161","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","2","1512","0"
"1","2","162","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","1","985","1"
"1","2","163","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1573","1"
"1","2","164","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","872","1"
"1","2","165","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","1","1578","1"
"1","2","166","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","1134","1"
"1","2","167","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","805","1"
"1","2","168","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","619","1"
"1","2","169","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","1149","1"
"1","2","170","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","671","1"
"1","2","171","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","645","1"
"1","2","172","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","1","945","0"
"1","2","173","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","705","1"
"1","2","174","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","830","1"
"1","2","175","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","1","1152","1"
"1","2","176","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","2","1355","0"
"1","2","177","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","1","1313","1"
"1","2","178","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","2","1432","0"
"1","2","179","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1377","1"
"1","2","180","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","917","1"
"1","2","181","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","718","1"
"1","2","182","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","895","1"
"1","2","183","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","670","1"
"1","2","184","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","694","1"
"1","2","185","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","1144","1"
"1","2","186","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","513","1"
"1","2","187","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","791","1"
"1","2","188","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","1","831","1"
"1","2","189","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","1","968","1"
"1","2","190","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","872","1"
"1","2","191","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","1","686","1"
"1","2","192","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1160","1"
"1","2","193","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","713","1"
"1","2","194","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","819","1"
"1","2","195","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","1","1030","1"
"1","2","196","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","1","1324","1"
"1","2","197","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","761","1"
"1","2","198","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","890","1"
"1","2","199","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","701","1"
"1","2","200","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","1","709","0"
"1","2","201","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","1","1113","1"
"1","2","202","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","1156","1"
"1","2","203","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","974","1"
"1","2","204","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1053","1"
"1","2","205","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","888","1"
"1","2","206","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","1","693","1"
"1","2","207","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","664","1"
"1","2","208","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","771","1"
"1","2","209","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","582","1"
"1","2","210","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","1","1401","1"
"1","2","211","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","1060","1"
"1","2","212","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1100","1"
"1","2","213","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","1150","1"
"1","2","214","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","919","1"
"1","2","215","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","868","1"
"1","2","216","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","1","1536","1"
"2","1","1","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","0","NA","NA"
"2","1","2","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","722","1"
"2","1","3","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","2","932","0"
"2","1","4","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","975","1"
"2","1","5","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","726","1"
"2","1","6","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","730","1"
"2","1","7","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","1101","1"
"2","1","8","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","2","1163","0"
"2","1","9","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","2","844","0"
"2","1","10","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","638","1"
"2","1","11","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","1","1512","0"
"2","1","12","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","1","798","1"
"2","1","13","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","621","1"
"2","1","14","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","2","871","0"
"2","1","15","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","1","1109","1"
"2","1","16","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","669","1"
"2","1","17","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","1000","1"
"2","1","18","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","866","1"
"2","1","19","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","800","1"
"2","1","20","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","650","1"
"2","1","21","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1142","1"
"2","1","22","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","1","810","1"
"2","1","23","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1142","1"
"2","1","24","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","1","748","1"
"2","1","25","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","645","1"
"2","1","26","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1027","1"
"2","1","27","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","655","1"
"2","1","28","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","874","1"
"2","1","29","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1066","1"
"2","1","30","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","793","1"
"2","1","31","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","1","1054","1"
"2","1","32","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","1","1334","0"
"2","1","33","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","609","1"
"2","1","34","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","1","1261","1"
"2","1","35","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","863","1"
"2","1","36","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","2","812","0"
"2","1","37","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","2","1148","0"
"2","1","38","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","945","1"
"2","1","39","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","654","1"
"2","1","40","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","1","1221","1"
"2","1","41","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","665","1"
"2","1","42","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","1","863","1"
"2","1","43","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","808","1"
"2","1","44","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","604","1"
"2","1","45","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","721","1"
"2","1","46","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","710","1"
"2","1","47","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","1","997","0"
"2","1","48","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","814","1"
"2","1","49","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","1049","1"
"2","1","50","triangle","stranger","self-matching","Nonmatching","3","Stranger","Stranger","1","You","Self","1","671","1"
"2","1","51","circle","you","self-matching","Nonmatching","1","You","Self","3","Stranger","Stranger","1","662","1"
"2","1","52","square","you","self-matching","Nonmatching","1","You","Self","2","Friend","Close","1","903","1"
"2","1","53","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","739","1"
"2","1","54","square","stranger","self-matching","Nonmatching","3","Stranger","Stranger","2","Friend","Close","2","745","0"
"2","1","55","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","583","1"
"2","1","56","circle","friend","self-matching","Nonmatching","2","Friend","Close","3","Stranger","Stranger","2","1102","0"
"2","1","57","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","1271","1"
"2","1","58","triangle","you","self-matching","Matching","1","You","Self","1","You","Self","2","621","1"
"2","1","59","triangle","friend","self-matching","Nonmatching","2","Friend","Close","1","You","Self","1","991","1"
"2","1","60","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","938","1"
"2","1","61","square","friend","self-matching","Matching","2","Friend","Close","2","Friend","Close","2","790","1"
"2","1","62","circle","stranger","self-matching","Matching","3","Stranger","Stranger","3","Stranger","Stranger","2","790","1"
