"Subject","Trial","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","extraIV1","RT_ms","RT_sec","ACC"
"43329048","36","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","623","0.623","0"
"43329048","37","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","696","0.696","1"
"43329048","38","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","809","0.809","1"
"43329048","39","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","517","0.517","1"
"43329048","40","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","364","0.364","1"
"43329048","41","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","398","0.398","1"
"43329048","42","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","586","0.586","1"
"43329048","43","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","640","0.64","1"
"43329048","44","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","899","0.899","1"
"43329048","45","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","551","0.551","0"
"43329048","46","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","395","0.395","1"
"43329048","47","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","936","0.936","1"
"43329048","48","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","479","0.479","1"
"43329048","49","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","699","0.699","1"
"43329048","50","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","666","0.666","1"
"43329048","51","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","665","0.665","1"
"43329048","52","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","543","0.543","0"
"43329048","53","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","803","0.803","1"
"43329048","54","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","770","0.77","0"
"43329048","55","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","954","0.954","0"
"43329048","56","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","806","0.806","1"
"43329048","57","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","688","0.688","1"
"43329048","58","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","568","0.568","1"
"43329048","59","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","855","0.855","1"
"43329048","60","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","600","0.6","1"
"43329048","1","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","626","0.626","1"
"43329048","2","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","457","0.457","1"
"43329048","3","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","661","0.661","1"
"43329048","4","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","621","0.621","1"
"43329048","5","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","549","0.549","0"
"43329048","6","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","532","0.532","1"
"43329048","7","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","559","0.559","1"
"43329048","8","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","641","0.641","1"
"43329048","9","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","617","0.617","1"
"43329048","10","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","575","0.575","1"
"43329048","11","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","451","0.451","1"
"43329048","12","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","659","0.659","1"
"43329048","13","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","556","0.556","1"
"43329048","14","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","384","0.384","1"
"43329048","15","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","542","0.542","1"
"43329048","16","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","508","0.508","1"
"43329048","17","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","431","0.431","1"
"43329048","18","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","510","0.51","1"
"43329048","19","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","546","0.546","1"
"43329048","20","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","578","0.578","1"
"43329048","21","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","1190","1.19","1"
"43329048","22","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","765","0.765","1"
"43329048","23","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","871","0.871","1"
"43329048","24","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","853","0.853","1"
"43329048","25","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","578","0.578","1"
"43329048","26","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","613","0.613","1"
"43329048","27","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","729","0.729","0"
"43329048","29","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","463","0.463","1"
"43329048","31","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","672","0.672","1"
"43329048","33","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","408","0.408","1"
"43329048","34","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","813","0.813","1"
"43329048","35","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","586","0.586","1"
"43329048","37","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","421","0.421","0"
"43329048","38","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","527","0.527","1"
"43329048","39","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","542","0.542","0"
"43329048","40","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","754","0.754","1"
"43329048","41","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","519","0.519","1"
"43329048","42","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","450","0.45","1"
"43329048","43","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","449","0.449","1"
"43329048","44","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","648","0.648","1"
"43329048","45","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","700","0.7","0"
"43329048","46","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","1120","1.12","1"
"43329048","47","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","389","0.389","1"
"43329048","48","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","407","0.407","1"
"43329048","49","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","526","0.526","0"
"43329048","50","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","677","0.677","1"
"43329048","51","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","741","0.741","1"
"43329048","52","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","614","0.614","1"
"43329048","53","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","502","0.502","0"
"43329048","56","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","323","0.323","1"
"43329048","58","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","624","0.624","1"
"43329048","59","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","374","0.374","0"
"43329048","1","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","727","0.727","1"
"43329048","2","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","695","0.695","1"
"43329048","3","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","390","0.39","1"
"43329048","4","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","345","0.345","1"
"43329048","5","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","503","0.503","1"
"43329048","6","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","375","0.375","1"
"43329048","7","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","blocked","724","0.724","1"
"43329048","8","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","557","0.557","1"
"43329048","9","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","601","0.601","1"
"43329048","10","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","580","0.58","1"
"43329048","11","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","414","0.414","1"
"43329048","12","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","blocked","506","0.506","1"
"43329048","13","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","694","0.694","1"
"43329048","14","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","blocked","516","0.516","0"
"43329048","15","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","blocked","790","0.79","1"
"43329048","16","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","503","0.503","1"
"43329048","17","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","464","0.464","1"
"43329048","18","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","396","0.396","1"
"43329048","19","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","387","0.387","1"
"43329048","20","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","393","0.393","1"
"43329048","21","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","365","0.365","1"
"43329048","22","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","298","0.298","1"
"43329048","23","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","499","0.499","1"
