"Subject","Block","Trial","Matching","Speaker","Accent","Voice","Label","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","RT_ms","RT_sec","ACC"
7434577,1,60,"Matching","S2","Scottish","S2_2.wav","other","other","Stranger","Stranger","other","Other","Stranger",499.700000017881,0.499700000017881,1
7434577,1,61,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",365.40000000596,0.36540000000596,1
7434577,1,62,"Nonmatching","S2","Scottish","S2_1.wav","friend","friend","Friend","Close","other","Other","Stranger",394.59999999404,0.39459999999404,1
7434577,1,63,"Matching","S3","Scottish","S3_1.wav","friend","friend","Friend","Close","friend","Friend","Close",545.90000000596,0.54590000000596,1
7434577,1,64,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",377.699999988079,0.377699999988079,1
7434577,1,65,"Nonmatching","S2","Scottish","S2_1.wav","self","self","Self","Self","other","Other","Stranger",410.90000000596,0.41090000000596,1
7434577,1,66,"Nonmatching","S1","Scottish","S1_1.wav","friend","friend","Friend","Close","self","Self","Self",697.300000011921,0.697300000011921,1
7434577,1,67,"Nonmatching","S2","Scottish","S2_2.wav","self","self","Self","Self","other","Other","Stranger",447.699999988079,0.447699999988079,1
7434577,1,68,"Nonmatching","S1","Scottish","S1_2.wav","other","other","Stranger","Stranger","self","Self","Self",649.09999999404,0.64909999999404,1
7434577,1,69,"Nonmatching","S1","Scottish","S1_2.wav","other","other","Stranger","Stranger","self","Self","Self",449.399999976158,0.449399999976158,1
7434577,1,70,"Matching","S3","Scottish","S3_2.wav","friend","friend","Friend","Close","friend","Friend","Close",322.899999976158,0.322899999976158,1
7434577,1,71,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",459.09999999404,0.45909999999404,1
7434577,1,72,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",421,0.421,1
7434577,2,1,"Nonmatching","S2","Scottish","S2_1.wav","self","self","Self","Self","other","Other","Stranger",589,0.589,1
7434577,2,2,"Nonmatching","S2","Scottish","S2_2.wav","self","self","Self","Self","other","Other","Stranger",393.5,0.3935,1
7434577,2,3,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",397.09999999404,0.39709999999404,0
7434577,2,4,"Matching","S2","Scottish","S2_2.wav","other","other","Stranger","Stranger","other","Other","Stranger",370.699999988079,0.370699999988079,0
7434577,2,5,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",370.799999982119,0.370799999982119,1
7434577,2,6,"Nonmatching","S3","Scottish","S3_1.wav","self","self","Self","Self","friend","Friend","Close",437.300000011921,0.437300000011921,1
7434577,2,7,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",472.399999976158,0.472399999976158,1
7434577,2,8,"Nonmatching","S2","Scottish","S2_1.wav","self","self","Self","Self","other","Other","Stranger",415.40000000596,0.41540000000596,1
7434577,2,9,"Nonmatching","S2","Scottish","S2_1.wav","friend","friend","Friend","Close","other","Other","Stranger",337.90000000596,0.33790000000596,0
7434577,2,10,"Matching","S3","Scottish","S3_2.wav","friend","friend","Friend","Close","friend","Friend","Close",292.799999982119,0.292799999982119,1
7434577,2,11,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",382.09999999404,0.38209999999404,0
7434577,2,12,"Nonmatching","S3","Scottish","S3_1.wav","self","self","Self","Self","friend","Friend","Close",551.700000017881,0.551700000017881,1
7434577,2,13,"Nonmatching","S2","Scottish","S2_2.wav","self","self","Self","Self","other","Other","Stranger",419.90000000596,0.41990000000596,1
7434577,2,14,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",355,0.355,1
7434577,2,15,"Nonmatching","S2","Scottish","S2_2.wav","self","self","Self","Self","other","Other","Stranger",346.5,0.3465,1
7434577,2,16,"Nonmatching","S3","Scottish","S3_1.wav","other","other","Stranger","Stranger","friend","Friend","Close",473.59999999404,0.47359999999404,1
7434577,2,17,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",289.600000023842,0.289600000023842,1
7434577,2,18,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",303.199999988079,0.303199999988079,1
7434577,2,19,"Matching","S3","Scottish","S3_2.wav","friend","friend","Friend","Close","friend","Friend","Close",413.09999999404,0.41309999999404,1
7434577,2,20,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",302.199999988079,0.302199999988079,1
7434577,2,21,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",409.90000000596,0.40990000000596,1
7434577,2,22,"Matching","S3","Scottish","S3_1.wav","friend","friend","Friend","Close","friend","Friend","Close",325.90000000596,0.32590000000596,1
7434577,2,23,"Matching","S3","Scottish","S3_1.wav","friend","friend","Friend","Close","friend","Friend","Close",365.800000011921,0.365800000011921,1
7434577,2,24,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",335.700000017881,0.335700000017881,1
7434577,2,25,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",388.799999982119,0.388799999982119,1
7434577,2,26,"Nonmatching","S2","Scottish","S2_2.wav","friend","friend","Friend","Close","other","Other","Stranger",504.100000023842,0.504100000023842,1
7434577,2,27,"Nonmatching","S2","Scottish","S2_2.wav","friend","friend","Friend","Close","other","Other","Stranger",518.800000011921,0.518800000011921,1
7434577,2,28,"Nonmatching","S3","Scottish","S3_2.wav","self","self","Self","Self","friend","Friend","Close",620.799999982119,0.620799999982119,0
7434577,2,29,"Nonmatching","S2","Scottish","S2_2.wav","friend","friend","Friend","Close","other","Other","Stranger",595.09999999404,0.59509999999404,1
7434577,2,30,"Nonmatching","S1","Scottish","S1_2.wav","other","other","Stranger","Stranger","self","Self","Self",604,0.604,1
7434577,2,31,"Matching","S2","Scottish","S2_2.wav","other","other","Stranger","Stranger","other","Other","Stranger",361.199999988079,0.361199999988079,1
7434577,2,32,"Nonmatching","S3","Scottish","S3_2.wav","self","self","Self","Self","friend","Friend","Close",445.300000011921,0.445300000011921,1
7434577,2,33,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",464.5,0.4645,0
7434577,2,34,"Nonmatching","S1","Scottish","S1_1.wav","friend","friend","Friend","Close","self","Self","Self",572.299999982119,0.572299999982119,1
7434577,2,35,"Nonmatching","S1","Scottish","S1_2.wav","friend","friend","Friend","Close","self","Self","Self",484.199999988079,0.484199999988079,1
7434577,2,36,"Matching","S3","Scottish","S3_1.wav","friend","friend","Friend","Close","friend","Friend","Close",339.5,0.3395,1
7434577,2,37,"Nonmatching","S3","Scottish","S3_2.wav","other","other","Stranger","Stranger","friend","Friend","Close",414.5,0.4145,1
7434577,2,38,"Matching","S2","Scottish","S2_2.wav","other","other","Stranger","Stranger","other","Other","Stranger",412.200000017881,0.412200000017881,0
7434577,2,39,"Nonmatching","S3","Scottish","S3_2.wav","self","self","Self","Self","friend","Friend","Close",577.700000017881,0.577700000017881,1
7434577,2,40,"Nonmatching","S1","Scottish","S1_2.wav","friend","friend","Friend","Close","self","Self","Self",546,0.546,1
7434577,2,41,"Nonmatching","S1","Scottish","S1_1.wav","other","other","Stranger","Stranger","self","Self","Self",411,0.411,1
7434577,2,42,"Nonmatching","S3","Scottish","S3_1.wav","other","other","Stranger","Stranger","friend","Friend","Close",493.09999999404,0.49309999999404,1
7434577,2,43,"Matching","S3","Scottish","S3_1.wav","friend","friend","Friend","Close","friend","Friend","Close",324.300000011921,0.324300000011921,1
7434577,2,44,"Nonmatching","S2","Scottish","S2_1.wav","self","self","Self","Self","other","Other","Stranger",529.299999982119,0.529299999982119,1
7434577,2,45,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",404.5,0.4045,1
7434577,2,46,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",387.09999999404,0.38709999999404,1
7434577,2,47,"Matching","S3","Scottish","S3_2.wav","friend","friend","Friend","Close","friend","Friend","Close",429.300000011921,0.429300000011921,1
7434577,2,48,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",384.600000023842,0.384600000023842,1
7434577,2,49,"Nonmatching","S1","Scottish","S1_1.wav","other","other","Stranger","Stranger","self","Self","Self",564.899999976158,0.564899999976158,1
7434577,2,50,"Matching","S3","Scottish","S3_2.wav","friend","friend","Friend","Close","friend","Friend","Close",404.300000011921,0.404300000011921,1
7434577,2,51,"Matching","S3","Scottish","S3_2.wav","friend","friend","Friend","Close","friend","Friend","Close",327.199999988079,0.327199999988079,1
7434577,2,52,"Nonmatching","S1","Scottish","S1_2.wav","friend","friend","Friend","Close","self","Self","Self",533,0.533,1
7434577,2,53,"Nonmatching","S1","Scottish","S1_1.wav","other","other","Stranger","Stranger","self","Self","Self",365.800000011921,0.365800000011921,1
7434577,2,54,"Nonmatching","S1","Scottish","S1_2.wav","other","other","Stranger","Stranger","self","Self","Self",380.800000011921,0.380800000011921,1
7434577,2,55,"Matching","S3","Scottish","S3_2.wav","friend","friend","Friend","Close","friend","Friend","Close",348.300000011921,0.348300000011921,1
7434577,2,56,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",445.199999988079,0.445199999988079,1
7434577,2,57,"Matching","S2","Scottish","S2_2.wav","other","other","Stranger","Stranger","other","Other","Stranger",338.699999988079,0.338699999988079,1
7434577,2,58,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",393.299999982119,0.393299999982119,1
7434577,2,59,"Nonmatching","S2","Scottish","S2_1.wav","friend","friend","Friend","Close","other","Other","Stranger",442.800000011921,0.442800000011921,1
7434577,2,60,"Nonmatching","S1","Scottish","S1_1.wav","friend","friend","Friend","Close","self","Self","Self",507.600000023842,0.507600000023842,1
7434577,2,61,"Matching","S2","Scottish","S2_2.wav","other","other","Stranger","Stranger","other","Other","Stranger",319.5,0.3195,1
7434577,2,62,"Matching","S3","Scottish","S3_1.wav","friend","friend","Friend","Close","friend","Friend","Close",331.200000017881,0.331200000017881,1
7434577,2,63,"Nonmatching","S3","Scottish","S3_1.wav","other","other","Stranger","Stranger","friend","Friend","Close",516,0.516,1
7434577,2,64,"Nonmatching","S1","Scottish","S1_2.wav","other","other","Stranger","Stranger","self","Self","Self",546.700000017881,0.546700000017881,1
7434577,2,65,"Nonmatching","S3","Scottish","S3_2.wav","other","other","Stranger","Stranger","friend","Friend","Close",438.59999999404,0.43859999999404,1
7434577,2,66,"Nonmatching","S1","Scottish","S1_1.wav","friend","friend","Friend","Close","self","Self","Self",811.700000017881,0.811700000017881,1
7434577,2,67,"Nonmatching","S3","Scottish","S3_2.wav","other","other","Stranger","Stranger","friend","Friend","Close",457.5,0.4575,1
7434577,2,68,"Nonmatching","S3","Scottish","S3_1.wav","self","self","Self","Self","friend","Friend","Close",535,0.535,1
7434577,2,69,"Matching","S2","Scottish","S2_2.wav","other","other","Stranger","Stranger","other","Other","Stranger",374.09999999404,0.37409999999404,1
7434577,2,70,"Nonmatching","S2","Scottish","S2_1.wav","friend","friend","Friend","Close","other","Other","Stranger",459.799999982119,0.459799999982119,1
7434577,2,71,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",382.199999988079,0.382199999988079,1
7434577,2,72,"Matching","S3","Scottish","S3_1.wav","friend","friend","Friend","Close","friend","Friend","Close",345.399999976158,0.345399999976158,1
7434577,3,1,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",452,0.452,1
7434577,3,2,"Nonmatching","S1","Scottish","S1_2.wav","friend","friend","Friend","Close","self","Self","Self",337.100000023842,0.337100000023842,1
7434577,3,3,"Nonmatching","S2","Scottish","S2_2.wav","self","self","Self","Self","other","Other","Stranger",335.5,0.3355,1
7434577,3,4,"Matching","S3","Scottish","S3_2.wav","friend","friend","Friend","Close","friend","Friend","Close",330.09999999404,0.33009999999404,1
7434577,3,5,"Matching","S2","Scottish","S2_2.wav","other","other","Stranger","Stranger","other","Other","Stranger",429.59999999404,0.42959999999404,1
7434577,3,6,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",347,0.347,1
7434577,3,7,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",337.59999999404,0.33759999999404,1
7434577,3,8,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",359.800000011921,0.359800000011921,1
7434577,3,9,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",324.09999999404,0.32409999999404,1
7434577,3,10,"Nonmatching","S3","Scottish","S3_2.wav","other","other","Stranger","Stranger","friend","Friend","Close",323.40000000596,0.32340000000596,0
7434577,3,11,"Nonmatching","S3","Scottish","S3_2.wav","self","self","Self","Self","friend","Friend","Close",427.5,0.4275,1
7434577,3,12,"Nonmatching","S1","Scottish","S1_2.wav","other","other","Stranger","Stranger","self","Self","Self",623.200000017881,0.623200000017881,1
7434577,3,13,"Nonmatching","S2","Scottish","S2_2.wav","self","self","Self","Self","other","Other","Stranger",427.59999999404,0.42759999999404,1
7434577,3,14,"Nonmatching","S3","Scottish","S3_1.wav","other","other","Stranger","Stranger","friend","Friend","Close",488.40000000596,0.48840000000596,1
7434577,3,15,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",380.40000000596,0.38040000000596,1
7434577,3,16,"Matching","S3","Scottish","S3_1.wav","friend","friend","Friend","Close","friend","Friend","Close",571.5,0.5715,1
7434577,3,17,"Nonmatching","S1","Scottish","S1_2.wav","other","other","Stranger","Stranger","self","Self","Self",529.300000011921,0.529300000011921,1
7434577,3,18,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",384,0.384,1
7434577,3,19,"Nonmatching","S3","Scottish","S3_2.wav","self","self","Self","Self","friend","Friend","Close",431.5,0.4315,1
7434577,3,20,"Nonmatching","S2","Scottish","S2_1.wav","self","self","Self","Self","other","Other","Stranger",473.59999999404,0.47359999999404,1
7434577,3,21,"Nonmatching","S2","Scottish","S2_1.wav","self","self","Self","Self","other","Other","Stranger",442.5,0.4425,1
7434577,3,22,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",414.59999999404,0.41459999999404,1
7434577,3,23,"Nonmatching","S2","Scottish","S2_1.wav","self","self","Self","Self","other","Other","Stranger",419.100000023842,0.419100000023842,1
7434577,3,24,"Nonmatching","S1","Scottish","S1_2.wav","other","other","Stranger","Stranger","self","Self","Self",551,0.551,1
7434577,3,25,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",344.5,0.3445,1
7434577,3,26,"Matching","S2","Scottish","S2_2.wav","other","other","Stranger","Stranger","other","Other","Stranger",372.700000017881,0.372700000017881,1
7434577,3,27,"Nonmatching","S1","Scottish","S1_1.wav","other","other","Stranger","Stranger","self","Self","Self",412,0.412,1
7434577,3,28,"Matching","S3","Scottish","S3_2.wav","friend","friend","Friend","Close","friend","Friend","Close",394.90000000596,0.39490000000596,1
7434577,3,29,"Nonmatching","S3","Scottish","S3_2.wav","other","other","Stranger","Stranger","friend","Friend","Close",507.800000011921,0.507800000011921,1
7434577,3,30,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",361.199999988079,0.361199999988079,1
7434577,3,31,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",402.199999988079,0.402199999988079,1
7434577,3,32,"Nonmatching","S3","Scottish","S3_2.wav","other","other","Stranger","Stranger","friend","Friend","Close",427.59999999404,0.42759999999404,1
7434577,3,33,"Nonmatching","S1","Scottish","S1_1.wav","other","other","Stranger","Stranger","self","Self","Self",448.899999976158,0.448899999976158,1
7434577,3,34,"Nonmatching","S2","Scottish","S2_1.wav","friend","friend","Friend","Close","other","Other","Stranger",506.5,0.5065,1
7434577,3,35,"Nonmatching","S1","Scottish","S1_1.wav","friend","friend","Friend","Close","self","Self","Self",654.800000011921,0.654800000011921,1
7434577,3,36,"Nonmatching","S3","Scottish","S3_2.wav","self","self","Self","Self","friend","Friend","Close",437.299999982119,0.437299999982119,1
7434577,3,37,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",360.40000000596,0.36040000000596,1
7434577,3,38,"Matching","S2","Scottish","S2_2.wav","other","other","Stranger","Stranger","other","Other","Stranger",420.199999988079,0.420199999988079,1
7434577,3,39,"Matching","S3","Scottish","S3_2.wav","friend","friend","Friend","Close","friend","Friend","Close",362.59999999404,0.36259999999404,1
7434577,3,40,"Matching","S2","Scottish","S2_2.wav","other","other","Stranger","Stranger","other","Other","Stranger",404.09999999404,0.40409999999404,1
7434577,3,41,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",413.5,0.4135,1
7434577,3,42,"Nonmatching","S1","Scottish","S1_2.wav","friend","friend","Friend","Close","self","Self","Self",456.40000000596,0.45640000000596,1
7434577,3,43,"Matching","S2","Scottish","S2_2.wav","other","other","Stranger","Stranger","other","Other","Stranger",394,0.394,1
7434577,3,44,"Nonmatching","S2","Scottish","S2_2.wav","friend","friend","Friend","Close","other","Other","Stranger",478.5,0.4785,1
7434577,3,45,"Matching","S3","Scottish","S3_1.wav","friend","friend","Friend","Close","friend","Friend","Close",397.699999988079,0.397699999988079,1
7434577,3,46,"Matching","S1","Scottish","S1_1.wav","self","self","Self","Self","self","Self","Self",357.5,0.3575,1
7434577,3,47,"Nonmatching","S1","Scottish","S1_1.wav","other","other","Stranger","Stranger","self","Self","Self",431.5,0.4315,1
7434577,3,48,"Nonmatching","S2","Scottish","S2_2.wav","friend","friend","Friend","Close","other","Other","Stranger",543.40000000596,0.54340000000596,1
7434577,3,49,"Nonmatching","S3","Scottish","S3_1.wav","other","other","Stranger","Stranger","friend","Friend","Close",697.5,0.6975,1
7434577,3,50,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",394,0.394,1
7434577,3,51,"Nonmatching","S1","Scottish","S1_1.wav","friend","friend","Friend","Close","self","Self","Self",489.90000000596,0.48990000000596,1
7434577,3,52,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",382.100000023842,0.382100000023842,1
7434577,3,53,"Matching","S1","Scottish","S1_2.wav","self","self","Self","Self","self","Self","Self",504.299999982119,0.504299999982119,1
7434577,3,54,"Matching","S3","Scottish","S3_1.wav","friend","friend","Friend","Close","friend","Friend","Close",481.90000000596,0.48190000000596,1
7434577,3,55,"Nonmatching","S2","Scottish","S2_1.wav","friend","friend","Friend","Close","other","Other","Stranger",448.59999999404,0.44859999999404,1
7434577,3,56,"Matching","S2","Scottish","S2_1.wav","other","other","Stranger","Stranger","other","Other","Stranger",392.59999999404,0.39259999999404,1
7434577,3,57,"Nonmatching","S3","Scottish","S3_1.wav","self","self","Self","Self","friend","Friend","Close",435.799999982119,0.435799999982119,1
7434577,3,58,"Nonmatching","S3","Scottish","S3_1.wav","self","self","Self","Self","friend","Friend","Close",449,0.449,1
7434577,3,59,"Matching","S2","Scottish","S2_2.wav","other","other","Stranger","Stranger","other","Other","Stranger",359.5,0.3595,1
7434577,3,60,"Matching","S3","Scottish","S3_2.wav","friend","friend","Friend","Close","friend","Friend","Close",360.90000000596,0.36090000000596,1
7434577,3,61,"Nonmatching","S3","Scottish","S3_1.wav","self","self","Self","Self","friend","Friend","Close",413.300000011921,0.413300000011921,1
