"Subject","Group","Condition","Block","Trial","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
18080,2,"happy",1,33,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",662,0.662,1
18080,2,"neutral",1,34,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","47",570,0.57,0
18080,2,"happy",1,35,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","47",588,0.588,0
18080,2,"happy",1,36,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",867,0.867,1
18080,2,"sad",1,37,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",967,0.967,1
18080,2,"line",1,38,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",611,0.611,1
18080,2,"neutral",1,39,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",645,0.645,1
18080,2,"sad",1,40,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",698,0.698,1
18080,2,"sad",1,41,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","48",996,0.996,0
18080,2,"neutral",1,42,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",648,0.648,1
18080,2,"sad",1,43,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",1133,1.133,1
18080,2,"sad",1,44,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","48",944,0.944,0
18080,2,"neutral",1,45,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",909,0.909,1
18080,2,"sad",1,46,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",1353,1.353,1
18080,2,"sad",1,47,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",715,0.715,1
18080,2,"happy",1,48,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",430,0.43,1
18080,2,"neutral",1,49,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",591,0.591,1
18080,2,"neutral",1,50,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",670,0.67,1
18080,2,"sad",1,51,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",616,0.616,1
18080,2,"line",1,52,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",1102,1.102,1
18080,2,"line",1,53,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",1060,1.06,1
18080,2,"line",1,54,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",926,0.926,1
18080,2,"neutral",1,55,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",620,0.62,1
18080,2,"line",1,56,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",702,0.702,1
18080,2,"line",1,57,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",528,0.528,1
18080,2,"happy",1,58,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",773,0.773,1
18080,2,"neutral",1,59,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",853,0.853,1
18080,2,"happy",1,60,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","48",725,0.725,0
18080,2,"sad",1,61,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",630,0.63,1
18080,2,"line",1,62,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",582,0.582,1
18080,2,"neutral",1,63,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",543,0.543,1
18080,2,"neutral",1,64,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",562,0.562,1
18080,2,"line",1,65,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",919,0.919,1
18080,2,"neutral",1,66,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",554,0.554,1
18080,2,"neutral",1,67,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","48",1011,1.011,0
18080,2,"happy",1,68,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",620,0.62,1
18080,2,"neutral",1,69,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","48",615,0.615,0
18080,2,"happy",1,70,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",674,0.674,1
18080,2,"line",1,71,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",810,0.81,1
18080,2,"happy",1,72,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",683,0.683,1
18080,2,"sad",1,73,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",848,0.848,1
18080,2,"neutral",1,74,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",520,0.52,1
18080,2,"line",1,75,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",527,0.527,1
18080,2,"neutral",1,76,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",806,0.806,1
18080,2,"line",1,77,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",1099,1.099,1
18080,2,"line",1,78,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",588,0.588,1
18080,2,"sad",1,79,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",625,0.625,1
18080,2,"sad",1,80,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","47",819,0.819,0
18080,2,"sad",2,1,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",742,0.742,1
18080,2,"line",2,2,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",715,0.715,1
18080,2,"sad",2,3,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",650,0.65,1
18080,2,"sad",2,4,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",767,0.767,1
18080,2,"happy",2,5,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",795,0.795,1
18080,2,"happy",2,6,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",1078,1.078,1
18080,2,"neutral",2,7,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",681,0.681,1
18080,2,"neutral",2,8,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",859,0.859,1
18080,2,"neutral",2,9,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",659,0.659,1
18080,2,"neutral",2,10,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",736,0.736,1
18080,2,"neutral",2,11,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",605,0.605,1
18080,2,"sad",2,12,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",614,0.614,1
18080,2,"neutral",2,13,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",891,0.891,1
18080,2,"happy",2,14,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",727,0.727,1
18080,2,"neutral",2,15,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",595,0.595,1
18080,2,"happy",2,16,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",671,0.671,1
18080,2,"sad",2,17,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",681,0.681,1
18080,2,"happy",2,18,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","47",682,0.682,0
18080,2,"happy",2,19,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",709,0.709,1
18080,2,"sad",2,20,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",795,0.795,1
18080,2,"sad",2,21,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",788,0.788,1
18080,2,"neutral",2,22,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",568,0.568,1
18080,2,"sad",2,23,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",639,0.639,1
18080,2,"line",2,24,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",535,0.535,1
18080,2,"line",2,25,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","48",696,0.696,0
18080,2,"line",2,26,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",658,0.658,1
18080,2,"sad",2,27,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",1277,1.277,1
18080,2,"neutral",2,28,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",556,0.556,1
18080,2,"happy",2,29,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",571,0.571,1
18080,2,"happy",2,30,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",496,0.496,1
18080,2,"line",2,31,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",1018,1.018,1
18080,2,"sad",2,32,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",619,0.619,1
18080,2,"neutral",2,33,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",873,0.873,1
18080,2,"happy",2,34,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",881,0.881,1
18080,2,"neutral",2,35,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",683,0.683,1
18080,2,"line",2,36,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",957,0.957,1
18080,2,"neutral",2,37,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",488,0.488,1
18080,2,"line",2,38,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",350,0.35,1
18080,2,"neutral",2,39,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",494,0.494,1
18080,2,"happy",2,40,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",416,0.416,1
18080,2,"line",2,41,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",790,0.79,1
18080,2,"line",2,42,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",1021,1.021,1
18080,2,"happy",2,43,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",877,0.877,1
18080,2,"sad",2,44,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",1035,1.035,1
18080,2,"happy",2,45,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",609,0.609,1
18080,2,"happy",2,46,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",592,0.592,1
18080,2,"happy",2,47,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",801,0.801,1
18080,2,"line",2,48,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",636,0.636,1
18080,2,"neutral",2,49,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",1103,1.103,1
18080,2,"line",2,50,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","48",980,0.98,0
18080,2,"line",2,51,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",758,0.758,1
18080,2,"line",2,52,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",502,0.502,1
18080,2,"sad",2,53,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",572,0.572,1
18080,2,"sad",2,54,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",844,0.844,1
18080,2,"line",2,55,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",842,0.842,1
18080,2,"line",2,56,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",914,0.914,1
18080,2,"happy",2,57,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",738,0.738,1
18080,2,"line",2,58,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","48",938,0.938,0
18080,2,"happy",2,59,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",601,0.601,1
18080,2,"line",2,60,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",618,0.618,1
18080,2,"sad",2,61,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",626,0.626,1
18080,2,"sad",2,62,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","48",852,0.852,0
18080,2,"happy",2,63,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",634,0.634,1
18080,2,"sad",2,64,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",1009,1.009,1
18080,2,"neutral",2,65,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",509,0.509,1
18080,2,"sad",2,66,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","48",588,0.588,0
18080,2,"sad",2,67,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",731,0.731,1
18080,2,"neutral",2,68,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",784,0.784,1
18080,2,"happy",2,69,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",680,0.68,1
18080,2,"line",2,70,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",593,0.593,1
18080,2,"neutral",2,71,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",823,0.823,1
18080,2,"line",2,72,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",803,0.803,1
18080,2,"neutral",2,73,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",813,0.813,1
18080,2,"happy",2,74,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",1081,1.081,1
18080,2,"sad",2,75,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",865,0.865,1
18080,2,"line",2,76,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",551,0.551,1
18080,2,"happy",2,77,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",474,0.474,1
18080,2,"neutral",2,78,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",918,0.918,1
18080,2,"sad",2,79,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","48",851,0.851,0
18080,2,"neutral",2,80,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",565,0.565,1
18080,2,"line",3,1,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","48",533,0.533,0
18080,2,"sad",3,2,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",527,0.527,1
18080,2,"neutral",3,3,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",718,0.718,1
18080,2,"happy",3,4,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","48",682,0.682,0
18080,2,"sad",3,5,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",651,0.651,1
18080,2,"sad",3,6,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",1047,1.047,1
18080,2,"line",3,7,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",696,0.696,1
18080,2,"happy",3,8,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",885,0.885,1
18080,2,"neutral",3,9,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",888,0.888,1
18080,2,"neutral",3,10,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",562,0.562,1
18080,2,"sad",3,11,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",979,0.979,1
18080,2,"neutral",3,12,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",672,0.672,1
18080,2,"line",3,13,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",614,0.614,1
18080,2,"neutral",3,14,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",708,0.708,1
18080,2,"happy",3,15,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",630,0.63,1
18080,2,"sad",3,16,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",663,0.663,1
18080,2,"line",3,17,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",711,0.711,1
18080,2,"line",3,18,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",625,0.625,1
18080,2,"neutral",3,19,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",585,0.585,1
18080,2,"line",3,20,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",634,0.634,1
18080,2,"neutral",3,21,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",509,0.509,1
18080,2,"sad",3,22,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",613,0.613,1
18080,2,"sad",3,23,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",847,0.847,1
18080,2,"happy",3,24,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",997,0.997,1
18080,2,"sad",3,25,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",573,0.573,1
18080,2,"sad",3,26,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",660,0.66,1
18080,2,"neutral",3,27,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",606,0.606,1
18080,2,"neutral",3,28,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",648,0.648,1
18080,2,"line",3,29,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",523,0.523,1
18080,2,"neutral",3,30,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",704,0.704,1
18080,2,"sad",3,31,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",481,0.481,1
18080,2,"line",3,32,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",951,0.951,1
18080,2,"happy",3,33,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",648,0.648,1
18080,2,"happy",3,34,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","47",528,0.528,0
18080,2,"happy",3,35,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","47",780,0.78,0
18080,2,"happy",3,36,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",729,0.729,1
18080,2,"sad",3,37,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",724,0.724,1
18080,2,"line",3,38,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","48",792,0.792,0
18080,2,"neutral",3,39,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",619,0.619,1
18080,2,"sad",3,40,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",902,0.902,1
18080,2,"neutral",3,41,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",1043,1.043,1
18080,2,"sad",3,42,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",967,0.967,1
18080,2,"neutral",3,43,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",871,0.871,1
18080,2,"line",3,44,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",754,0.754,1
18080,2,"happy",3,45,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",634,0.634,1
18080,2,"sad",3,46,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",1072,1.072,1
18080,2,"happy",3,47,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",988,0.988,1
18080,2,"line",3,48,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",1276,1.276,1
18080,2,"neutral",3,49,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",1280,1.28,1
18080,2,"neutral",3,50,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",768,0.768,1
18080,2,"happy",3,51,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",815,0.815,1
18080,2,"sad",3,52,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",667,0.667,1
18080,2,"line",3,53,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",604,0.604,1
18080,2,"happy",3,54,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",597,0.597,1
18080,2,"line",3,55,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",663,0.663,1
18080,2,"happy",3,56,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",755,0.755,1
18080,2,"happy",3,57,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",758,0.758,1
18080,2,"neutral",3,58,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",966,0.966,1
18080,2,"neutral",3,59,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",611,0.611,1
18080,2,"happy",3,60,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",637,0.637,1
18080,2,"happy",3,61,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",619,0.619,1
18080,2,"happy",3,62,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",608,0.608,1
18080,2,"line",3,63,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",571,0.571,1
18080,2,"neutral",3,64,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",762,0.762,1
18080,2,"line",3,65,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",664,0.664,1
18080,2,"neutral",3,66,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",519,0.519,1
18080,2,"sad",3,67,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",569,0.569,1
18080,2,"happy",3,68,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",773,0.773,1
18080,2,"line",3,69,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",739,0.739,1
18080,2,"line",3,70,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",979,0.979,1
18080,2,"line",3,71,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",671,0.671,1
18080,2,"sad",3,72,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",898,0.898,1
18080,2,"happy",3,73,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","48",670,0.67,1
18080,2,"line",3,74,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",890,0.89,1
18080,2,"neutral",3,75,"he.tif","friend","Nonmatching","Friend","Friend","Close","Self","Self","Self","47",910,0.91,0
18080,2,"sad",3,76,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",954,0.954,1
18080,2,"sad",3,77,"ve.tif","friend","Matching","Friend","Friend","Close","Friend","Friend","Close","47",718,0.718,1
18080,2,"happy",3,78,"ve.tif","self","Nonmatching","Self","Self","Self","Friend","Friend","Close","48",902,0.902,1
18080,2,"line",3,79,"he.tif","self","Matching","Self","Self","Self","Self","Self","Self","47",547,0.547,1
