"Subject","Block","Trial","Matching","Shape","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Label","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Task","extraIV1","Response","RT_ms","RT_sec","ACC"
7302,"1",19,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","n",880.3,0.8803,0
7302,"1",20,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",578.5,0.5785,1
7302,"1",21,"Nonmatching","immoralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",784.5,0.7845,1
7302,"1",22,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",814.6,0.8146,1
7302,"1",23,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",654.8,0.6548,1
7302,"1",24,"Nonmatching","immoralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",878.9,0.8789,1
7302,"1",25,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",713.1,0.7131,1
7302,"1",26,"Nonmatching","moralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Good","m",821.1,0.8211,0
7302,"1",27,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",803.3,0.8033,1
7302,"1",28,"Nonmatching","immoralOther","Other","Other","Stranger","immoralSelf","Self","Self","Self","self-matching","Bad","m",629.4,0.6294,0
7302,"1",29,"Nonmatching","immoralSelf","Self","Self","Self","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",809.5,0.8095,1
7302,"1",30,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",617.6,0.6176,1
7302,"1",31,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",791.7,0.7917,1
7302,"1",32,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",555.9,0.5559,1
7302,"1",33,"Nonmatching","immoralSelf","Self","Self","Self","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",960,0.96,0
7302,"1",34,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",538.1,0.5381,1
7302,"1",35,"Nonmatching","immoralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Bad",NA,1042,1.042,NA
7302,"1",36,"Nonmatching","moralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Good","m",826.4,0.8264,0
7302,"1",37,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","m",712.5,0.7125,1
7302,"1",38,"Nonmatching","moralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Good","m",460.9,0.4609,0
7302,"1",39,"Nonmatching","moralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Good","n",802.7,0.8027,1
7302,"1",40,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","m",780.8,0.7808,1
7302,"1",41,"Nonmatching","moralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Good","n",874.9,0.8749,1
7302,"1",42,"Nonmatching","moralSelf","Self","Self","Self","immoralOther","Stranger","Stranger","Stranger","self-matching","Good","m",871,0.871,0
7302,"1",43,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",651.2,0.6512,1
7302,"1",44,"Nonmatching","immoralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",755.4,0.7554,1
7302,"1",45,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",671.5,0.6715,1
7302,"1",46,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","m",907.6,0.9076,1
7302,"1",47,"Nonmatching","immoralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",599.7,0.5997,1
7302,"1",48,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",521.8,0.5218,1
7302,"1",49,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",731.9,0.7319,1
7302,"1",50,"Nonmatching","moralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Good","n",764,0.764,1
7302,"1",51,"Nonmatching","moralSelf","Self","Self","Self","moralOther","Stranger","Stranger","Stranger","self-matching","Good",NA,1042,1.042,NA
7302,"1",52,"Nonmatching","immoralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Bad","n",744.3,0.7443,1
7302,"1",53,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",510.4,0.5104,1
7302,"1",54,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",770.6,0.7706,1
7302,"1",55,"Nonmatching","immoralOther","Other","Other","Stranger","immoralSelf","Self","Self","Self","self-matching","Bad","n",602.6,0.6026,1
7302,"1",56,"Nonmatching","moralSelf","Self","Self","Self","immoralOther","Stranger","Stranger","Stranger","self-matching","Good","n",764.8,0.7648,1
7302,"1",57,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",710.9,0.7109,1
7302,"1",58,"Nonmatching","moralSelf","Self","Self","Self","moralOther","Stranger","Stranger","Stranger","self-matching","Good","n",827,0.827,1
7302,"1",59,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","m",857.1,0.8571,1
7302,"1",60,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","n",809.2,0.8092,0
7302,"1",61,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","m",721.3,0.7213,1
7302,"1",62,"Nonmatching","immoralOther","Other","Other","Stranger","immoralSelf","Self","Self","Self","self-matching","Bad","n",819.5,0.8195,1
7302,"1",63,"Nonmatching","immoralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Bad","n",889.6,0.8896,1
7302,"1",64,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",577.8,0.5778,1
7302,"1",65,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","n",879.9,0.8799,0
7302,"1",66,"Nonmatching","moralOther","Other","Other","Stranger","moralSelf","Self","Self","Self","self-matching","Good","n",666,0.666,1
7302,"1",67,"Nonmatching","immoralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Bad","n",1008.1,1.0081,1
7302,"1",68,"Nonmatching","immoralOther","Other","Other","Stranger","immoralSelf","Self","Self","Self","self-matching","Bad","n",856.2,0.8562,1
7302,"1",69,"Nonmatching","moralOther","Other","Other","Stranger","moralSelf","Self","Self","Self","self-matching","Good","n",544.4,0.5444,1
7302,"1",70,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",662.5,0.6625,1
7302,"1",71,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",684.6,0.6846,0
7302,"1",72,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",902.7,0.9027,1
7302,"1",73,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","m",823.6,0.8236,1
7302,"1",74,"Nonmatching","moralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Good","n",613.7,0.6137,1
7302,"1",75,"Nonmatching","moralSelf","Self","Self","Self","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",733.8,0.7338,0
7302,"1",76,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","n",741.9,0.7419,0
7302,"1",77,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",684,0.684,1
7302,"1",78,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",606.2,0.6062,1
7302,"1",79,"Nonmatching","immoralSelf","Self","Self","Self","moralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",784.2,0.7842,1
7302,"1",80,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",582.4,0.5824,1
7302,"1",81,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",412.6,0.4126,1
7302,"1",82,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",500.6,0.5006,1
7302,"1",83,"Nonmatching","immoralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Bad","n",850.7,0.8507,1
7302,"1",84,"Nonmatching","moralSelf","Self","Self","Self","moralOther","Stranger","Stranger","Stranger","self-matching","Good","n",906.9,0.9069,1
7302,"1",85,"Nonmatching","moralOther","Other","Other","Stranger","moralSelf","Self","Self","Self","self-matching","Good","n",721,0.721,1
7302,"1",86,"Nonmatching","immoralOther","Other","Other","Stranger","moralSelf","Self","Self","Self","self-matching","Bad","n",635.1,0.6351,1
7302,"1",87,"Nonmatching","immoralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",855.3,0.8553,1
7302,"1",88,"Nonmatching","immoralSelf","Self","Self","Self","moralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",719.4,0.7194,1
7302,"1",89,"Nonmatching","moralSelf","Self","Self","Self","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",521.4,0.5214,0
7302,"1",90,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",659.7,0.6597,1
7302,"1",91,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","m",809.7,0.8097,1
7302,"1",92,"Nonmatching","immoralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",673.8,0.6738,1
7302,"1",93,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",534,0.534,1
7302,"1",94,"Nonmatching","moralOther","Other","Other","Stranger","immoralSelf","Self","Self","Self","self-matching","Good","n",614.1,0.6141,1
7302,"1",95,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",646.2,0.6462,1
7302,"1",96,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","m",776.3,0.7763,1
7302,"1",97,"Nonmatching","moralOther","Other","Other","Stranger","immoralSelf","Self","Self","Self","self-matching","Good","n",696.4,0.6964,1
7302,"1",98,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","n",880.5,0.8805,0
7302,"1",99,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",554.6,0.5546,1
7302,"1",100,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",974.7,0.9747,1
7302,"1",101,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","m",614.9,0.6149,1
7302,"1",102,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",615,0.615,1
7302,"1",103,"Nonmatching","immoralOther","Other","Other","Stranger","immoralSelf","Self","Self","Self","self-matching","Bad","m",655.2,0.6552,0
7302,"1",104,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",655.2,0.6552,1
7302,"1",105,"Nonmatching","immoralOther","Other","Other","Stranger","moralSelf","Self","Self","Self","self-matching","Bad","n",599.4,0.5994,1
7302,"1",106,"Nonmatching","moralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Good","m",649.5,0.6495,0
7302,"1",107,"Nonmatching","moralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Good","n",673.6,0.6736,1
7302,"1",108,"Nonmatching","immoralOther","Other","Other","Stranger","moralSelf","Self","Self","Self","self-matching","Bad","n",773.7,0.7737,1
7302,"1",109,"Nonmatching","immoralSelf","Self","Self","Self","moralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",733.8,0.7338,1
7302,"1",110,"Nonmatching","moralSelf","Self","Self","Self","immoralOther","Stranger","Stranger","Stranger","self-matching","Good","n",734,0.734,1
7302,"1",111,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","m",622.1,0.6221,1
7302,"1",112,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","m",548.2,0.5482,1
7302,"1",113,"Nonmatching","immoralSelf","Self","Self","Self","moralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",592.3,0.5923,1
7302,"1",114,"Nonmatching","moralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Good","n",644.5,0.6445,1
7302,"1",115,"Nonmatching","immoralSelf","Self","Self","Self","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",438.5,0.4385,1
7302,"1",116,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",776.6,0.7766,1
7302,"1",117,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",752.7,0.7527,1
7302,"1",118,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",516.9,0.5169,1
7302,"1",119,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",657,0.657,1
7302,"1",120,"Nonmatching","moralSelf","Self","Self","Self","moralOther","Stranger","Stranger","Stranger","self-matching","Good","n",809.1,0.8091,1
7302,"2",1,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",723.3,0.7233,1
7302,"2",2,"Nonmatching","moralOther","Other","Other","Stranger","immoralSelf","Self","Self","Self","self-matching","Good","n",917.5,0.9175,1
7302,"2",3,"Nonmatching","immoralSelf","Self","Self","Self","moralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",703.6,0.7036,1
7302,"2",4,"Nonmatching","immoralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",677.7,0.6777,1
7302,"2",5,"Nonmatching","immoralSelf","Self","Self","Self","moralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",727.8,0.7278,1
7302,"2",6,"Nonmatching","moralOther","Other","Other","Stranger","immoralSelf","Self","Self","Self","self-matching","Good","n",696,0.696,1
7302,"2",7,"Nonmatching","immoralOther","Other","Other","Stranger","moralSelf","Self","Self","Self","self-matching","Bad","n",840.1,0.8401,1
7302,"2",8,"Nonmatching","immoralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Bad","n",754.3,0.7543,1
7302,"2",9,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",630.4,0.6304,1
7302,"2",10,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",522.4,0.5224,1
7302,"2",11,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","n",644.6,0.6446,0
7302,"2",12,"Nonmatching","moralSelf","Self","Self","Self","moralOther","Stranger","Stranger","Stranger","self-matching","Good","n",886.7,0.8867,1
7302,"2",13,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",704.8,0.7048,1
7302,"2",14,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","n",703,0.703,0
7302,"2",15,"Nonmatching","moralOther","Other","Other","Stranger","moralSelf","Self","Self","Self","self-matching","Good","n",669,0.669,1
7302,"2",16,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","m",617.2,0.6172,1
7302,"2",17,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",623.3,0.6233,1
7302,"2",18,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",573.5,0.5735,1
7302,"2",19,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",693.6,0.6936,1
7302,"2",20,"Nonmatching","moralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Good","m",1013.6,1.0136,0
7302,"2",21,"Nonmatching","immoralOther","Other","Other","Stranger","immoralSelf","Self","Self","Self","self-matching","Bad","n",821.8,0.8218,1
7302,"2",22,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",643.9,0.6439,1
7302,"2",23,"Nonmatching","moralSelf","Self","Self","Self","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",710,0.71,0
7302,"2",24,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",914.1,0.9141,1
7302,"2",25,"Nonmatching","immoralOther","Other","Other","Stranger","moralSelf","Self","Self","Self","self-matching","Bad","n",734.3,0.7343,1
7302,"2",26,"Nonmatching","moralSelf","Self","Self","Self","immoralOther","Stranger","Stranger","Stranger","self-matching","Good","n",646.4,0.6464,1
7302,"2",27,"Nonmatching","moralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Good","m",576.5,0.5765,0
7302,"2",28,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",656.6,0.6566,1
7302,"2",29,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","m",808.9,0.8089,1
7302,"2",30,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",624.8,0.6248,1
7302,"2",31,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",710.9,0.7109,1
7302,"2",32,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",619.1,0.6191,1
7302,"2",33,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",417.1,0.4171,1
7302,"2",34,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",433.3,0.4333,1
7302,"2",35,"Nonmatching","immoralSelf","Self","Self","Self","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",693.4,0.6934,1
7302,"2",36,"Nonmatching","moralOther","Other","Other","Stranger","moralSelf","Self","Self","Self","self-matching","Good","n",701.5,0.7015,1
7302,"2",37,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",571.7,0.5717,1
7302,"2",38,"Nonmatching","immoralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",955.7,0.9557,1
7302,"2",39,"Nonmatching","moralSelf","Self","Self","Self","moralOther","Stranger","Stranger","Stranger","self-matching","Good","n",783.8,0.7838,1
7302,"2",40,"Nonmatching","immoralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Bad","n",854,0.854,1
7302,"2",41,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","n",950.1,0.9501,0
7302,"2",42,"Nonmatching","moralSelf","Self","Self","Self","immoralOther","Stranger","Stranger","Stranger","self-matching","Good","n",706.2,0.7062,1
7302,"2",43,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","m",664.4,0.6644,1
7302,"2",44,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",766.4,0.7664,1
7302,"2",45,"Nonmatching","immoralSelf","Self","Self","Self","moralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",640.6,0.6406,1
7302,"2",46,"Nonmatching","moralOther","Other","Other","Stranger","immoralSelf","Self","Self","Self","self-matching","Good","n",682.7,0.6827,1
7302,"2",47,"Nonmatching","immoralOther","Other","Other","Stranger","immoralSelf","Self","Self","Self","self-matching","Bad","n",884.8,0.8848,1
7302,"2",48,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",646.9,0.6469,1
7302,"2",49,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",473.1,0.4731,1
7302,"2",50,"Nonmatching","moralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Good","m",381.2,0.3812,0
7302,"2",51,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",595.2,0.5952,1
7302,"2",52,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",807.4,0.8074,1
7302,"2",53,"Nonmatching","immoralSelf","Self","Self","Self","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",567.5,0.5675,1
7302,"2",54,"Nonmatching","moralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Good","n",847.6,0.8476,1
7302,"2",55,"Nonmatching","immoralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",727.8,0.7278,1
7302,"2",56,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","m",607.9,0.6079,1
7302,"2",57,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad",NA,1042,1.042,NA
7302,"2",58,"Nonmatching","moralSelf","Self","Self","Self","immoralOther","Stranger","Stranger","Stranger","self-matching","Good","n",690.1,0.6901,1
7302,"2",59,"Nonmatching","immoralOther","Other","Other","Stranger","moralSelf","Self","Self","Self","self-matching","Bad","n",986.2,0.9862,1
7302,"2",60,"Nonmatching","moralOther","Other","Other","Stranger","moralSelf","Self","Self","Self","self-matching","Good","n",792.4,0.7924,1
7302,"2",61,"Nonmatching","immoralSelf","Self","Self","Self","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",732.5,0.7325,1
7302,"2",62,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",572.7,0.5727,0
7302,"2",63,"Nonmatching","moralOther","Other","Other","Stranger","immoralSelf","Self","Self","Self","self-matching","Good","n",804.8,0.8048,1
7302,"2",64,"Nonmatching","moralSelf","Self","Self","Self","moralOther","Stranger","Stranger","Stranger","self-matching","Good","n",654.9,0.6549,1
7302,"2",65,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",663.1,0.6631,1
7302,"2",66,"Nonmatching","immoralOther","Other","Other","Stranger","immoralSelf","Self","Self","Self","self-matching","Bad",NA,1042,1.042,NA
7302,"2",67,"Nonmatching","immoralSelf","Self","Self","Self","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","n",767.2,0.7672,1
7302,"2",68,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",735.3,0.7353,1
7302,"2",69,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",551.5,0.5515,1
7302,"2",70,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","m",627.6,0.6276,1
7302,"2",71,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",527.7,0.5277,1
7302,"2",72,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",487.8,0.4878,1
7302,"2",73,"Matching","moralSelf","Self","Self","Self","moralSelf","Self","Self","Self","self-matching","Good","m",532.7,0.5327,1
7302,"2",74,"Matching","immoralSelf","Self","Self","Self","immoralSelf","Self","Self","Self","self-matching","Bad","m",684.8,0.6848,1
7302,"2",75,"Matching","moralOther","Other","Other","Stranger","moralOther","Stranger","Stranger","Stranger","self-matching","Good","m",454.9,0.4549,1
7302,"2",76,"Matching","immoralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Bad","m",535,0.535,1
7302,"2",77,"Nonmatching","moralOther","Other","Other","Stranger","immoralOther","Stranger","Stranger","Stranger","self-matching","Good","n",583.1,0.5831,1
