match,shape_identity,corr,rt,subj_idx,response,task
0,2,1,0.276554699987173,2,0,2
0,3,0,0.26914030010812,2,1,2
0,3,1,0.477402900112793,2,0,2
0,2,0,0.274434600258246,2,1,2
0,2,1,0.501884700031951,2,0,2
0,2,0,0.240741100162268,2,1,2
0,3,1,0.259967000223696,2,0,2
0,2,1,0.25895639997907,2,0,2
0,2,1,0.704391500214115,2,0,2
0,3,0,0.427150100003928,2,1,2
0,1,0,0.531717400066555,2,1,2
0,3,1,0.53790790005587,2,0,2
0,2,0,0.72088160016574,2,1,2
0,3,0,0.35665150010027,2,1,2
0,2,1,0.531621700152755,2,0,2
0,1,1,0.495339500019327,2,0,2
0,1,1,0.328105899970978,2,0,2
0,1,1,1.0493954999838,2,0,2
0,2,1,0.941362200304866,2,0,2
0,2,1,0.402104200096801,2,0,2
0,1,1,0.837079900084063,2,0,2
0,2,0,0.659441899973899,2,1,2
0,1,1,0.371709000086412,2,0,2
0,1,1,0.732826900202781,2,0,2
0,2,1,0.311109200119972,2,0,2
0,2,0,0.268312800209969,2,1,2
0,2,1,0.416194700170308,2,0,2
0,3,0,0.598743800073862,2,1,2
0,3,1,0.430289800278842,2,0,2
0,1,0,0.318069100147113,2,1,2
0,1,1,0.665630700066686,2,0,2
0,1,1,0.524299399927258,2,0,2
0,1,0,0.58178020012565,2,1,2
0,3,0,1.00837510009296,2,1,2
0,1,1,0.863003800157458,2,0,2
0,2,1,0.579839400248602,2,0,2
0,2,1,0.523025000002235,2,0,2
0,2,1,0.228638000087813,2,0,2
0,1,1,0.564804500201717,2,0,2
0,2,0,0.834134300006554,2,1,2
0,3,1,0.576331299962476,2,0,2
0,2,1,0.433541900012642,2,0,2
0,3,0,0.399619800038636,2,1,2
0,1,0,0.461175800301135,2,1,2
0,3,1,0.585492700105533,2,0,2
0,2,0,0.801138200331479,2,1,2
0,2,1,0.315215999959037,2,0,2
0,2,0,0.4463531000074,2,1,2
0,2,1,0.274482400156558,2,0,2
0,1,0,0.292348799994215,2,1,2
0,1,1,0.413556399988011,2,0,2
0,3,1,0.249976800056174,2,0,2
0,1,0,0.563298900146037,2,1,2
0,3,0,0.219223800115287,2,1,2
0,2,1,0.495212800102308,2,0,2
0,3,0,0.693882700055838,2,1,2
0,1,1,0.744113000109792,2,0,2
0,2,1,0.926810200093314,2,0,2
0,1,0,0.60637339996174,2,1,2
0,3,0,0.498233700171113,2,1,2
0,3,1,0.218214500229806,2,0,2
0,1,0,0.584267700091004,2,1,2
0,3,0,0.314308900153264,2,1,2
0,2,1,0.32536970009096,2,0,2
0,3,1,0.531728300265968,2,0,2
0,3,0,0.647250400157645,2,1,2
0,2,1,0.435171900084242,2,0,2
0,2,1,0.545214700046927,2,0,2
0,1,1,0.799160500289872,2,0,2
0,3,1,0.593017000006512,2,0,2
0,2,1,0.509500900050625,2,0,2
0,1,1,0.609534000279382,2,0,2
0,3,1,0.625097700161859,2,0,2
0,1,1,0.478262400021777,2,0,2
0,3,0,0.305973600130528,2,1,2
0,2,1,0.610382600221783,2,0,2
0,1,1,0.498664900194854,2,0,2
0,3,0,0.651253300020471,2,1,2
0,2,1,0.539453900186345,2,0,2
0,3,1,0.524871800094843,2,0,2
0,1,0,0.494016700191423,2,1,2
0,2,1,0.544856799999252,2,0,2
0,3,0,0.769768300233409,2,1,2
0,1,1,0.643905200064182,2,0,2
0,2,1,0.416574000148103,2,0,2
0,1,1,0.91227040020749,2,0,2
0,3,1,0.624366000294685,2,0,2
