"Subject","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","extraIV1","RT_ms","RT_sec","ACC"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","372","0.372","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","252","0.252","1"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","263","0.263","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","232","0.232","0"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","598","0.598","0"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","1035","1.035","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","447","0.447","1"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","735","0.735","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","462","0.462","0"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","893","0.893","0"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","599","0.599","1"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","588","0.588","1"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","539","0.539","0"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","625","0.625","0"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","555","0.555","0"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","1106","1.106","0"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","281","0.281","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","268","0.268","0"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","262","0.262","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","277","0.277","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","359","0.359","0"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","260","0.26","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","592","0.592","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","370","0.37","1"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","282","0.282","0"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","249","0.249","0"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","248","0.248","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","258","0.258","0"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","674","0.674","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","656","0.656","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","366","0.366","0"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","mixed","574","0.574","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","754","0.754","1"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","780","0.78","0"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","1010","1.01","1"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","996","0.996","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","688","0.688","0"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","711","0.711","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","695","0.695","0"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","535","0.535","1"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","476","0.476","1"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","mixed","278","0.278","0"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","602","0.602","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","686","0.686","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","517","0.517","0"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","366","0.366","0"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","1118","1.118","0"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","311","0.311","0"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","221","0.221","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","282","0.282","1"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","mixed","211","0.211","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","304","0.304","1"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","240","0.24","1"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","mixed","245","0.245","0"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","326","0.326","0"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","blocked","1170","1.17","0"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","572","0.572","0"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","1156","1.156","1"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","blocked","447","0.447","1"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","1124","1.124","1"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","blocked","908","0.908","1"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","blocked","640","0.64","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","957","0.957","0"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","632","0.632","1"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","416","0.416","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","753","0.753","1"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","blocked","814","0.814","1"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","396","0.396","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","1105","1.105","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","602","0.602","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","727","0.727","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","608","0.608","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","565","0.565","1"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","blocked","821","0.821","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","957","0.957","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","646","0.646","1"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","blocked","476","0.476","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","617","0.617","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","497","0.497","0"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","blocked","774","0.774","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","589","0.589","1"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","blocked","830","0.83","1"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","584","0.584","0"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","475","0.475","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","693","0.693","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","561","0.561","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","480","0.48","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","530","0.53","1"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","blocked","614","0.614","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","646","0.646","1"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","679","0.679","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","634","0.634","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","687","0.687","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","606","0.606","1"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","1098","1.098","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","616","0.616","1"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","578","0.578","1"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","577","0.577","1"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","379","0.379","1"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","blocked","615","0.615","0"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","949","0.949","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","554","0.554","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","582","0.582","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","281","0.281","0"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","544","0.544","1"
"16127635","stranger","stranger","self-matching","Matching","stranger","stranger","Stranger","stranger","stranger","Stranger","blocked","532","0.532","1"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","565","0.565","1"
"16127635","stranger","self","self-matching","Nonmatching","self","self","Self","stranger","stranger","Stranger","blocked","677","0.677","1"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","695","0.695","1"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","blocked","467","0.467","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","1085","1.085","0"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","412","0.412","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","529","0.529","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","555","0.555","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","482","0.482","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","545","0.545","1"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","blocked","545","0.545","1"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","blocked","674","0.674","1"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","blocked","518","0.518","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","551","0.551","1"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","blocked","648","0.648","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","999","0.999","1"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","blocked","1178","1.178","1"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","blocked","638","0.638","0"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","blocked","547","0.547","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","719","0.719","0"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","blocked","621","0.621","0"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","628","0.628","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","1015","1.015","0"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","blocked","852","0.852","1"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","blocked","597","0.597","0"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","623","0.623","0"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","blocked","694","0.694","1"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","blocked","484","0.484","1"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","blocked","695","0.695","0"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","680","0.68","1"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","blocked","257","0.257","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","530","0.53","1"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","blocked","567","0.567","0"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","825","0.825","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","621","0.621","1"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","blocked","554","0.554","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","750","0.75","1"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","blocked","643","0.643","1"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","blocked","530","0.53","1"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","blocked","634","0.634","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","828","0.828","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","513","0.513","1"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","blocked","447","0.447","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","445","0.445","0"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","blocked","539","0.539","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","641","0.641","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","515","0.515","1"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","blocked","594","0.594","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","773","0.773","1"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","blocked","399","0.399","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","383","0.383","1"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","blocked","491","0.491","1"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","blocked","837","0.837","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","616","0.616","1"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","blocked","607","0.607","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","735","0.735","1"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","blocked","537","0.537","1"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","blocked","622","0.622","0"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","686","0.686","0"
"16127635","friend","self","self-matching","Nonmatching","self","self","Self","friend","friend","Close","blocked","758","0.758","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","blocked","274","0.274","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","551","0.551","0"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","596","0.596","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","471","0.471","1"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","545","0.545","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","523","0.523","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","556","0.556","1"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","402","0.402","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","821","0.821","0"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","503","0.503","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","435","0.435","0"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","648","0.648","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","542","0.542","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","620","0.62","1"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","591","0.591","1"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","440","0.44","1"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","419","0.419","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","617","0.617","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","648","0.648","1"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","457","0.457","1"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","529","0.529","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","519","0.519","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","487","0.487","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","452","0.452","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","527","0.527","1"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","687","0.687","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","452","0.452","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","428","0.428","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","227","0.227","0"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","577","0.577","1"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","452","0.452","1"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","453","0.453","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","610","0.61","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","603","0.603","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","479","0.479","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","566","0.566","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","439","0.439","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","563","0.563","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","585","0.585","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","446","0.446","1"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","497","0.497","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","433","0.433","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","480","0.48","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","460","0.46","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","556","0.556","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","506","0.506","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","434","0.434","0"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","631","0.631","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","603","0.603","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","483","0.483","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","562","0.562","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","542","0.542","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","603","0.603","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","569","0.569","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","475","0.475","1"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","blocked","447","0.447","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","525","0.525","1"
"16127635","self","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","self","self","Self","blocked","715","0.715","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","blocked","696","0.696","1"
"16127635","stranger","friend","self-matching","Nonmatching","friend","friend","Close","stranger","stranger","Stranger","mixed","288","0.288","1"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","547","0.547","1"
"16127635","friend","friend","self-matching","Matching","friend","friend","Close","friend","friend","Close","mixed","495","0.495","0"
"16127635","self","friend","self-matching","Nonmatching","friend","friend","Close","self","self","Self","mixed","835","0.835","0"
"16127635","self","self","self-matching","Matching","self","self","Self","self","self","Self","mixed","647","0.647","1"
"16127635","friend","stranger","self-matching","Nonmatching","stranger","stranger","Stranger","friend","friend","Close","mixed","565","0.565","1"
