"Subject","Trial","Shape","Label","Matching","ACC","RT_ms","bed","manipCheck","Resp","Cresp","Condition"
2,48,"Dreieck.png","Ich","Nonmatching",1,805,"L2n",3,"k","k","Ass2"
2,49,"Dreieck.png","Fremder","Matching",1,730,"L1m",1,"d","d","Ass2"
2,50,"Dreieck.png","Ich","Nonmatching",1,952,"L2n",3,"k","k","Ass2"
2,51,"Kreis.png","Fremder","Nonmatching",1,1177,"L1n",2,"k","k","Ass2"
2,52,"Kreis.png","Ich","Matching",1,432,"L2m",4,"d","d","Ass2"
2,53,"Kreis.png","Ich","Matching",1,669,"L2m",4,"d","d","Ass2"
2,54,"Dreieck.png","Fremder","Matching",0,946,"L1m",1,"k","d","Ass2"
2,55,"Kreis.png","Fremder","Nonmatching",1,638,"L1n",2,"k","k","Ass2"
2,56,"Dreieck.png","Ich","Nonmatching",1,854,"L2n",3,"k","k","Ass2"
2,57,"Dreieck.png","Ich","Nonmatching",1,983,"L2n",3,"k","k","Ass2"
2,58,"Dreieck.png","Fremder","Matching",1,1098,"L1m",1,"d","d","Ass2"
2,59,"Kreis.png","Fremder","Nonmatching",1,962,"L1n",2,"k","k","Ass2"
2,60,"Kreis.png","Ich","Matching",1,714,"L2m",4,"d","d","Ass2"
2,61,"Dreieck.png","Ich","Nonmatching",1,1400,"L2n",3,"k","k","Ass2"
2,62,"Kreis.png","Ich","Matching",1,519,"L2m",4,"d","d","Ass2"
2,63,"Dreieck.png","Fremder","Matching",1,1241,"L1m",1,"d","d","Ass2"
2,64,"Kreis.png","Fremder","Nonmatching",1,1488,"L1n",2,"k","k","Ass2"
2,65,"Kreis.png","Ich","Matching",1,899,"L2m",4,"d","d","Ass2"
2,66,"Kreis.png","Fremder","Nonmatching",1,898,"L1n",2,"k","k","Ass2"
2,67,"Dreieck.png","Fremder","Matching",1,955,"L1m",1,"d","d","Ass2"
2,68,"Dreieck.png","Ich","Nonmatching",1,854,"L2n",3,"k","k","Ass2"
2,69,"Kreis.png","Fremder","Nonmatching",1,1140,"L1n",2,"k","k","Ass2"
2,70,"Kreis.png","Ich","Matching",1,552,"L2m",4,"d","d","Ass2"
2,71,"Dreieck.png","Ich","Nonmatching",1,868,"L2n",3,"k","k","Ass2"
2,72,"Dreieck.png","Fremder","Matching",1,804,"L1m",1,"d","d","Ass2"
2,73,"Dreieck.png","Ich","Nonmatching",1,721,"L2n",3,"k","k","Ass2"
2,74,"Dreieck.png","Fremder","Matching",1,752,"L1m",1,"d","d","Ass2"
2,75,"Kreis.png","Fremder","Nonmatching",1,882,"L1n",2,"k","k","Ass2"
2,76,"Kreis.png","Ich","Matching",1,612,"L2m",4,"d","d","Ass2"
2,77,"Dreieck.png","Fremder","Matching",0,915,"L1m",1,"k","d","Ass2"
2,78,"Kreis.png","Fremder","Nonmatching",1,847,"L1n",2,"k","k","Ass2"
2,79,"Dreieck.png","Ich","Nonmatching",1,867,"L2n",3,"k","k","Ass2"
2,80,"Kreis.png","Ich","Matching",1,1010,"L2m",4,"d","d","Ass2"
2,81,"Kreis.png","Ich","Matching",1,639,"L2m",4,"d","d","Ass2"
2,82,"Dreieck.png","Ich","Nonmatching",1,736,"L2n",3,"k","k","Ass2"
2,83,"Dreieck.png","Fremder","Matching",1,1003,"L1m",1,"d","d","Ass2"
2,84,"Kreis.png","Fremder","Nonmatching",0,804,"L1n",2,"d","k","Ass2"
2,85,"Dreieck.png","Ich","Nonmatching",1,1167,"L2n",3,"k","k","Ass2"
2,86,"Dreieck.png","Fremder","Matching",1,830,"L1m",1,"d","d","Ass2"
2,87,"Kreis.png","Ich","Matching",1,622,"L2m",4,"d","d","Ass2"
2,88,"Kreis.png","Fremder","Nonmatching",1,942,"L1n",2,"k","k","Ass2"
2,89,"Kreis.png","Fremder","Nonmatching",1,1070,"L1n",2,"k","k","Ass2"
2,90,"Dreieck.png","Ich","Nonmatching",1,1006,"L2n",3,"k","k","Ass2"
2,91,"Dreieck.png","Fremder","Matching",1,847,"L1m",1,"d","d","Ass2"
2,92,"Kreis.png","Ich","Matching",1,674,"L2m",4,"d","d","Ass2"
2,93,"Dreieck.png","Fremder","Matching",1,720,"L1m",1,"d","d","Ass2"
2,94,"Dreieck.png","Ich","Nonmatching",1,868,"L2n",3,"k","k","Ass2"
2,95,"Kreis.png","Ich","Matching",1,654,"L2m",4,"d","d","Ass2"
2,96,"Kreis.png","Fremder","Nonmatching",1,830,"L1n",2,"k","k","Ass2"
2,97,"Kreis.png","Ich","Matching",1,513,"L2m",4,"d","d","Ass2"
2,98,"Dreieck.png","Ich","Nonmatching",1,796,"L2n",3,"k","k","Ass2"
2,99,"Dreieck.png","Fremder","Matching",1,1233,"L1m",1,"d","d","Ass2"
2,100,"Kreis.png","Fremder","Nonmatching",1,861,"L1n",2,"k","k","Ass2"
2,101,"Dreieck.png","Fremder","Matching",0,634,"L1m",1,"k","d","Ass2"
2,102,"Dreieck.png","Ich","Nonmatching",1,1212,"L2n",3,"k","k","Ass2"
2,103,"Kreis.png","Ich","Matching",1,753,"L2m",4,"d","d","Ass2"
2,104,"Kreis.png","Fremder","Nonmatching",1,676,"L1n",2,"k","k","Ass2"
2,105,"Kreis.png","Ich","Matching",1,574,"L2m",4,"d","d","Ass2"
2,106,"Kreis.png","Fremder","Nonmatching",1,612,"L1n",2,"k","k","Ass2"
2,107,"Dreieck.png","Ich","Nonmatching",1,1060,"L2n",3,"k","k","Ass2"
2,108,"Dreieck.png","Fremder","Matching",1,656,"L1m",1,"d","d","Ass2"
2,109,"Dreieck.png","Fremder","Matching",1,781,"L1m",1,"d","d","Ass2"
2,110,"Dreieck.png","Ich","Nonmatching",1,843,"L2n",3,"k","k","Ass2"
2,111,"Kreis.png","Fremder","Nonmatching",1,943,"L1n",2,"k","k","Ass2"
2,112,"Kreis.png","Ich","Matching",1,746,"L2m",4,"d","d","Ass2"
2,113,"Dreieck.png","Fremder","Matching",1,731,"L1m",1,"d","d","Ass2"
2,114,"Dreieck.png","Ich","Nonmatching",1,774,"L2n",3,"k","k","Ass2"
2,115,"Kreis.png","Fremder","Nonmatching",1,902,"L1n",2,"k","k","Ass2"
2,116,"Kreis.png","Ich","Matching",1,404,"L2m",4,"d","d","Ass2"
2,117,"Dreieck.png","Ich","Nonmatching",1,660,"L2n",3,"k","k","Ass2"
2,118,"Kreis.png","Fremder","Nonmatching",1,737,"L1n",2,"k","k","Ass2"
2,119,"Dreieck.png","Fremder","Matching",0,554,"L1m",1,"k","d","Ass2"
2,120,"Kreis.png","Ich","Matching",0,768,"L2m",4,"k","d","Ass2"
2,121,"Dreieck.png","Fremder","Matching",0,851,"L1m",1,"k","d","Ass2"
2,122,"Kreis.png","Fremder","Nonmatching",1,844,"L1n",2,"k","k","Ass2"
2,123,"Kreis.png","Ich","Matching",1,521,"L2m",4,"d","d","Ass2"
2,124,"Dreieck.png","Ich","Nonmatching",1,766,"L2n",3,"k","k","Ass2"
2,125,"Dreieck.png","Fremder","Matching",0,643,"L1m",1,"k","d","Ass2"
2,126,"Kreis.png","Fremder","Nonmatching",1,878,"L1n",2,"k","k","Ass2"
2,127,"Dreieck.png","Ich","Nonmatching",1,798,"L2n",3,"k","k","Ass2"
2,128,"Kreis.png","Ich","Matching",1,715,"L2m",4,"d","d","Ass2"
5,1,"Kreis.png","Fremder","Matching",1,1155,"L2m",4,"d","d","Ass1"
5,2,"Dreieck.png","Fremder","Nonmatching",1,1150,"L2n",3,"k","k","Ass1"
5,3,"Dreieck.png","Ich","Matching",1,795,"L1m",1,"d","d","Ass1"
5,4,"Kreis.png","Ich","Nonmatching",1,1335,"L1n",2,"k","k","Ass1"
5,5,"Kreis.png","Fremder","Matching",1,1021,"L2m",4,"d","d","Ass1"
5,6,"Dreieck.png","Ich","Matching",1,2477,"L1m",1,"d","d","Ass1"
5,7,"Dreieck.png","Fremder","Nonmatching",1,1038,"L2n",3,"k","k","Ass1"
5,8,"Kreis.png","Ich","Nonmatching",1,3629,"L1n",2,"k","k","Ass1"
5,9,"Kreis.png","Fremder","Matching",1,1135,"L2m",4,"d","d","Ass1"
5,10,"Dreieck.png","Ich","Matching",1,963,"L1m",1,"d","d","Ass1"
5,11,"Kreis.png","Ich","Nonmatching",1,1235,"L1n",2,"k","k","Ass1"
5,12,"Dreieck.png","Fremder","Nonmatching",1,1425,"L2n",3,"k","k","Ass1"
5,13,"Kreis.png","Fremder","Matching",1,1350,"L2m",4,"d","d","Ass1"
5,14,"Dreieck.png","Fremder","Nonmatching",1,1300,"L2n",3,"k","k","Ass1"
5,15,"Dreieck.png","Ich","Matching",1,658,"L1m",1,"d","d","Ass1"
5,16,"Kreis.png","Ich","Nonmatching",1,1187,"L1n",2,"k","k","Ass1"
5,17,"Dreieck.png","Ich","Matching",1,866,"L1m",1,"d","d","Ass1"
5,18,"Kreis.png","Fremder","Matching",1,3661,"L2m",4,"d","d","Ass1"
5,19,"Dreieck.png","Fremder","Nonmatching",1,716,"L2n",3,"k","k","Ass1"
5,20,"Kreis.png","Ich","Nonmatching",1,858,"L1n",2,"k","k","Ass1"
