"Subject","Condition","Task","Matching","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","extraIV1","RT_ms","RT_sec","ACC","Arouse","Valence"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","419","0.419","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","657","0.657","1","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","502","0.502","1","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","477","0.477","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","488","0.488","1","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","464","0.464","1","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","464","0.464","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","332","0.332","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","461","0.461","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","490","0.49","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","359","0.359","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","483","0.483","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","580","0.58","0","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","382","0.382","0","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","492","0.492","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","461","0.461","1","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","356","0.356","1","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","499","0.499","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","421","0.421","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","464","0.464","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","266","0.266","1","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","403","0.403","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","400","0.4","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","544","0.544","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","572","0.572","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","432","0.432","0","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","296","0.296","0","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","673","0.673","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","440","0.44","1","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","417","0.417","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","266","0.266","0","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","429","0.429","1","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","413","0.413","0","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","540","0.54","0","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","434","0.434","1","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","438","0.438","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","397","0.397","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","464","0.464","1","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","450","0.45","0","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","481","0.481","1","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","469","0.469","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","447","0.447","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","349","0.349","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","301","0.301","1","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","380","0.38","0","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","464","0.464","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","376","0.376","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","230","0.23","1","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","383","0.383","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","250","0.25","0","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","327","0.327","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","447","0.447","1","7","3"
"17","S2","self-matching","Matching","Stranger","Stranger","Stranger","anxious","313","0.313","0","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","537","0.537","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","430","0.43","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","357","0.357","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","503","0.503","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","488","0.488","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","342","0.342","1","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","598","0.598","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","453","0.453","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","433","0.433","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","517","0.517","0","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","545","0.545","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","404","0.404","1","7","3"
"17","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","346","0.346","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","467","0.467","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","364","0.364","1","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","482","0.482","1","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","392","0.392","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","434","0.434","1","7","3"
"17","S2","self-matching","Nonmatching","Self","Self","Self","anxious","387","0.387","1","7","3"
"17","S2","self-matching","Matching","Familiar","Familiar","Celebrity","anxious","430","0.43","1","7","3"
"17","S2","self-matching","Matching","Self","Self","Self","anxious","389","0.389","0","7","3"
"17","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","506","0.506","1","7","3"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","343","0.343","0","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","599","0.599","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","392","0.392","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","358","0.358","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","435","0.435","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","416","0.416","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","371","0.371","0","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","549","0.549","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","402","0.402","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","907","0.907","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","402","0.402","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","373","0.373","0","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","394","0.394","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","493","0.493","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","396","0.396","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","623","0.623","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","371","0.371","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","268","0.268","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","330","0.33","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","405","0.405","0","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","590","0.59","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","509","0.509","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","451","0.451","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","354","0.354","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","363","0.363","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","376","0.376","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","415","0.415","0","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","296","0.296","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","988","0.988","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","549","0.549","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","445","0.445","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","536","0.536","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","395","0.395","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","499","0.499","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","352","0.352","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","297","0.297","0","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","600","0.6","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","325","0.325","0","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","465","0.465","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","370","0.37","0","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","344","0.344","0","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","390","0.39","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","475","0.475","0","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","319","0.319","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","450","0.45","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","471","0.471","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","527","0.527","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","363","0.363","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","370","0.37","0","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","499","0.499","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","381","0.381","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","283","0.283","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","375","0.375","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","442","0.442","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","406","0.406","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","473","0.473","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","437","0.437","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","347","0.347","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","315","0.315","0","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","621","0.621","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","403","0.403","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","532","0.532","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","379","0.379","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","410","0.41","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","400","0.4","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","512","0.512","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","319","0.319","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","332","0.332","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","487","0.487","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","323","0.323","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","428","0.428","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","482","0.482","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","433","0.433","0","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","393","0.393","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","371","0.371","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","534","0.534","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","412","0.412","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","449","0.449","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","577","0.577","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","452","0.452","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","535","0.535","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","539","0.539","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","415","0.415","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","383","0.383","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","384","0.384","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","347","0.347","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","320","0.32","0","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","312","0.312","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","619","0.619","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","326","0.326","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","292","0.292","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","464","0.464","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","418","0.418","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","292","0.292","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","470","0.47","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","386","0.386","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","385","0.385","0","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","409","0.409","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","314","0.314","0","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","416","0.416","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","459","0.459","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","431","0.431","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","382","0.382","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","503","0.503","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","448","0.448","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","327","0.327","0","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","319","0.319","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","430","0.43","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","439","0.439","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","429","0.429","1","5","5"
"17","S1","self-matching","Matching","Self","Self","Self","happy","239","0.239","1","5","5"
"17","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","443","0.443","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","428","0.428","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","812","0.812","1","5","5"
"17","S1","self-matching","Nonmatching","Self","Self","Self","happy","481","0.481","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","514","0.514","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","539","0.539","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","450","0.45","1","5","5"
"17","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","607","0.607","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","328","0.328","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","335","0.335","0","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","304","0.304","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","470","0.47","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","319","0.319","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","339","0.339","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","568","0.568","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","316","0.316","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","441","0.441","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","449","0.449","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","395","0.395","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","347","0.347","0","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","476","0.476","1","5","5"
"17","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","461","0.461","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","463","0.463","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","323","0.323","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","434","0.434","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","427","0.427","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","392","0.392","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","616","0.616","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","490","0.49","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","457","0.457","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","515","0.515","1","5","5"
"17","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","413","0.413","1","5","5"
"17","S4","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","375","0.375","1","2","2"
"17","S4","self-matching","Matching","Self","Self","Self","depression","427","0.427","1","2","2"
"17","S4","self-matching","Matching","Familiar","Familiar","Celebrity","depression","382","0.382","0","2","2"
"17","S4","self-matching","Matching","Self","Self","Self","depression","366","0.366","1","2","2"
"17","S4","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","408","0.408","1","2","2"
"17","S4","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","573","0.573","1","2","2"
"17","S4","self-matching","Matching","Self","Self","Self","depression","378","0.378","1","2","2"
"17","S4","self-matching","Nonmatching","Self","Self","Self","depression","579","0.579","1","2","2"
"17","S4","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","362","0.362","1","2","2"
"17","S4","self-matching","Matching","Stranger","Stranger","Stranger","depression","602","0.602","1","2","2"
"17","S4","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","432","0.432","1","2","2"
