Subject,Task,Matching,Shape,Shape_Origin_Identity,Shape_English_Identity,Shape_Standardized_Identity,Label,Label_Origin_Identity,Label_English_Identity,Label_Standardized_Identity,Response,RT_ms,RT_sec,ACC
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,430.880200001411,0.430880200001411,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,420.941399992444,0.420941399992444,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,668.953099986538,0.668953099986538,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,393.43260001624,0.39343260001624,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,466.023999964818,0.466023999964818,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,496.123099990655,0.496123099990655,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,384.168800024781,0.384168800024781,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,327.801899984479,0.327801899984479,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,379.889699979685,0.379889699979685,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,466.279499989469,0.466279499989469,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,421.417599951383,0.421417599951383,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,374.581099953502,0.374581099953502,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,610.898399958387,0.610898399958387,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,520.737300044857,0.520737300044857,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,428.633800009266,0.428633800009266,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,487.880700035021,0.487880700035021,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,400.634199962951,0.400634199962951,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,547.881500038784,0.547881500038784,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,292.708699940704,0.292708699940704,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,372.757300036028,0.372757300036028,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,350.931599969044,0.350931599969044,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,667.164299986325,0.667164299986325,0
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,458.179800014477,0.458179800014477,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,584.52119998401,0.58452119998401,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,538.667200016789,0.538667200016789,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,584.736199991312,0.584736199991312,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,395.482099964283,0.395482099964283,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,419.783300021663,0.419783300021663,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,427.166200010106,0.427166200010106,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,462.92869996978,0.46292869996978,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,392.906100023538,0.392906100023538,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,301.07109999517,0.30107109999517,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,403.012000024319,0.403012000024319,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,385.678099992219,0.385678099992219,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,359.418499981985,0.359418499981985,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,507.824399974197,0.507824399974197,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,363.119099987671,0.363119099987671,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,522.546400025021,0.522546400025021,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,469.960800022818,0.469960800022818,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,399.214800039772,0.399214800039772,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,328.03429994965,0.32803429994965,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,323.850799992215,0.323850799992215,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,477.838599996176,0.477838599996176,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,502.934799995273,0.502934799995273,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,406.373599951621,0.406373599951621,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,369.626900006551,0.369626900006551,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,287.939800007734,0.287939800007734,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,405.931500019506,0.405931500019506,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,533.055600011721,0.533055600011721,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,327.557300042827,0.327557300042827,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,378.594199952204,0.378594199952204,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,274.702399969101,0.274702399969101,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,257.610099972226,0.257610099972226,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,456.705800024793,0.456705800024793,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,321.173799980897,0.321173799980897,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,442.880999995396,0.442880999995396,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,360.348300018813,0.360348300018813,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,486.916100024246,0.486916100024246,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,971.511799958535,0.971511799958535,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,503.028400009498,0.503028400009498,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,332.411799987312,0.332411799987312,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,371.887499990407,0.371887499990407,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,495.266699988861,0.495266699988861,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,493.044600007124,0.493044600007124,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,236.698799999431,0.236698799999431,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,355.848099978175,0.355848099978175,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,447.618899983354,0.447618899983354,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,567.59609997971,0.56759609997971,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,463.337099994533,0.463337099994533,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,526.091600011569,0.526091600011569,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,610.553600010462,0.610553600010462,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,368.251899955794,0.368251899955794,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,322.577000013553,0.322577000013553,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,429.691599973012,0.429691599973012,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,436.759800009895,0.436759800009895,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,608.553099969868,0.608553099969868,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,667.426700005308,0.667426700005308,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,417.402899998706,0.417402899998706,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,427.495100011583,0.427495100011583,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,418.426999996882,0.418426999996882,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,574.841000023298,0.574841000023298,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,303.053100011311,0.303053100011311,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,460.817500017583,0.460817500017583,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,486.410600016825,0.486410600016825,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,425.903600000311,0.425903600000311,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,395.046600024216,0.395046600024216,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,256.91509997705,0.25691509997705,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,390.910600021016,0.390910600021016,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,510.387199989054,0.510387199989054,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,320.617099991068,0.320617099991068,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,290.979200042784,0.290979200042784,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,477.217299980111,0.477217299980111,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,359.551100002136,0.359551100002136,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,420.904099999461,0.420904099999461,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,389.74589999998,0.38974589999998,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,501.497899997048,0.501497899997048,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,362.80139995506,0.36280139995506,0
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,400.241699942853,0.400241699942853,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,229.347700020298,0.229347700020298,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,408.933500002604,0.408933500002604,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,448.379800014664,0.448379800014664,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,330.909500014968,0.330909500014968,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,507.878199976403,0.507878199976403,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,433.348999998998,0.433348999998998,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,435.198699997272,0.435198699997272,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,508.916300022975,0.508916300022975,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,407.641800004058,0.407641800004058,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,420.124399999622,0.420124399999622,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,572.768000012729,0.572768000012729,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,300.301600014791,0.300301600014791,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,458.29420001246,0.45829420001246,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,429.429700016044,0.429429700016044,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,411.622899991926,0.411622899991926,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,545.221599983051,0.545221599983051,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,405.92629997991,0.40592629997991,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,432.499200047459,0.432499200047459,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,492.977099958807,0.492977099958807,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,296.571100014262,0.296571100014262,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,485.274300037418,0.485274300037418,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,566.359999997076,0.566359999997076,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,548.373699944932,0.548373699944932,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,416.14629997639,0.41614629997639,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,468.275899998844,0.468275899998844,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,294.130099995527,0.294130099995527,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,436.267099983525,0.436267099983525,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,324.912799987942,0.324912799987942,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,341.844399983529,0.341844399983529,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,455.254500033334,0.455254500033334,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,706.796600017697,0.706796600017697,0
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,334.929200005718,0.334929200005718,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,631.312099983916,0.631312099983916,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,426.009699993301,0.426009699993301,0
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,252.672899980098,0.252672899980098,0
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,284.322199993767,0.284322199993767,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,564.076699956786,0.564076699956786,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,497.633999970276,0.497633999970276,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,404.051999968942,0.404051999968942,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,381.571600039024,0.381571600039024,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,391.548999992665,0.391548999992665,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,361.819399986416,0.361819399986416,0
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,415.732000023127,0.415732000023127,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,458.015599986538,0.458015599986538,1
1,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,439.217999984976,0.439217999984976,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,435.936699970625,0.435936699970625,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,398.196599970106,0.398196599970106,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,352.944499987643,0.352944499987643,1
1,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,375.421400007326,0.375421400007326,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,344.711300043855,0.344711300043855,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,392.705400008708,0.392705400008708,1
1,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,248.058500001207,0.248058500001207,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,502.699700009543,0.502699700009543,1
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,1,524.815500015393,0.524815500015393,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,522.341300034896,0.522341300034896,1
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,1,515.960199991241,0.515960199991241,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,0,619.161300011911,0.619161300011911,0
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,0,668.051199987531,0.668051199987531,0
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,518.172100011725,0.518172100011725,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,321.984599984717,0.321984599984717,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,0,366.937499959022,0.366937499959022,0
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,361.857899988536,0.361857899988536,1
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,1,558.284399972763,0.558284399972763,1
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,0,485.779599985108,0.485779599985108,0
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,0,432.298300031107,0.432298300031107,0
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,385.854799998924,0.385854799998924,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,463.351700047497,0.463351700047497,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,0,362.043399945833,0.362043399945833,0
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,276.647199993022,0.276647199993022,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,418.333900044672,0.418333900044672,1
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,1,494.338599964976,0.494338599964976,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,404.111100011505,0.404111100011505,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,379.197000002023,0.379197000002023,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,442.743399995379,0.442743399995379,1
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,1,449.99709998956,0.44999709998956,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,423.022600007243,0.423022600007243,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,443.46310000401,0.44346310000401,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,327.015899994876,0.327015899994876,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,363.581100013107,0.363581100013107,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,236.170399992261,0.236170399992261,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,409.509899967816,0.409509899967816,1
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,1,547.449300007429,0.547449300007429,1
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,1,425.73049996281,0.42573049996281,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,297.388599952683,0.297388599952683,1
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,0,328.827799996361,0.328827799996361,0
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,314.087699982338,0.314087699982338,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,408.022299990989,0.408022299990989,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,718.536400003359,0.718536400003359,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,493.742200022098,0.493742200022098,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,536.707799998112,0.536707799998112,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,0,328.728599997703,0.328728599997703,0
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,0,369.504600006621,0.369504600006621,0
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,1,464.101400051732,0.464101400051732,1
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,1,496.687799983192,0.496687799983192,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,303.495700005442,0.303495700005442,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,452.251099981368,0.452251099981368,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,434.197599999607,0.434197599999607,1
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,516.168999951333,0.516168999951333,1
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,1,458.059999975376,0.458059999975376,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,507.672799983993,0.507672799983993,1
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,0,371.655399969313,0.371655399969313,0
1,self-matching,Matching,missing,general self,general self,Self,missing,general self,general self,Self,1,345.671899965964,0.345671899965964,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,514.996599988081,0.514996599988081,1
1,self-matching,Matching,missing,stranger,stranger,Stranger,missing,stranger,stranger,Stranger,1,320.159199996851,0.320159199996851,1
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,1,421.912099991459,0.421912099991459,1
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,0,365.393800020684,0.365393800020684,0
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,1,484.726700000465,0.484726700000465,1
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,1,416.079400049057,0.416079400049057,1
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,1,443.972299981397,0.443972299981397,1
1,self-matching,Matching,missing,friend,friend,Close,missing,friend,friend,Close,1,513.114800036419,0.513114800036419,1
